[0:00:40] ブタ麺うますぎ: たぬきおじゃ tanukiGoja
[0:00:58] シャオレイ: おじゃ～
[2:54:14] sannma_pie: 集団戦楽しいのに特に何事もなく終わっちゃった
[2:54:16] 闇雲マル: GG
[2:54:17] おじゃるまる: これストームサージ積んだら1発で爆発しない？
[2:54:31] okarina66: メレーでもヤスオは微妙か
[2:54:36] nin641: ブロックされちゃうからあんまりか～
[2:54:49] かーまいん: フィズに出してもいいですか
[2:54:58] choi_daru: くっそ高いレベルのユーティリティチャンプになったな
[2:55:15] sannma_pie: Qハラスしたら押し返すスキル無くなって押し負けたり…
[2:55:27] ringo459: メレー相手にサイドで戦えるのも強いな
[2:55:35] くろみうむ3776: エアリー追火だともっといじめられそう
[2:55:38] nin641: しけたチャンピオンじゃなくなったね
[2:55:58] おじゃるまる: しけたチャンピオンなのは変わりない
[2:56:00] darksworks: エアリー追火がなかなかにきもいらしい
[2:56:29] くろみうむ3776: ふざけたチャンプではある
[2:57:24] nin641: まだ上があるんだｗ
[2:57:29] くろみうむ3776: RWも結構書いてあることおかしいよね
[2:57:31] okarina66: クッキーじゃないのか
[2:57:49] sannma_pie: 2hitでult帰ってくるから本当に無限に撃てる
[2:58:15] レティツィア: やれること増やしたカルマみたいなフェイ実装したと思ったらRの回転率跳ね上がったカルマ誕生してるｗ
[2:58:16] o_penkai: RQWRQ
[2:58:17] darksworks: このマントラ使い放題ビルドがなかなかに暴れてます
[2:58:18] quito314: マントラQが複数体にヒットしたらその分cd帰ってくる？
[2:58:49] kaninomisoni: カルマ好きなのにまたナーフされそうだ
[2:59:07] sannma_pie: 同時に当てた人数分だけちゃんとパッシブ発動します
[2:59:29] choi_daru: 正直マントラのCDナーフされないならまだ暴れそう
[2:59:30] quito314: 今試してみましたが2体に当てたらしっかり10秒帰ってきました
[2:59:36] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:59:40] darksworks: 使う側は楽しくて対面は不快なチャンプになった
[3:00:06] 毎度有難う: 固定値か
[3:00:07] sannma_pie: グラガスの無限体当たり理論…
[3:01:07] quito314: 割合解消にすればいいのにね
[3:01:25] 毎度有難う: 調整の方向性としてありそうな話
[3:03:52] くろみうむ3776: インファーナルリフトでCD盛りまくったらR一生回るのかな
[3:04:31] maguroud: えんてぃが狂気のごとく回してる
[3:04:33] nin641: そんな稼いでどうすんだよ
[3:04:37] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[3:05:11] maguroud: ただ頑張ってる円ティの姿は見えないんだよなぁ
[3:05:41] maguroud: 今BANされてるんで・・・
[3:05:45] premevere: 一週間BANくらってめっちゃ持ってるらしい
[3:05:57] Phamisya: セクハラBAN
[3:05:57] nin641: ｗ
[3:06:24] ラハール: LJLミラーしてされたのかと思ってたらそういうのかよｗ
[3:06:26] kaninomisoni: 絶対後悔してる
[3:06:30] maguroud: 大御所さんのところでセクハラ発言をリスナーに通報されて１週間BANされてる
[3:07:07] Phamisya: 今風呂上りで何も着てないわー→胸見せてでBANって聞いた
[3:07:16] kaninomisoni: しょうもなｗ
[3:07:20] nin641: くそきもじゃんｗ
[3:07:20] ref_eo: しょうもなすぎる
[3:07:27] darksworks: 普通にキモくてワロタ
[3:07:27] kurou_crunn: エロおやじがよぉ
[3:07:29] yokobue: うーんｗ
[3:07:40] maguroud: セクハラとかは厳しいんでねぇ・・・
[3:07:42] 筑波119: 結構なセクハラではあるよｗ
[3:07:58] sabatarou: へえ～そんな感じだったんだ
[3:08:18] ラハール: それが売りのVDK
[3:08:23] kurobane31: vdkは暴言だからセーフ
[3:08:36] maguroud: 昔多かったけどくっそほど規定重くなったから消えただけだよ
[3:08:42] nin641: ノリとかふざけてるのわかってるタイプならいいけどガチっぽくない？
[3:08:44] 74589655: そういう付き合いあるんだ
[3:10:39] maguroud: 忍者しゃべってる？
[3:10:45] ラハール: 何をずっとにやにやしてるのｗ
[3:11:34] maguroud: ライズは調整するとリメイクしなくちゃならなくなるんでね
[3:11:49] porkcurry05: そろそろ橋作るゲームとか探す？
[3:12:05] くろみうむ3776: コーキっていま強い？
[3:12:07] ラハール: もうちょっとだけアクセント欲しいよねぇ
[3:12:20] くろみうむ3776: なんか時々見るようになった
[3:12:47] nin641: 結局いつものなんだ
[3:12:50] ラハール: いろいろごちゃごちゃ考えたけど結局パワー系ビルドで終わった
[3:13:14] ラハール: 仕様変わったコズドラが輝いて見えたけどやっぱりコズドラだった
[3:13:45] ラハール: RoA飛ばしてセラフいけるビルドになれば色々ありそうなんだけどね
[3:14:44] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[3:15:18] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[3:15:26] jorrysz: おじゃー
[3:16:58] くろみうむ3776: リサンドラとか
[3:17:26] aazzazz000: エズ今どんなもんなんだ
[3:18:52] kitsune_of_shrine: 草
[3:18:54] nin641: ほなまた...
[3:18:55] 毎度有難う: 破談
[3:19:49] quito314: topはあんまりADAPのバランス整えれないよね
[3:20:15] kitsune_of_shrine: 今APジャングル強いから、botでAP出されると大変なことになる
[3:22:21] twindere: かべおさんがシンゲドくそつらいって言ってた気がするなｗ
[3:22:33] welldoneman1: 投げるときあれやったらすかすのかな
[3:23:10] nin641: ！？
[3:23:18] twindere: プッシュされて覚醒Ｒされたらなんもできんって言ってた気がするな
[3:24:46] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[3:24:51] 豆の木ジャック: マルザ使ってるの初めて見たかも
[3:24:51] nin641: ミニオンいるのに殴ってきたな
[3:25:28] porkcurry05: プライドファイトだ
[3:26:02] maguroud: 小さなことに喜びを感じてるんだよ
[3:26:43] nin641: ウェーブクリアって勝てるようになる？
[3:27:02] welldoneman1: 虫まとめて処理されそう
[3:28:01] shot_taka: このロームに対してみんなが物分かりよくなったらTFの勝率４０％くらいになりそう
[3:28:21] nin641: いいねｗ
[3:28:21] welldoneman1: うおお
[3:28:22] yukijirusi: ｗ
[3:28:27] jorrysz: F R無理すぎる
[3:28:28] 豆の木ジャック: ほんま
[3:28:35] quito314: ロボ怒りの逆襲ローム
[3:28:38] o_penkai: うおおおおFポチRポチ！
[3:28:40] maguroud: リーシンの位置がおかしい
[3:28:45] welldoneman1: 一瞬シンジドかと思った
[3:28:50] yukijirusi: 何であんなとこいる？
[3:29:21] jorrysz: 段々しけてきたな
[3:29:39] yukijirusi: あ
[3:29:43] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[3:29:45] 豆の木ジャック: ウディア固すぎる
[3:29:46] jorrysz: 悲しい
[3:30:12] welldoneman1: 鎧だ！ブオン！
[3:32:08] jorrysz: 全然削れなかったね！って感じかな
[3:32:55] amakusa3065: なんだあいつｗ
[3:33:01] welldoneman1: 何が起きたんだ
[3:34:03] jorrysz: なんかじゃない？w
[3:34:09] amakusa3065: ブリッツ怒りのピン
[3:34:21] ktrbm: シンジドが元気そうで良かった
[3:34:23] amakusa3065: もっとなんとかなりそうではあった
[3:34:32] aazzazz000: あのウディアどうする問題
[3:34:48] welldoneman1: うおお
[3:34:55] ktrbm: 渡せてない
[3:35:07] ringo459: ブリッツのRパッシブ？
[3:35:10] アクアアパタイト: aaの電撃か
[3:36:18] amakusa3065: でかああああああい
[3:36:18] jorrysz: 最強やw
[3:36:27] ktrbm: マルザが最強だ
[3:38:15] ktrbm: わ、ワース
[3:38:16] amakusa3065: ままま
[3:38:24] jorrysz: ドラゴン取れた？
[3:38:33] amakusa3065: シケモク集め
[3:38:35] 毎度有難う: どろぼー
[3:40:13] amakusa3065: ｗｗｗｗｗ
[3:40:15] welldoneman1: んｗ
[3:40:16] sabatarou: え？
[3:40:24] amakusa3065: すごいの出たな
[3:40:27] ktrbm: ADCさん…
[3:40:30] kitsune_of_shrine: パニックフラッシュ出店
[3:40:34] 毎度有難う: マウスカーソルあらぶったか
[3:41:00] sagech: このサモリフ終わったと思ってたけどまだまだあるのか？
[3:41:12] sannma_pie: 燃えがらありがとう
[3:42:06] ktrbm: ７キルでもウディア武器つまないんだ
[3:42:39] ghjkewa: ホロウレディアンスのミニオン爆発でいっぱい食らったでござ
[3:42:45] 毎度有難う: 割と両方極端なスコア分布に
[3:43:24] amakusa3065: BibleThump
[3:44:11] amakusa3065: ヴァルス脅威なのか
[3:44:16] 闇雲マル: ホラゲー
[3:44:39] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[3:44:55] amakusa3065: 硬すぎる
[3:45:08] ringo459: 脅威ヴァルスじゃあウディアしんどそう
[3:45:25] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[3:45:53] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[3:46:13] darksworks: ウディアどうすんねん問題発生中
[3:47:13] 毎度有難う: タワー受けて半分か
[3:47:15] welldoneman1: うおおおおｗ
[3:47:34] 毎度有難う: ついにおちたか
[3:47:34] welldoneman1: なめすぎでしょウディアｗ
[3:47:38] jorrysz: 相手大分無理したか
[3:47:39] ktrbm: なんか行けそう〜～
[3:47:50] 闇雲マル: シャットダウンおいしい！
[3:48:29] ktrbm: ウディア仮面かTF積んだらもっと怖そうなのに
[3:49:21] amakusa3065: いっってぇ
[3:49:28] ghjkewa: グレイブスは俺に任せて逃げろ
[3:50:12] 4700329201: 泣いちゃった
[3:50:17] jorrysz: 嫌な終わり方
[3:50:24] yosemaru3309: 悔しい
[3:50:30] porkcurry05: 無謀なファイトが大好きなやつおるな
[3:50:48] 筑波119: 終始可哀そうなadcだった
[3:53:55] porkcurry05: ランブルいてマルザのウルトあったらぐらい
[3:53:59] jorrysz: 無茶なクラブファイト多くて困る
[3:54:02] yosibill: yosibill subscribed at Tier 1. They've subscribed for 75 months, currently on a 75 month streak! おいす、龍が如く8面白すぎでわろちゃでござ
[3:54:19] ghjkewa: それやっても突っ込んでいってすねられるでござる
[3:54:21] yosibill: 手裏剣おねがいします
[3:54:27] darksworks: なんか昔のスカトルファイトみを感じる
[3:54:46] ringo459: ただで渡すのは気に食わない精神
[3:55:12] narunia02: 1匹だけ取って終わりでいい気はしてる
[3:55:14] yosibill: tanukiSyuriken tanukiSyuriken tanukiSyuriken
[3:55:15] k1tt0katt0: ｗ
[3:55:17] ghjkewa: k4sen 1hit たぬき2hit
[3:55:50] yosibill: 今日勝ててる・
[3:56:31] yukijirusi: DinoDance DinoDance DinoDance
[3:57:05] amakusa3065: GoldPLZ GoldPLZ GoldPLZ
[3:58:23] jorrysz: 微妙？
[3:58:41] amakusa3065: 環境に押されてる
[3:59:44] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[4:00:16] jorrysz: 例えば？
[4:01:34] jorrysz: なるほど🧐
[4:02:40] porkcurry05: 唐突なエコー
[4:03:18] しろくますし: 忍者クロノ８つくって探査しGPにほろぼされるゲームつれぇよ
[4:04:16] jorrysz: 騙したな！
[4:04:25] aazzazz000: 誰がわかんねん
[4:04:44] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[4:05:01] ghjkewa: このスキンtftで見すぎてきらいになったでござ
[4:05:53] ghjkewa: tftでヘイト高めの駒のスキンきらいになりがち
[4:14:14] akante_: マイナスしかない嫌がらせ
[4:15:06] 闇雲マル: 順調なファームだあ・・
[4:15:17] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[4:21:03] aazzazz000: インヒビまで壊すのか…
[4:21:04] ddd48s: 16:30だけど
[4:21:49] kitsune_of_shrine: ジャックスが5分間ファームに専念できる
[4:21:49] HANA_know_keiji69: インヒビ割ったらダメなんですか
[4:22:10] くろみうむ3776: なんかヨネ強くね？
[4:22:23] darksworks: スーパーミニオンが勝手にプッシュするから相手にファームさせちゃう
[4:22:58] HANA_know_keiji69: ファームしやすくなるのか
[4:23:16] くろみうむ3776: テルミもしかして強い？
[4:24:45] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[4:25:03] darksworks: てぃんさん反応いいねぇ
[4:28:14] 八雲吉祥: TFultで終わりかねん
[4:29:42] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[4:30:20] 八雲吉祥: gg
[4:31:11] mage_lol_mid: ござ...
[4:31:21] MZM_Omochi: ジャックス育った方がよかったか
[4:33:44] hiiro111: スノーボールキャラだから手当たり次第キルしにいけるjgの方が合ってるのかな
[4:35:37] yosibill: ソナみたい～
[4:35:49] MZM_Omochi: 最近TFでbot行く人見るけどもしかして強い？
[4:36:49] darksworks: MIDTFだって騙せるから何かしらの有利は獲れるかもね
[4:38:07] くろみうむ3776: ちなみにそれ勝率58%です
[4:39:06] porkcurry05: 執拗ってeがどっかで爆発するたびに足遅くなるの？
[4:39:35] krinring: 既に速さ感じてるの面白い
[4:40:12] ラハール: マオカイって先出しもいい感じ？
[4:41:30] totoro2500: おしおき
[4:41:49] si794: せんざわからのきさまぁがきこえてきました
[4:42:20] おぎゃです: その後まで見据えてやってんのさすがって感じ
[4:43:14] ラハール: ん？
[4:43:40] darksworks: せっかく咎めたのが
[4:44:43] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[4:45:22] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[4:45:47] maguroud: なんかぬるっと死んだな
[4:45:49] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[4:46:28] MZM_Omochi: マオカイ足はや
[4:47:04] おぎゃです: お互いJG動かすなぁ
[4:49:35] ラハール: おー
[4:50:20] ラハール: ガンクえぐいなぁ
[4:50:23] gada2772x: キャリースコア
[4:53:09] ラハール: 足、はえーんだわｗ
[4:53:11] ringo459: MSは正義
[4:53:56] darksworks: グローバルウルトきちぃ
[5:03:02] hc315: うっま
[5:03:59] ラハール: 悪くないかｗ
[5:04:44] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[5:05:08] darksworks: みんな神経壊れてるこの試合
[5:08:29] ラハール: tanukiPheonix
[5:13:53] totoro2500: the k4senでみんなキレてた
[5:14:33] darksworks: 森に替えそうよ苗木が本体の化物
[5:14:42] buri_03: 今おすすめのミッドレーナーいますか？
[5:14:50] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[5:15:12] buri_03: ニーコまだいけるんだ！
[5:15:13] ラハール: SUP練習する気起きないそんなあたしでもマオカイなら出来そう！今日からSUPきたらやってみます！＾＾
[5:15:24] しろくますし: アジールアイテムがよくわからんのだが何つむの？
[5:15:27] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[5:16:35] miriapp: u.ggだとサポートのカウンター枠全部勝率上で笑う
[5:17:11] darksworks: JGのリリアと同じ現象起きてる
[5:19:27] totoro2500: the k4sen 40人参加するらしいけど誰の配信見るか悩むね
[5:20:02] あうしー: そこにつくコーチたちはいったい誰になるんやろうか
[5:20:03] Phamisya: コーチでもない？
[5:20:11] miriapp: 突然寸前でコーチとして呼ばれるかもしれない
[5:20:15] darksworks: 初心者がメインの大会になりそうだよね
[5:20:16] totoro2500: コーチとして呼ばれるかも
[5:20:30] totoro2500: 義務スウェイン
[5:21:02] miriapp: 前回のrainさんみたいにガチ忘れられの可能性
[5:21:26] darksworks: 2週間後って言ってたけど第一回初心者LOL The k4senは前日まで決まってなかったみたいなことあったはずだからまだ分からん
[5:21:44] あうしー: で、いわん
[5:21:57] totoro2500: 前日に声かけられてた人いたね
[5:22:27] らららん: おじゃ 忍者殿はオーグメントあるTFT3.5さわるでござるか？
[5:22:31] toppo_bitter: 犬ハラ
[5:23:55] totoro2500: わんわんパラダイス
[5:24:21] kuuga514: 義務ピックってどのゲームにもあるのね…w
[5:24:47] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[5:24:52] toppo_bitter: 評価高め
[5:24:53] かずのこマ: riot許せねえ
[5:25:02] welldoneman1: おかしいでござるよ。忍びは闇のものだから差別して・・
[5:25:03] ラハール: 稀によくある
[5:25:28] toppo_bitter: 期待を込めて★４です
[5:25:35] ラハール: 内部と見た目のギャップ無くすとかいってたけどまだ来てないのかな
[5:25:51] ゼロ波: あまりにも危険すぎるナイフ
[5:25:53] toppo_bitter: ハラスやめてね
[5:26:02] ラハール: それ効いちゃう
[5:26:12] miriapp: 全員から暴言通報まである
[5:26:16] kuuga514: いやボッチには効くナイフ
[5:26:22] darksworks: ブーメランやめてで全員に攻撃するのやめてね
[5:27:23] totoro2500: 虫バーサス犬
[5:28:50] darksworks: 犬が虫に負けるのおかしくないですか
[5:29:37] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[5:30:20] totoro2500: 虫バーサス犬バーサス牛
[5:33:05] kurou_crunn: ｗ
[5:33:08] toppo_bitter: ｗｗｗｗｗｗ
[5:33:13] xxtidorixx: ハゲもマナが欲しいって
[5:33:15] syobo8686: PopNemo PopNemo PopNemo PopNemo PopNemo
[5:34:02] おぎゃです: ｴｪｾﾞﾝﾌﾞﾄﾙﾉｵﾏｴ!?!?
[5:36:31] darksworks: せんざわめっちゃ食うやん
[5:36:53] oniku81tayo: なふぃーりどうですか個人的に今すんごく弱く感じるんですが
[5:37:15] kurou_crunn: 丁寧に一体ずつ消されてくのおもろｗ
[5:37:26] 毎度有難う: 嫌なカウンター要素
[5:37:34] おぎゃです: それ子犬のHP減ったタイミングでEで回復させてもだめなん？
[5:37:42] twindere: Eして回復は俺も思った
[5:39:06] nin641: ｗ
[5:39:07] okitatwitch: さすがに
[5:39:08] sannma_pie: the yasuo
[5:39:08] おぎゃです: さすがに？
[5:39:11] 毎度有難う: しかしそこはやすお
[5:39:12] kurou_crunn: ヤスオの生態ってかんじ
[5:39:14] nagatoevol: ん～ヤスオ
[5:39:16] ラハール: き、きえた
[5:39:16] aazzazz000: 敵の味方のヤスオ
[5:39:24] darksworks: いつものヤスオ
[5:40:23] nin641: 横のエズリアルが嫌すぎて逃げてきた説ない？
[5:41:44] si794: たかちゃんちょっと開いたら格言みたいになんか物言ってたから閉じた
[5:41:52] おぎゃです: ナフィーリ面白いキャラなんだけどなぁ...
[5:42:44] darksworks: キヤナはどう？
[5:42:47] おぎゃです: レートまで行けば舞えそう？
[5:44:52] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[5:45:34] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[5:46:09] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[5:46:16] ゼロ波: なあマッチングに問題がないか？
[5:46:49] xxtidorixx: エズカルマならサポート消えるならぼこぼこにできるはずなんだよね
[5:47:03] mage_lol_mid: ござ
[5:47:19] ゼロ波: 今のエズ育ったらパワーあるし押しまくってよかった気がするね
[5:47:52] こーで: MIDはADアサシン強化シーズンにする？
[5:47:56] mage_lol_mid: 子犬からマルザのEが感染したの笑ったでござ
[5:48:01] xxtidorixx: そんなことよりjgさん頼むADをやってくれ
[5:48:43] mage_lol_mid: ｗ
[5:48:53] darksworks: LOLやってる民LCK見てくれヴォイドグラブなんてドラゴン触れなくて暇なときに触るぐらい価値が無いんだ
[5:49:13] xxtidorixx: フリーならいいけど頑張って３つ確保するようなもんじゃない
[5:49:17] mage_lol_mid: 強引にグラブ取ってもタワー触れなきゃ意味ないしね
[5:49:29] toppo_bitter: さっき出したのはjgmidがメイジだったから？
[5:49:30] レティツィア: topsupがAP出すとmidのADチャンプ問題が
[5:49:59] jorrysz: 今のADミッドで強いのはヨネヤスオか
[5:50:28] toppo_bitter: ADの選択肢でだしたのねあざす
[5:50:29] xxtidorixx: エイトロでも出すか
[5:50:59] toppo_bitter: ヘラガキの罠感すごい
[5:51:31] ラハール: そういえば忍者先生って統計サイト見るときサーバーとレートの設定いじってる？俺KR,D2以上で見てるんだけど
[5:52:29] cloud9funboy: 鵜呑みはよくないってことでござるな
[5:52:40] ラハール: 昔は統計３感覚７だったけど最近統計のほうを重視してる
[5:53:24] mage_lol_mid: スキルショットを子犬が防いでくれるくらいのイメージしか無い
[5:53:25] darksworks: KR見て強いなこいつをJPで見てカウンターが上の方にいなければ使ってる
[5:53:37] こんにちは一般人です: 感覚と統計ってどれくらい差が出るもんなんだろ
[5:53:40] ラハール: 統計の意味まで考えれないとって部分は実際あるし、やらないと気づけないことも多いよね
[5:55:12] こんにちは一般人です: そうなのか
[5:55:40] yappi000: フェイがバフにより勝率50に届きそうになってるけど使った?
[5:56:46] katarinabru: !sens
[5:56:46] Nightbot: 400dpi×0.7
[5:56:50] darksworks: フェイ一般人が使うにはもう少しパワーが欲しい
[5:57:14] しろくますし: 実は前ぱっちのほうがミニオンクリア速度はやかったからやりやすかった
[5:57:32] darksworks: レーンは行けるけど集団戦あいつムズい
[5:58:02] xxtidorixx: 前からレーンは無難に終わってるのよく見たけど集団戦よくわからんまま負けてるイメージ
[5:58:12] azuma9280: たまーにサポートで出る
[5:58:33] darksworks: ベリルがSUPで使ってる
[5:58:40] sabatarou: かなし
[5:58:47] xxtidorixx: 拝啓
[5:59:42] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[6:00:52] azuma9280: キャニオンがブランドjg出してるのはみた
[6:01:34] nin641: ｗｗ
[6:01:36] kurou_crunn: ｗ
[6:01:58] nin641: 熱い宣言だったな
[6:03:41] jorrysz: www
[6:03:50] cloud9funboy: 新たなADハラスメントの被害者
[6:03:50] twindere: タヌキ渾身のADハラスメント
[6:04:38] jorrysz: 下の奴らが合わせるべきでござ
[6:04:43] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[6:05:42] twindere: ｗｗｗｗｗｗｗ
[6:05:43] ラハール: ヨネ出さなきゃじゃ～んっていったらにんちゃんで草
[6:05:53] azuma9280: はやい
[6:06:01] darksworks: エコーが悪いということで
[6:06:36] twindere: よく生きたエコー
[6:06:46] nin641: 勝ったな
[6:06:57] 四獣ちゃん寝る: おれならあきらめて死んでたな
[6:07:04] darksworks: 62円ありがとう
[6:07:09] cloud9funboy: もうリカーブ？？
[6:07:30] twindere: ハラスメントはしっかり重ねていかねえとな
[6:09:13] jorrysz: 序盤のエコーってヴィエゴにも勝てないのか
[6:10:29] Hasha0626: このJGマッチアップは仕掛けたほうが勝つ
[6:10:29] jorrysz: 勝手に弱いイメージがあったわ
[6:12:59] Hasha0626: エコーがWから入れば勝てる
[6:13:11] jorrysz: まずい
[6:13:20] 豆の木ジャック: くさ
[6:13:29] ゼロ波: 大事故起きたｗ
[6:13:33] jorrysz: 最悪すぎw
[6:13:34] darksworks: クライアント君さぁ
[6:14:46] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[6:15:10] ゼロ波: でっか
[6:15:23] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[6:16:23] しろくますし: さっきからえこーｊｇひいてるけど全部まけてね
[6:16:24] jorrysz: ヴィエゴ育っちゃってるなあ
[6:27:06] amakusa3065: ござ BibleThump
[6:28:43] amakusa3065: うおお
[6:29:12] quito314: イレリアがザイラのカウンター過ぎると思いません？
[6:29:48] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[6:32:18] amakusa3065: 次のファイト勝てりゃ流れきそうだけども
[6:34:58] amakusa3065: KomodoHype KomodoHype KomodoHype KomodoHype
[6:37:09] タコの刺身39800円: 重症は？
[6:37:22] mage_lol_mid: ゾニャ高いのもやもやする
[6:37:41] darksworks: 一旦アムガか？
[6:39:14] amakusa3065: tanukiGG tanukiGG tanukiGG tanukiPpa
[6:39:21] ALittlePigPig: Gg
[6:39:24] darksworks: NO DEAD
[6:39:40] jorrysz: やな感じw
[6:39:42] yosemaru3309: gg
[6:40:24] ALittlePigPig: あどなんpointどgrandmasterですか
[6:42:55] yosibill: お、風呂はいってたら勝ってる
[6:43:11] yosibill: へらがき寄らなかった？
[6:43:33] ラハール: 負けたら気まずいと思いながら汗かきながらやってた tanukiTanu
[6:43:58] ラハール: イレリア対面苦手だから怖すぎる
[6:44:15] xxtidorixx: もっと気楽な対面ならまだしもイレリアなのである
[6:44:43] jorrysz: E当たったら終わり
[6:44:49] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[6:45:27] xxtidorixx: イレリア育ってるとなんかシュンってやられたら消えた
[6:45:37] sharryphase: おじゃ
[6:45:37] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[6:46:05] darksworks: イレリア、ヤスオみたいな性能にしないか？
[6:46:11] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[6:46:51] twindere: せやなえこーよくあの序盤からこうなったな
[6:48:10] ラハール: そういえば途中ヴォイドグラブによらずにBOTダイブ回避のTPするか迷ってたんだけどしたほうがよかったよね
[6:48:13] jorrysz: たまにスプリットしてるjgいる
[6:49:08] ラハール: なんかよけれそうだったからリコールするのやめてヴォイドいったんだけど、だいぶされてた
[6:49:30] Vladymoon: 6ヴォイドと2ドラってどっちが強いと思いますか？
[6:50:57] darksworks: 6ヴォイドはスプリット構成なら強い
[6:51:28] Vladymoon: ありがとうございます！
