[0:00:26] ryokucha112233: やあ
[0:44:51] anemoi_thyellai: スタンミは笑顔で銃うつぞ
[0:44:51] ユメオ: ふぉいは喧嘩する時紫のオーラ出てきそう
[0:44:52] さすらい777: フルタンクありけん
[0:44:54] kibidango551: けんきは目潰し 足払い 言い負かしが得意だもんね
[0:44:55] norinoriski: ふぁんたかしんじ
[0:44:55] chernobog198612: 一本抜き手最強や
[0:44:59] scrapcrafter25: ほうほう
[0:45:00] gg_razer_: ふぉいは平気で武器使うぞ
[0:45:01] potatodrink9: ずる賢いやつが強いのか？
[0:45:03] metal_sasami: モンキーは殿堂入り
[0:45:07] iru923: ありけんもなんもきかないぞ
[0:45:10] ひかる爺さん: こんけんきい
[0:45:11] kuria0712: ほなけんきか
[0:45:11] たる侍: けんき最強か？
[0:45:12] 一服さん: ファンタさんが優勝しそう
[0:45:12] high_tech_hunter: 喧嘩っていうか襲撃じゃん
[0:45:13] たける: しんじさんは顔だけ最強そう
[0:45:14] ayayan11: だからけんき？
[0:45:15] damakuma: けんきもなかなかか
[0:45:18] MrYasu02: パンチの技術は誰でも習得できるけど、パンチを怖がらないのと顎をフルスイングするのには素質がある
[0:45:19] r_Lotus_jr: 矛盾で関さんと恭ちゃんバトル見たい
[0:45:21] syuimee: 卑怯
[0:45:23] セッター: え？
[0:45:23] ぱんふぁい: ？
[0:45:25] kibidango551: 刃牙でやってた？
[0:45:27] syuimee: え？
[0:45:28] ユメオ: ずる
[0:45:29] ShanaKamishiro: ほ、んと？
[0:45:29] kuria0712: sekiHa
[0:45:33] ワンダ777: K1、プライドの時代は格闘技見てて楽しかった
[0:45:33] しんきゅついってん: けんきはよわい
[0:45:33] からもこ: 保身のけんき
[0:45:33] たる侍: 小物
[0:45:33] メー太: けんきはそもそも戦闘フェーズに入らなそう
[0:45:36] hiro232320: じゃーかるび最強
[0:45:38] omacom_g: じゃあかるびが最強化
[0:45:40] 赤カブト: 釈迦さん弱そう
[0:45:40] yandereyahoo: み、けねこ強そう
[0:45:41] callfield9: フォイはチャカ使うぞ
[0:45:42] morimori03020320: 喧嘩した時点で叩かれるからもう遅いぞ
[0:45:42] ayayan11: 1対1で負けたら死ぬならするやろ
[0:45:43] ソロマスオタク: ｗｗｗ
[0:45:43] ザリガーノ: バレなければ毒を使うけんき
[0:45:43] norinoriski: ホーリーランド的にはふぁんた
[0:45:44] ShanaKamishiro: wwwwwwwww
[0:45:45] アルコール中毒者: 後先考えなければ強いつまりニートが理論上最強
[0:45:46] syuimee: 口上で戦いを避ける
[0:45:47] はまオジ: ホーリランドっていうストリートファイトを主体にした漫画面白いぞ
[0:45:49] 山本1794: 最強は弁護士だよ
[0:45:50] たける: 走って投石が最強らしい
[0:45:50] nemimi2532: わんわんかわいいー＾＾🩷
[0:45:52] たる侍: ボドカ強そう
[0:45:52] じゃこです: 無敵
[0:45:52] haluaoi: 釈迦さん武器使ってたとか言ってなかった？
[0:45:52] luke_cloudy: おにやw
[0:45:56] potatodrink9: ネジぶっ飛んでるやつが勝つ
[0:45:57] kai0plusc: けんきがけんかするイメージないなぁ
[0:45:58] しんきゅついってん: おにやわら
[0:45:59] はいじんちゃん: 周りの目を気にするのに遅刻はしちゃうんだよなあ
[0:46:03] morimori03020320: やはり拳か
[0:46:04] セッター: 全集中できるからね
[0:46:04] kibidango551: おにやは勝手に講釈たれてるからよわいよ
[0:46:04] omacom_g: おにやとみけねこが頂上決戦じゃん
[0:46:06] ShanaKamishiro: 躊躇なく顔面殴れそうよな
[0:46:06] picchan_0: 碧依さくらって新人Vがトレンド入りしたらしいです！！！！
[0:46:09] ねこざめ3: けんきさんは撮影するだけ
[0:46:11] syuimee: でも遅刻は？
[0:46:11] 一服さん: くまごりさんの圧はやばい
[0:46:11] メー太: おにやは自然に相手の削いできそう
[0:46:14] metal_sasami: スペシャル
[0:46:14] さすらい777: 人間兵器
[0:46:18] おも亭: 先制やられても耐えて、一撃で制圧する力があれば良し
[0:46:19] はまオジ: 釈迦海王やめてね
[0:46:20] kuria0712: でもけんちゃんは股間でかいから不利か
[0:46:22] haluaoi: てんせいw
[0:46:25] anti0124: ちー
[0:46:27] financier29: 大型新人やなあ
[0:46:27] ユメオ: 大人になってたとは？
[0:46:28] MrYasu02: 釈迦は１分間も縄跳びできんから無理や・・・
[0:46:30] びりびり0810: 聞き覚えのある声してたね
[0:46:30] ko_wab: にじさんじの人が初配信引用RTしてたやつね
[0:46:30] kibidango551: けんきさん 新宿の方 雪どうですか？
[0:46:31] matrix_025: 釈迦さんは転んだら骨折れそう
[0:46:32] おがちゃん0308: ジョブチェンジね
[0:46:33] はまオジ: 関さん不利
[0:46:34] umakuchishoyu: あいつ動画投稿にこりすぎで配信しない
[0:46:35] morimori03020320: 弱点でかいか
[0:46:37] たくあん01: 碧衣さくらかわいい
[0:46:37] scrapcrafter25: wwwww
[0:46:38] syuimee: キャンしゃします
[0:46:39] miu_3kt: めっちゃ可愛かった
[0:46:39] めるてぃ_: なんか見覚えあるなぁ
[0:46:44] からもこ: ﾁﾝﾎﾞｳ
[0:46:45] えにくすさん: たま
[0:46:46] バナル: えなーこいつもありがとう
[0:46:47] scrapcrafter25: たまだろ
[0:46:47] yandereyahoo: たまだろ
[0:46:48] 一服さん: たまたま
[0:46:48] morimori03020320: たま
[0:46:49] kai0plusc: きんたまだろｗ
[0:46:50] R_tojiyo: wwwwww
[0:46:50] 山本1794: たま
[0:46:51] ShanaKamishiro: たまです
[0:46:52] おがちゃん0308: たま
[0:46:52] syuimee: 金的だもんね
[0:46:53] littleriver_0723: たまだろな
[0:46:54] アルコール中毒者: 内蔵だしね
[0:46:55] はまオジ: 玉はむき出しの内臓だからな
[0:46:56] kibidango551: 下ネタですか‥‥
[0:46:56] murasima: たま
[0:46:57] kuria0712: 分からないからちょっと見せて!
[0:46:58] anemoi_thyellai: 内臓なんだからさ
[0:46:58] MrYasu02: 内蔵である玉だね
[0:46:59] 冷たい焼肉: たまマジで痛い
[0:46:59] ひかる爺さん: 確実に玉
[0:46:59] ぺろキャン: たまたまね
[0:46:59] morimori03020320: たまほんとエグい
[0:46:59] Pepsi_is_great: たまたま
[0:47:00] くぐ2: たまが痛い
[0:47:00] メー太: いや十分に痛いだろ
[0:47:00] はちみつキャビア: 玉は内蔵やからね
[0:47:01] しんきゅついってん: せきは玉大きい
[0:47:02] からもこ: ちんちんは意外と打たれ強い
[0:47:03] たくあん01: 金的
[0:47:04] SIKABANE173: なんて話してるのww
[0:47:05] konishiyukinaga1558: 女性の方が股間効くらしいぞ
[0:47:05] えにくすさん: 関さん弱い
[0:47:06] nemimi2532: 何この配信w
[0:47:06] loowwwwwww: ちんちんは無敵
[0:47:06] umakuchishoyu: たまをおとすんよ
[0:47:07] king_macky: ちんちんは単なる配管みたいなもんだからな
[0:47:08] kai0plusc: たまたま打つと逆流するんよな
[0:47:08] takahashi_png: ち↑ん↓ち↑ん↓
[0:47:09] omacom_g: 金玉蹴られると腹痛くなるのなんで？
[0:47:09] しんきゅついってん: 玉ガチ痛い
[0:47:11] ウニばあす: 金的蹴られると痛いよ
[0:47:11] tamadeka_: たまたまの鈍痛
[0:47:12] じゃこです: 尿管が痛いだけ。結局内蔵が急所
[0:47:15] _ちはや: ちんちんは握っても痛くない
[0:47:16] Tsutsutsu514: 当たり判定でかいもんな
[0:47:17] MrYasu02: 急所の面積かww
[0:47:17] yumcha894: 金玉漂流在外、
[0:47:18] おも亭: 珍棒蹴られてもムクムクするだけ
[0:47:18] Pepsi_is_great: ご飯中です
[0:47:20] kibidango551: けんき「関の方がよわい」
[0:47:20] バナル: ちそぼそ
[0:47:22] hiro232320: 関さんヒットボックスでかいからな
[0:47:22] ワンダ777: でもチャックで挟むと絶望するぐらい痛いよ
[0:47:23] luke_cloudy: ロデオは見てて痛かった
[0:47:24] inarikkk: ロデオで死にかけてたもんな
[0:47:25] 山本1794: たまにパチンコ一発当てればKOよ
[0:47:25] scrapcrafter25: 弱点でかすぎるww
[0:47:26] 村人の民: こつかけマジでできるらしいよ
[0:47:27] umakuchishoyu: セーフティカップしよう
[0:47:27] メー太: 確かに
[0:47:28] haluaoi: けんきは竿がでかいと
[0:47:28] ayayan11: 俺筆箱で球ぶつかっただけで倒れかけた
[0:47:28] さすらい777: でも関さんは玉も鍛えてるぞ
[0:47:29] 4yoichi1: 内臓は神経が集まってるので
[0:47:29] たこのあお: 金魂片方取ってる人は防御力倍って事か
[0:47:30] アルコール中毒者: 金玉腹の中に隠そう
[0:47:30] inunosinja: ちんちんとたまは比例しない
[0:47:31] たける: なんならちんは痛みに強いよね
[0:47:32] ユメオ: 体の中に収納できるように訓練するか
[0:47:33] metal_sasami: ちんkは足で踏まれるプレイあるけどたまたまは無理だもんな
[0:47:33] たくあん01: 金的蹴りで一発KO
[0:47:33] Teamason3: 男まじでバグ
[0:47:38] ダンデり: ふぅ、話聞くだけで痛くなってくるぜぇ
[0:47:38] r_Lotus_jr: でも独歩は金的効かないよ
[0:47:38] えにくすさん: ロデオで４にかけてたのなついな
[0:47:40] ねこざめ3: 金的っていうしね
[0:47:41] syuimee: でも尻蹴られたら？
[0:47:41] Nemu1010: ノーガードきんたま
[0:47:41] ShanaKamishiro: 内臓なのにガードされてないです
[0:47:41] R_tojiyo: 部活の試合中に膝入った時マジで歩けなかった
[0:47:42] バナル: えなーこいつもありがと
[0:47:43] たる侍: 冷却機能優先
[0:47:44] 赤カブト: バキのアニメOP
[0:47:45] MrYasu02: 神の作ったバグの一つ
[0:47:46] シーーズ: バスケ中にちんちん先っぽ蹴られて痛かったよ
[0:47:46] damakuma: コツカケ
[0:47:48] ウォッチっち: けんちゃん・・・最近ちんちん小さくなってたちが悪いんだけどんだけどどうしたらいいんや？
[0:47:49] からもこ: もうちょい構造どうにか出来んかったんか
[0:47:49] ayayan11: なんで守られてないねん
[0:47:49] king_macky: 精子を冷やすためにね
[0:47:51] yumcha894: 熱にも弱いしな
[0:47:51] しんきゅついってん: 筋肉は内臓だろ
[0:47:52] kai0plusc: ぶら下げてるからなぁ
[0:47:52] kuria0712: おろち独歩はしまえてたよ
[0:47:52] anemoi_thyellai: 玉をヒットボックスでみるなｗ
[0:47:53] nemimi2532: 真昼間からww何これ
[0:47:54] 右上のたけ: 倅いじりは内臓マッサージやぞ
[0:47:55] morimori03020320: 男になんかされそうになったらたまを壊せばOK
[0:47:56] ひかる爺さん: でもバイクで急ブレーキしてタンクと体に棒が挟まると馬鹿痛い
[0:47:56] はまオジ: 精巣を冷却しなきゃいけないから体外にでてるんだよね
[0:47:58] アルコール中毒者: グリスぬろう
[0:48:00] omacom_g: キャンタマプロテクター義務化せな
[0:48:01] たける: 金玉の痛みは眼球の痛みと同じだと思ってる
[0:48:02] らあすと: なんか股間痛くなってきた
[0:48:03] ilk00000: 最初の温度調節のためだっけ
[0:48:05] t2ba8a: ゴムゴムの金玉がない理由
[0:48:07] takahashi_png: 急所丸出しわろたw
[0:48:11] syuimee: 精子死ぬもんね
[0:48:12] financier29: きゃんたまに詳しすぎる男
[0:48:13] たける: バキで学んだ知識
[0:48:14] のむのむの: ラジエーター
[0:48:15] 11totohack11: 金玉排熱するたまね
[0:48:16] 暇猿01: 精子が死ぬ
[0:48:16] haluaoi: 加熱した事あるの？w
[0:48:17] iru923: 中国でたまたま殴り続ける訓練あるよね
[0:48:22] オトナリ: そうなんよなだから上から蹴られるのと下から蹴られるのどっちが痛いかって言ったら下からだもんな
[0:48:23] みわ5: 立ちが悪い人は性感マッサージ行くといいよ
[0:48:24] tam_svf: だから、たまたま冷やすと気持ちいのか
[0:48:27] ひかる爺さん: 放熱効率やね
[0:48:28] からもこ: きんたま談義何？
[0:48:30] ユメオ: おきんたま入室
[0:48:30] メー太: 一定の温度を保たないといけないんだよね
[0:48:36] anti0124: なぜ精子が熱に強く進化しなかったんですか
[0:48:38] はまオジ: まあ冷やしたところで俺達は無駄撃ちしか出来ないのだが
[0:48:38] hiyokko3: 股間ムズムズしてきた
[0:48:40] たいにー: 空冷www
[0:48:40] アルコール中毒者: ファン追加しよう
[0:48:42] たる侍: 進化した人類は水冷金玉になる
[0:48:42] t2ba8a: 水冷にしておけよ
[0:48:43] たける: たまたまひんやり
[0:48:43] osyoyuyasan: 外に出ててもいいけど、痛覚を実装するのが悪い
[0:48:44] ウォッチっち: @miwa_4da 行ってみるサンクス
[0:48:45] 98op01: こんけんき
[0:48:51] haluaoi: きんたま博士
[0:48:51] nemimi2532: ファンwwwww
[0:48:51] king_macky: ポルシェすら諦めた空冷を未だに採用する人類さぁ
[0:48:52] 赤カブト: ハイブリッドだぞ
[0:48:54] picchan_0: 優太・・・
[0:48:54] こーじょ: 金玉はPCです
[0:48:55] ユメオ: 改造して冷却ファンつけるか
[0:48:55] たこのあお: ほな水冷にした方がいいのか🤔
[0:48:59] ぺろキャン: kenkiKota kenkiKota kenkiKota
[0:48:59] scrapcrafter25: たしかな
[0:48:59] 11totohack11: 範馬勇次郎もそう
[0:49:00] kuria0712: こたー
[0:49:02] anemoi_thyellai: 女性リスナーいないからみんな分かってるぞ
[0:49:02] x_singularity: けんきさん、お久しぶりです。そしてはじめまして。188cm 88kgのアメフト部員の者です。最近のけんきさんの活動に対して非常に思うところがあるので、ぜひ2人きりで対談しましょう。
[0:49:02] はまオジ: キンタマスターけんちゃん
[0:49:03] 暇猿01: コタツは良くない
[0:49:04] scrapcrafter25: たしかに
[0:49:07] ひかる爺さん: 体温41度以上あがると種無しになるはガチ
[0:49:08] damakuma: 水冷ってどうやるんだ？氷袋でもつける？
[0:49:10] ダンデり: 外に出さないで済むなんて独歩ちゃんぐらいだよ
[0:49:11] アルコール中毒者: マイケル・ジャクソン最強
[0:49:18] 山本1794: つまり水冷か
[0:49:19] メカメカブ: 空気に触れる表面積が増えるためにあんなシワがあるのね
[0:49:20] 悪魔的うたのさん_たいら: 数少ない女性リスナーどす
[0:49:21] 4yoichi1: 金玉博士たすかる
[0:49:22] nemimi2532: PopNemo PopNemo PopNemo PopNemo ……。
[0:49:22] おも亭: 魚が羨ましいよ
[0:49:27] kai0plusc: 簡易水冷つけようぜ
[0:49:28] 耳舐めて欲しいにょ: 魚とか爬虫類の変温動物は体温が変わるからね
[0:49:29] ぺろキャン: 白子食いてぇ
[0:49:30] メー太: 確かに魚の白子は内側にあるもんね
[0:49:33] syuimee: 34〜35度で形成されにくいらしい
[0:49:34] iru923: きんたまの悪魔
[0:49:35] こーじょ: 金玉に水脹れできたら水冷
[0:49:35] omacom_g: 陸上にあがったら金玉ださなってことか
[0:49:41] オレンジ野郎: コツカケしたら隠せるよ
[0:49:43] のむのむの: イカの精子はささる
[0:49:46] t2ba8a: 魚食べたくなってきた
[0:49:46] 赤カブト: 血液でも冷やしてる
[0:49:47] じゃこです: トランス兄貴が最強ってこと？
[0:49:47] king_macky: でも魚のセックスは実質自慰だよ
[0:49:48] 暇猿01: サウナーは精子弱るんか？
[0:49:49] pastel946: 41度ぐらいの高熱になると金玉4ぬっていうよね
[0:49:51] やまたろ0000: サウナ行っても大丈夫ですか？
[0:49:51] omacom_g: つらー
[0:49:51] cokeandburger12: 去勢すれば弱点が減る
[0:49:53] kuria0712: ぼろん
[0:49:54] さすらい777: ぼろん
[0:49:54] t2ba8a: まんまんは？
[0:49:55] pandakopanta: 恒温動物の宿命か
[0:49:55] はまオジ: たらの白子ポン酢美味い
[0:49:57] nemimi2532: wwwwwwww
[0:49:57] みわ5: ぼろん
[0:49:58] 冷たい焼肉: w
[0:49:58] Nemu1010: サウナは
[0:49:59] 山本1794: やっぱ時代は水冷か
[0:50:04] kai0plusc: これが取引
[0:50:05] morimori03020320: 神様さぁ...
[0:50:05] MrYasu02: wwwwwwww
[0:50:05] アルコール中毒者: www
[0:50:05] x_singularity: けんきさんのキンタマを拝見させていただきたいです。
[0:50:08] たける: ちなみにカバには金玉ないよ
[0:50:09] ぱんふぁい: 貴方は救急車を
[0:50:12] r_Lotus_jr: 水泳選手は金玉が出てません
[0:50:12] 一服さん: 外界にでるとボロンしちゃうのか
[0:50:12] オレンジ野郎: 俺も陸上だからズボン下ろさなきゃ
[0:50:13] norinoriski: セクハラですか？
[0:50:13] non_nothing9: ぼろんするかどぶんするか
[0:50:15] はまオジ: 内臓ボロン
[0:50:16] metal_sasami: ジョージもコールドシャワー推奨してるしな
[0:50:17] たこのあお: サウナも良くないって言ういね
[0:50:17] osyoyuyasan: 男性もスカートのほうがよいってこと？
[0:50:17] こーじょ: サウナは水タオルを金玉に当ててれば大丈夫
[0:50:19] ユメオ: きんたま担当神
[0:50:21] kichi_MM: 金たまに冷却ファン付ければいいか
[0:50:27] loowwwwwww: 外出するときは金玉出しとけってこと
[0:50:27] picchan_0: キンタマで爆笑するけんき
[0:50:29] メカメカブ: 厳しいって
[0:50:30] kai0plusc: 確かに、サウナ行ったらたまたま,,,,
[0:50:31] たこのあお: スカートは元々男のもんだぞ
[0:50:31] morimori03020320: あったねそんなの
[0:50:32] MrYasu02: 人間は神様に似せて作られたらしいけど
[0:50:32] x_singularity: けんきさん、金玉を拝見させていただくことできますでしょうか。
[0:50:32] メー太: 哺乳類の神様は空冷派だったというわけか
[0:50:36] mlkyyyy_y: ご飯食べてる時に来たらダメやったw
[0:50:38] haluaoi: サウナはキンタマを煮てるのか
[0:50:38] kuria0712: 金玉用のブラジャーあるぞ
[0:50:38] callfield9: 上陸許可証キンタマ
[0:50:41] gurimu575: <3 地球を丸く作ったやつ
[0:50:42] のむのむの: おろちどっぽはからだのなかにしまえる
[0:50:43] marimo_tsf: たまたま舐めなられるの苦手なんだけど、けんちゃんは大丈夫？
[0:50:43] えにくすさん: 有心論ならぬ金玉論
[0:50:47] じゃこです: ほなサウナは胎児虐待か
[0:50:49] ひかる爺さん: けんきは先も表面積多いから股間放熱効率良いね
[0:50:49] syuimee: でも温度調節のために露出してるんだって
[0:50:49] mozurr: PowerUpL BloodTrail PowerUpR
[0:50:51] iru923: きんた、守って
[0:50:51] dreamkitson: 配信者でキック流行ってるけど柔術やらないの？
[0:50:51] ワンダ777: 沖縄で金玉食ったな
[0:50:52] がはは_: 睾丸
[0:50:55] non_nothing9: 金だしな
[0:50:56] anemoi_thyellai: 食材だしな
[0:50:56] はまオジ: 白子苦手なタイプの人かもしれない
[0:50:57] norinoriski: きんたまみたいなリュックあるぞ
[0:50:57] mozurr: きんたまかわいい
[0:50:58] オレンジ野郎: 関さんがプール行ったらどうなんやろ
[0:51:00] calamal_bechiato: 解剖学的な話ではある
[0:51:03] 右上のたけ: ブッシュ＝ちん下って揶揄するからね初期RAD
[0:51:05] らあすと: らっきょう食べてたのに
[0:51:09] 村人の民: 金玉は食べ物だろ
[0:51:10] たこのあお: 枝豆が金魂に見えてきた
[0:51:10] 冷たい焼肉: 生物の作りの話してるだけやで
[0:51:10] こーじょ: 金玉ポケットパンツあるよね
[0:51:10] アルコール中毒者: 金玉はマスカットに似てるってホント？
[0:51:11] syuimee: ゲテモノあるもんね
[0:51:12] kqizi_525: 居酒屋よくあるよね
[0:51:13] grow_gun: 光り輝いてるものが汚いわけがない
[0:51:16] のむのむの: 白子大好きーって言ってる女の子の話する？
[0:51:18] loowwwwwww: 金の玉って文字だけなら神聖
[0:51:20] haluaoi: 焼き鳥屋でキンタマ食えるよね
[0:51:21] kibidango551: 雪降ってるけど雪の雑学教えてくれ
[0:51:23] kuria0712: ワンピースの話か
[0:51:24] SIKABANE173: それなら数の子とかグロすぎるやろ
[0:51:25] はまオジ: 楽しく戦国学べる方法教えてくれ
[0:51:27] tam_svf: そういえば、昨日かるび姫が「きんたま！！」って大きな声で言ってたな
[0:51:28] ギルベルト少佐: 玉に虎徹つけるか
[0:51:28] おも亭: え！？
[0:51:29] むとぅ: きんたマカオにつく
[0:51:30] オレンジ野郎: ？
[0:51:32] picchan_0: 沖縄でしんじと泳いでる動画玉丸出しだったのか
[0:51:32] 悪魔的うたのさん_たいら: そうなんや
[0:51:33] ひかる爺さん: ストロベリーはベリーじゃ無い
[0:51:35] nemimi2532: ！
[0:51:35] anti0124: そんなわけ
[0:51:35] たける: バナナベリーってこと？
[0:51:35] 山本1794: たまとかバナナとか
[0:51:36] びりびり0810: それカスの噓？
[0:51:37] のむのむの: まじか
[0:51:37] kai0plusc: バナナってことはちんか？
[0:51:39] えにくすさん: イチゴはベリーじゃない
[0:51:39] からもこ: 雑学おじさん
[0:51:40] ねこざめ3: テンション下がってる
[0:51:41] 赤カブト: 金玉の話しようよ
[0:51:41] たこのあお: ベリービックなのか🤔
[0:51:41] iru923: バララ
[0:51:42] tatibana1078: うしろのペットボトルまじ気になる
[0:51:42] mochipippi_: 玉舐めとか生殺与奪の権利を他人に握られてるようなものだからな
[0:51:45] 暇猿01: きんたまもベリー科
[0:51:45] ワンダ777: 金玉は黒いタマだったな
[0:51:46] norinoriski: 話変わってないな
[0:51:48] marimo_tsf: 金玉キラキラ金曜日
[0:51:49] オレンジ野郎: けんきのらしいは信用ない
[0:51:52] morimori03020320: つまりどういうことだってばよ
[0:51:53] inunosinja: 俺たちのたまはベリー？
[0:51:55] damakuma: ベリーダンス
[0:51:55] potatodrink9: 誰かが人は半分バナナって言ってた
[0:51:57] kuria0712: さいこうー
[0:51:57] はまオジ: じゃあバナナとブルーベリー一緒にスムージーにしたらおいしいか
[0:51:59] おも亭: ちがう！きんたまや！
[0:51:59] ユメオ: へー...で終わる
[0:52:00] たける: そろそろ金玉の話するか
[0:52:00] non_nothing9: ちなみにバナナとプランタンは別
[0:52:01] のむのむの: すこしだけおもしろい
[0:52:02] えふご: そうなんだ
[0:52:02] king_macky: ためになったねぇ～～
[0:52:04] lseinc: 銀鱈は鱈じゃない
[0:52:05] メー太: けんき都内の初雪配信しないの？
[0:52:05] ginji0222: はやくゲームしようよ
[0:52:05] easyrevenge3: おもろい
[0:52:06] kai0plusc: おーおもろい
[0:52:06] えにくすさん: イチゴはバラ科だからね
[0:52:07] ちくわ侍ござる丸: おもしろい
[0:52:07] みわ5: 金玉の話しがいい
[0:52:10] kuria0712: すげーーーー
[0:52:12] じゃこです: ほな金
[0:52:13] kai0plusc: わははっは
[0:52:14] 冷たい焼肉: キンタマがいい
[0:52:15] 右上のたけ: ソースが食撃のソーマじゃないと信用できない
[0:52:16] オレンジ野郎: はいはいおもろいおもろい
[0:52:16] iru923: 金魂の方が好き
[0:52:16] syuimee: ニシローランドゴリラの学名はgollira gorilla gollira
[0:52:19] thanks_good: 爆笑できないねー
[0:52:20] scrapcrafter25: wwwww
[0:52:21] morimori03020320: やっぱきんたまよ
[0:52:21] おがクズ: うん
[0:52:22] nemimi2532: じゃあ……？
[0:52:22] 一服さん: ラブアンドベリーはベリー?
[0:52:25] おがちゃん0308: うん
[0:52:26] jutaro_a_: おれらバナナの横にベリー2個ついてる
[0:52:26] MrYasu02: くそ、やられたぜ
[0:52:27] osyoyuyasan: けんきさんの賞金額はなんべりー？
[0:52:28] でんのすけ77: バナナってバショウ科では？
[0:52:28] のむのむの: キンタマ相撲？
[0:52:28] mochipippi_: よっしゃ金玉や！！
[0:52:31] ワンダ777: 下ネタは面白い
[0:52:33] anemoi_thyellai: オチはどこだよ
[0:52:33] omacom_g: ご飯進むから金玉もっとください
[0:52:33] たる侍: 金玉冷えるとシワッシワでくるみみたいなるよな
[0:52:34] takahashi_png: kenkiMimidare
[0:52:35] umakuchishoyu: べ。に
[0:52:36] norinoriski: なにがベリーじゃ
[0:52:38] kai0plusc: バナナベリーで爆笑するけんき
[0:52:39] 耳舐めて欲しいにょ: 男で金玉嫌いな奴なんていないんだよ
[0:52:39] damakuma: ベリー下品
[0:52:39] からもこ: きんたまベリー？
[0:52:41] syuimee: きちゃない
[0:52:45] はいじんちゃん: 玉だけにたまには、違うゲーム見せてくれ
[0:52:49] 右上のたけ: 俺のバナナはフィリピン産
[0:52:50] おも亭: キンタマはベリー？
[0:52:50] たこのあお: ベリーダンスは金玉振るダンス
[0:52:58] iru923: バナナ(鮫)
[0:52:58] はまオジ: タガメとカメムシは同じ科目
[0:53:00] umakuchishoyu: ごはんはおかず
[0:53:00] じゃこです: ラブアンドバナナ
[0:53:06] loowwwwwww: なんで金玉っていう名前なったの
[0:53:08] メー太: もう内容がよく分かんなくなってきてるの草
[0:53:09] calamal_bechiato: たしかにバナナとかキイチゴは木になるのに苺は違うから
[0:53:10] ネコガン: 何この雰囲気またろくろ回してんのか？
[0:53:10] kuria0712: 金玉の話終わったら戻ってきます
[0:53:15] kai0plusc: ｂ
[0:53:17] はまオジ: 1種類
[0:53:17] yandereyahoo: B
[0:53:19] iru923: b
[0:53:20] 右上のたけ: B
[0:53:20] potatodrink9: 1
[0:53:20] ねこざめ3: 1
[0:53:22] えにくすさん: 1種類のB
[0:53:22] grow_gun: じゃあ童貞はベリーボーイ
[0:53:23] odenn_dao: b
[0:53:26] osyoyuyasan: １
[0:53:26] mumr4: 釈迦のキンタマの話は？
[0:53:29] iru923: c
[0:53:30] たる侍: そう…
[0:53:31] えにくすさん: めっちゃあるのは知ってる
[0:53:33] たける: 億！？
[0:53:33] はまオジ: あ、はい
[0:53:33] grow_gun: な！
[0:53:35] みわ5: そっか
[0:53:36] king_macky: 馬はほぼ1頭1型
[0:53:36] morimori03020320: えぇ...
[0:53:37] norinoriski: 個体の数
[0:53:37] 悪魔的うたのさん_たいら: ほへぇ。。
[0:53:41] umakuchishoyu: ごりらの正式名所はごりらごりら
[0:53:43] syuimee: https://curazy.com/archives/23770
[0:53:44] 村人の民: カメムシとパクチーの匂い成分は同じだからすごい人はカメムシ食べてる
[0:53:45] madatasukalu: 輸血できないってこと？
[0:53:46] himan_j: ウマで血清作るもんな
[0:53:47] 山本1794: 血液型占い困るやんけ
[0:53:47] はまオジ: じゃあインブリードしても平気ってこと？
[0:53:47] iru923: それは面白い
[0:53:47] pastel946: じゃあ輸血できないの？
[0:53:48] たる侍: うまって棒はでけぇけど玉もでけぇのかな
[0:53:49] じゃこです: オリジナルしかいない
[0:53:49] たこのあお: 輸血きっつ
[0:53:50] kai0plusc: へーおもろ
[0:53:53] 耳舐めて欲しいにょ: 何でスタヌは金玉でかいの？
[0:53:54] たける: 馬の金玉はいくつあるの？
[0:53:58] MrYasu02: 今調べたら3兆通りって出てきたんだけど
[0:53:58] syuimee: おもろい
[0:53:59] nemimi2532: へー
[0:54:01] えにくすさん: 最強すぎる
[0:54:01] メー太: 型に収まらないタイプ
[0:54:10] madatasukalu: 血液型占いで1日終わっちゃうね
[0:54:13] ゴアタマ: カメムシとパクチーだとカメムシの方が臭くないらしいぞ
[0:54:14] anemoi_thyellai: 西ローランドゴリラの学名はゴリラゴリラゴリラやぞ
[0:54:15] osyoyuyasan: ブラジル人もほとんどB型らしいね
[0:54:16] haluaoi: ウマってなんであんな竿デカいの？
[0:54:16] まぐろさん_: 人間って繊細すぎない？
[0:54:19] kai0plusc: 人の血でも輸血できるってこと？
[0:54:21] easyrevenge3: 優太はでかすぎる
[0:54:23] ひかる爺さん: 人間も厳密に言うともっと多い
[0:54:24] 赤カブト: けんきの金玉はどのくらい
[0:54:27] ポニーテールしたメダカ: B型の人間にゴリラの血液輸血しても平気なの？
[0:54:27] king_macky: 草食動物って草だけ食ってあんな筋肉つくの凄いよね
[0:54:28] じゃこです: スポーン数
[0:54:31] iru923: ウマの金魂の話する？
[0:54:33] MrYasu02: 原理的にはってことか
[0:54:43] norinoriski: 赤兎馬は唯一無二ってこと？
[0:54:45] おも亭: これからも増えていくのか、、、
[0:54:50] 終電そろそろだね: unkochanYaa
[0:54:51] mastergermany: プランツvsゾンビっていうゲーム知ってますか
[0:54:52] kibidango551: けんきの金玉でバスケしたい
[0:54:53] kuria0712: ウマのちんちんでかすぎー
