[0:00:43] いふく: あのエビにmidを！？
[1:05:09] ねねこ先生: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:05:09] pepegaaim3: エコー？
[1:05:10] hinadarumahs: エコー
[1:05:10] たぴおかぱん: ザゲじゃん
[1:05:10] makuri_ow: 草
[1:05:10] ESL_OR4NNGE: えこーか？
[1:05:10] サーモンマン: チラ
[1:05:10] tropdrop3: エコー
[1:05:10] がり: ざげー
[1:05:10] piepyse: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:11] のの_: エコーか
[1:05:11] legitfroggy: エコー
[1:05:11] kotatumiki: エコー
[1:05:11] 火事オヤジ: エコーか？
[1:05:11] コーラ大好き: エコーか
[1:05:11] rarassyu: エコー
[1:05:11] directmap: vioBOUNCE
[1:05:12] darksworks: 誰やうんこまん！？
[1:05:12] ウィートン: ｗ
[1:05:12] 岩蛇: エコー？
[1:05:12] Zeraniumu: えこー？
[1:05:13] Scally_041: takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame
[1:05:13] aongoan: ヨリック？
[1:05:13] shintyuu: ヴェックス？
[1:05:13] kawasemi0113: ザゲーム！
[1:05:13] ヒマリ: エコー？
[1:05:13] vivfiw: エコー？
[1:05:14] Alka_jp: えこーっぽい
[1:05:14] ikejaga: ｗ
[1:05:14] neconecochang: エコーだろ
[1:05:14] キモオタマン3: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:15] k4izar: エコー
[1:05:15] bronzyace: エコー
[1:05:15] healing__healing: えこー
[1:05:15] mikke_mike: www
[1:05:16] ikisugimaguro: コメ欄怖すぎて草
[1:05:16] tamatama2929: w
[1:05:16] urgex46jq: タカヤこんにちは
[1:05:16] radiojack1234: takaya2Kabuki takaya2Kabuki takaya2Kabuki takaya2Kabuki takaya2Kabuki takaya2Kabuki takaya2Kabuki takaya2Kabuki
[1:05:17] 太郎〇: ミュートの意味ないだろｗｗ
[1:05:17] メリドン: ヴェっクス？
[1:05:17] kiritsugu3: ヴェックス？
[1:05:17] まめお: takaya2Thegame takaya2Thegame takaya2Thegame takaya2Kakiage takaya2Kakiage takaya2Kakiage
[1:05:17] legitfroggy: takaya2Thegame takaya2Thegame takaya2Thegame takaya2Thegame
[1:05:17] wapico_: vioBOUNCE vioBOUNCE vioBOUNCE vioBOUNCE vioBOUNCE vioBOUNCE vioBOUNCE vioBOUNCE
[1:05:18] Zenoa: WutFace WutFace WutFace
[1:05:18] urgodk: なんでミュートした
[1:05:18] dpdpdpdpdpbqbq: げい！
[1:05:18] PublicCare: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:05:19] すずせん: www
[1:05:19] xxtidorixx: えっこか
[1:05:19] tag_tag14: エコーじゃん
[1:05:19] 反駁: エコー？
[1:05:19] asa_16: エコー
[1:05:20] hannya_tou: エコー
[1:05:20] supermorinphen: エコーか
[1:05:21] ぱらめた: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:05:21] ともりる: takaya2Emerald takaya2Kabuki takaya2Kabuki takaya2Kabuki takaya2Kabuki takaya2Kabuki takaya2Kabuki takaya2Kabuki
[1:05:21] tetu1011: ごめんなさいごめんなさい
[1:05:22] nalorilo: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:05:22] レティツィア: エコー
[1:05:23] makuri_ow: RaccAttack 🙏
[1:05:23] しいていく: takaya2Ugokutanuki takaya2Ugokutanuki takaya2Ugokutanuki takaya2Ugokutanuki takaya2Ugokutanuki takaya2Ugokutanuki takaya2Ugokutanuki takaya2Ugokutanuki takaya2Ugokutanuki
[1:05:24] dpdpdpdpdpbqbq: げ、げげい！
[1:05:25] kawasemi0113: たかちゃんから来たよ
[1:05:28] たぴおかぱん: ザ・ゲーム団突撃ってなんだよ
[1:05:31] luditb: わざわざミュートしたのに喋らないの草
[1:05:31] がり: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:05:32] maruppe49: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:05:33] toyzaurusu: シャコ？
[1:05:35] あざっしゅ: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:05:35] ぱらめた: vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE vioHYPERSPIN vioBOUNCE
[1:05:36] hirosisu: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:05:41] ねねこ先生: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:05:44] dpdpdpdpdpbqbq: 🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！🐮🫵💥ザ・ゲーム団全軍突撃！
[1:05:45] kanabun9: ザ・ゲームやめてね
[1:05:46] mugimiya: ムンドォ
[1:05:46] recruitcc: PanicVis PanicVis PanicVis PanicVis PanicVis
[1:05:48] tetu1011: 荒らすのやめてね BloodTrail
[1:05:49] キサキリ: サイラスとかめっちゃつよいよね
[1:05:51] endooomame: コーチング中です
[1:05:51] iemon1: にーこ？
[1:05:52] kiritsugu3: この荒らし何？
[1:05:53] hannya_tou: MercyWing1 PowerUpL PowerUpL PowerUpL RaccAttack PowerUpR PowerUpR PowerUpR MercyWing2
[1:05:54] motarike05: mid push system!?
[1:05:54] rakuraku_man: ザ・ゲーム団クソ流行ってるやん
[1:05:57] vivfiw: 忍者キッズになるのか・・・？
[1:05:58] rot1oi: たかやさんの配信ほど民度悪いとこ見たことない
[1:06:02] tokyomachida: RaccAttack raizinW RaccAttack raizinW RaccAttack raizinW RaccAttack raizinW raizinW RaccAttack raizinW RaccAttack
[1:06:03] うさぎくん: たかちゃんが変なコメントしないでって言ってた
[1:06:08] 反駁: ざげっす🗿✋
[1:06:08] xxtidorixx: 初心者が使うとただの人になりかねんから
[1:06:10] hannya_tou: ただの荒らしで草
[1:06:11] 苺蛇: BloodTrail
[1:06:13] うああです: つまんない荒らしやめてねー
[1:06:13] supermorinphen: ザ・ゲーム軍団始まってるな😁
[1:06:13] dpdpdpdpdpbqbq: なりますおります
[1:06:15] shinzaki999: あれはだめ
[1:06:16] たかやスペシャル: すまん変なコメントするやついてごめん
[1:06:23] tomsonboya: ｗ
[1:06:23] rederede: よそ行きの忍者の前では大人しくしろ
[1:06:23] shinzaki999: ｗｗｗ
[1:06:25] けむけむ: takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2 takaya2Kabuki2
[1:06:26] kawasemi0113: wwwwwwwwww
[1:06:26] すずせん: BibleThump BibleThump
[1:06:26] tamatama2929: 草
[1:06:27] スガキヤラーメン: ｗｗｗｗｗｗｗｗ
[1:06:27] maruppe49: www
[1:06:28] bani_nq: 急激に視聴者減ってて草
[1:06:29] kiritsugu3: たかちゃんちゃんとbanしてね
[1:06:30] tetu1011: 荒らしてごめんなさい荒らしてごめんなさい
[1:06:30] Kiri_1111: BibleThump BibleThump BibleThump
[1:06:30] oioio795: ｗｗｗｗｗｗｗ
[1:06:31] ねねこ先生: ｗｗｗｗ
[1:06:32] shinzaki999: ｗｗｗｗｗｗ
[1:06:32] rot1oi: たかやさんは悪くないよー
[1:06:37] kawasemi0113: レイドしといてこれはひどいｗｗ
[1:06:37] ねねこ先生: 団長が誤ってる
[1:06:37] 春川遥香: うんうんうん
[1:06:39] たぴおかぱん: まさかたかやのところににょっすいるとは思わなかったよ
[1:06:42] darksworks: ｗ
[1:06:43] piepyse: 荒らしてたやつもう帰ったよ
[1:06:48] もうちょい: たかちゃんゴミ箱の整理ちゃんとしな？
[1:06:49] dpdpdpdpdpbqbq: たかやはわるくない
[1:06:49] ayatujisan: ざっくｗ
[1:06:51] shinzaki999: 生粋のＪＧ
[1:06:51] Kiri_1111: ザゲリス軍団全軍突撃しちゃってるよ
[1:06:51] コーラ大好き: スプラトゥーンか？
[1:06:52] mou1is: ザックいいだろ
[1:06:52] maruppe49: ザックバフ入ったやん
[1:06:57] kiritsugu3: ミッドザックいくぞー！
[1:06:57] rakuraku_man: あれだけ言って満足して帰っていった
[1:06:59] レイムゥ: たかちゃんゴミ箱の整理して
[1:07:01] 苺蛇: @たかやスペシャル たかちゃんちゃんとBANしてねあらしてるやつ
[1:07:01] shinzaki999: サポとか
[1:07:02] yanana777: シャコまじかよ
[1:07:03] xxtidorixx: ザックはいけんくはないけども
[1:07:05] zunda11111: ただの荒らしで草
[1:07:06] hc315: ザックは序盤弱いので今ちょっと
[1:07:08] hannya_tou: ザックタンクだから初心者おすすめなのかと思ってた
[1:07:11] urgex46jq: たかやが手術まってる医者のVチューバのノクターンに雷落としてたよ、
[1:07:12] chikin3537: midタンクいま流行ってるって話あるよね
[1:07:12] asa_16: そっち派なんだ
[1:07:12] shinzaki999: 変なビジュ好きやな
[1:07:13] うし3: ザック好き
[1:07:14] maedaeda: ビジュのセンスが独特すぎる
[1:07:19] tatumoto: 趣向とがりぎみ
[1:07:19] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[1:07:22] maruppe49: モルデ
[1:07:23] bani_nq: シャコやめてね
[1:07:24] 反駁: キモキャラ好きなタイプか
[1:07:28] clo075: mazu
[1:07:28] gumiuri: うーん全部TOPいけますね
[1:07:35] きゅべりあさん: それもいねぇｗ
[1:07:36] yurapi1106: lol界のサバクトビバッタ
[1:07:36] hc315: ゼラスいいね
[1:07:37] clo075: まずスウェイン見てからでええやん
[1:07:38] sinma001: しっかしマジで教える事多いよなこのゲーム
[1:07:39] hannya_tou: ニーコとかは？
[1:07:41] sakaya03: ガリオいいんじゃないか？
[1:07:42] ぱらめた: ゼラス
[1:07:42] k4izar: ニーコとか？
[1:07:45] shinzaki999: アーリ？
[1:07:46] mugimiya: フェイ専門モンスターに改造しよう
[1:07:49] quito314: フェイやらせましょう
[1:07:50] maruppe49: イラオイ？
[1:07:51] aongoan: ヨリック
[1:07:51] darksworks: ニーコ？
[1:07:51] sukinnbagu: アジール？
[1:07:52] clo075: ルブラン
[1:07:53] legitfroggy: ルブランか？
[1:07:53] jpnpokoking: アジール
[1:07:53] きゅべりあさん: ゼドや
[1:07:55] recruitcc: ルブラン?
[1:07:55] haru_x4: あじ？
[1:07:56] ふたばそう: ぜど
[1:07:56] まめお: シャコ？
[1:07:56] shirataki75: ウーコン？
[1:07:56] tatumoto: ゼド
[1:07:56] xxtidorixx: シャコか
[1:07:57] たぴおかぱん: 赤色！？
[1:07:57] ぜくとる: ゼド？
[1:07:57] zax5553: ゼド?
[1:07:57] supermorinphen: ゼド？
[1:07:58] shinzaki999: アジールはだめだろｗ
[1:07:59] jpnpokoking: ゼドｗ
[1:07:59] のの_: シャコ？
[1:07:59] hab4kiri12: zedd?
[1:08:00] tetu1011: アジール？ゼド？
[1:08:00] ayatujisan: ぜど？
[1:08:00] ウィートン: 赤色・・？
[1:08:01] 106tea: ゼド
[1:08:01] boogieman0118: ゼドだな
[1:08:01] aongoan: ヨリックのレジスタンススキン？
[1:08:01] sukinnbagu: ゼドだｗ
[1:08:01] もうちょい: 赤色！？
[1:08:01] recruitcc: ぜどか？
[1:08:02] sinma001: シャコ？
[1:08:02] レイムゥ: ゼドか！？
[1:08:02] おじゃるまる: ゼド
[1:08:02] vivfiw: ヨネ？ゼド？
[1:08:02] カメムシアンコモン: ゼド
[1:08:03] imu16: ゼドか？
[1:08:03] mikke_mike: zedo
[1:08:03] kheke112: ゼドか
[1:08:03] haru_x4: ぜど？
[1:08:04] pepegaaim3: ゼドか
[1:08:04] hannya_tou: あー、ゼドか
[1:08:05] hc315: 確かに🅆
[1:08:06] zunda11111: ゼドかシャコ？
[1:08:06] Kiri_1111: アジールはまずい
[1:08:09] aongoan: ゼド
[1:08:10] bani_nq: なぎさっち？
[1:08:10] darksworks: ゼドだ
[1:08:11] たぴおかぱん: ゼドか
[1:08:13] sinma001: ゼドだ
[1:08:15] tetu1011: ゼドだ！
[1:08:18] pokoro31: LoLアキネーター
[1:08:22] nosamushiro: この連想ゲームおもろいな
[1:08:22] ヒマリ: じゃあゼドだ
[1:08:25] aongoan: WEkana
[1:08:27] hannya_tou: アキネーターみたいでおもろい
[1:08:28] sinma001: 手裏剣は絞れるｗ
[1:08:30] maruppe49: ゼドにタコられるのは誰でも通る道
[1:08:31] recruitcc: ゼドは初心者殺しだねー
[1:08:34] aongoan: W→Eのやつ
[1:08:35] quito314: 影を出してくる？そう、部分的にそう、分からない、ぶｂ
[1:08:37] haru_x4: ほなぜどか
[1:08:37] 風待人: 姿見じわじわくるな
[1:08:39] xxtidorixx: 初心者キラー
[1:08:41] zunda11111: ゼドは忍者の中では外法のクスでござるよ
[1:08:44] hannya_tou: ゼド何されてんのかわからなくなりがち
[1:08:45] hab4kiri12: 姿見ｗ
[1:08:48] clo075: 相手のキャラ知らなきゃ勝てない
[1:08:48] ヒマリ: ｗｗｗ
[1:08:52] darksworks: ゼドはマジで初見殺しの筆頭だから仕方ない
[1:08:52] 106tea: ゼドは所見殺しだからしょうがない
[1:08:56] yanana777: このゲーム学ぶこと多いのにゲーム内で一切教えてくれないよな
[1:09:07] revercup: オールスターズのやつか
[1:09:12] まめお: 入れ替える
[1:09:14] mo_mo_mo_3: レーンスワップ
[1:09:14] mikke_mike: 交代って意味
[1:09:16] jyajyajyaine: vcつけてたゲームか
[1:09:17] supermorinphen: オールスターズだ
[1:09:51] kisaragi_kei: エクスさんは、コーキとか合いそう。
[1:09:54] しいていく: この試合マジで面白かった
[1:09:55] cha5767: まずい名前がいる
[1:10:03] Kiri_1111: 相手チームのサモナーネームまずすぎだろ
[1:10:05] sinma001: 初心者はさっぱりわからんよなあ
[1:10:05] jad582: 面子がすごい
[1:10:13] きゅべりあさん: この試合面白かったなぁ
[1:10:13] hc315: VCした試合かｗ
[1:10:19] darksworks: 金魚坂めいろって言う名前大丈夫か？
[1:10:22] omochi417: よりにもよってにじさんじのタブーみたいな名前の人が敵のサポートにいる試合使ってるの草
[1:10:23] revercup: め、いろ
[1:10:37] endooomame: まっずいw
[1:10:42] mikke_mike: たぬきは理解してないからセーフ
[1:10:45] legitfroggy: おもろすぎる
[1:10:56] ショウジン: クビになっただけだから別に不味くないよ
[1:11:25] mou1is: 結構まずめな名前の人なの？ｖ全く知らないや
[1:11:27] yanana777: 覚え方おもろいｗ
[1:11:28] shinzaki999: 転生
[1:11:32] ヒマリ: ｗｗｗｗ
[1:11:35] Zenoa: 再誕
[1:11:36] sinma001: だいたいきもい
[1:11:38] shinzaki999: LOLのキャラはみんなきもい
[1:11:39] ウィートン: ありえない話
[1:11:40] ジョーハー: まあ大体キモイか
[1:11:40] hc315: 基本全キャラキモいから
[1:11:41] quito314: 死者蘇生結構いるよな
[1:11:43] nosamushiro: ザックもそうやんｗ
[1:11:43] jad582: ザックもやないか
[1:11:44] tatumoto: 1/3くらいのチャンピオンはキモイ
[1:11:44] mikke_mike: このゲームではよくある
[1:11:44] hannya_tou: 確かにｗｗｗ
[1:11:48] hab4kiri12: キモくないキャラなんてガレン位
[1:11:49] harukasandesu: エビオはにじさんじの中で1番にじさんじに詳しくないから大丈夫
[1:11:49] aongoan: ってかアルビオさんってゆうめいじんじゃん
[1:11:51] darksworks: LOLでキモく無いチャンプはおらん
[1:11:59] hc315: ガレンもきもいぞ？
[1:11:59] 酢漬け海苔巻き: キモくないキャラの方が少ないかもしれん
[1:12:00] yanana777: 自分が使ってないキャラは全部キモいよなこのゲーム
[1:12:08] bani_nq: これ左翼が赤いのっていいの？
[1:12:19] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:12:32] きゅべりあさん: 左翼が赤いって深読みしすぎだろｗ
[1:12:41] sinma001: しけらせよう
[1:12:53] shinzaki999: 思想つよめ
[1:13:07] ウィートン: オリンピックスキンじゃないっけこれ
[1:13:20] きゅべりあさん: バンクーバースキンだね
[1:13:24] かいんです: カーソルみえないときあるよね
[1:13:30] quito314: 左翼が赤いって何の話かと思ったらアニビアのスキンかｗｗ
[1:14:15] tatumoto: 高レートはそれも覚えてるのか
[1:14:25] bani_nq: 一つのキャラをつかうためにほかのキャラ知らないといけないなんて
[1:14:55] ぱらめた: 質問のレベルすご
[1:15:05] aongoan: ほんとロル流行ったなあ
[1:15:21] quito314: この人はＬＯＬ何日目ぐらいなの？
[1:15:24] shinzaki999: 繊細なたぬき授業
[1:15:34] legitfroggy: JGが先に来た方の勝ち！ｗ
[1:15:34] 電脳的オラウータン: パンテオンみたいなバーストキャラはそっちのほうがいいよね
[1:15:35] 武田武蔵: くずはにおそわるんじゃなくて忍者なのか
[1:16:01] きゅべりあさん: 葛葉は教え方パッションだから初心者きつそうｗ
[1:16:18] shinzaki999: 葛葉は感覚派タイプっぽいから教えるの下手そうｗ
[1:16:20] jad582: 葛葉はアサシンなら教えられるかも知らん
[1:16:34] gyano3: 葛葉に教えて貰うとふざけて前に進まなさう
[1:17:07] supermorinphen: 村で教えてた時は意外と真面目だったよ
[1:17:42] gyano3: いやエビオと葛葉だと80おふざけはいる
[1:18:34] 武田武蔵: たぬきは先生適正たかめか
[1:18:50] vivfiw: ｗ
[1:19:01] えるみっと: 難しい話にｗ
[1:19:08] sukinnbagu: アニビアコーチング
[1:19:12] sinma001: 今はそこまでミッドガンクもこわくないしね
[1:19:28] のの_: まあこのマップになったばかりだからね
[1:19:45] shinzaki999: たぬき先生はモチベ高い生徒に対して良い先生
[1:20:05] 電脳的オラウータン: 質問に対する返答だいたい持ってる忍者
[1:20:24] darksworks: にんにん言語化上手いよな
[1:23:03] 電脳的オラウータン: 頭いいね彼
[1:23:27] sinma001: ぜったいって事がないから困る
[1:24:13] yanana777: これタワーからの距離で挙動違うの？
[1:24:43] きゅべりあさん: このアニビアがえらく寄りに行く人だよね
[1:25:18] supermorinphen: 人生ローム鳥
[1:25:54] jad582: まぁロームした方がsoloq勝率高いらしいからな
[1:26:07] 電脳的オラウータン: 当たる位置も大事だ
[1:26:17] 反駁: 初心者にはむずい話してる
[1:26:19] コーラ大好き: バウンスウェーブね
[1:26:23] 切り干し: CS差とキルの金銭差が直感的に分かりづらいんだよね
[1:27:00] shinzaki999: 直感でわかりずらいよね
[1:27:21] tatumoto: 実際ミニオン消えていくところ流したらどうか
[1:27:30] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[1:28:11] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:28:28] bani_nq: ゴミ！？
[1:28:37] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[1:29:01] sinma001: いいコーチング
[1:29:16] tetsuo606: tetsuo606 subscribed with Prime. 
[1:29:20] コーラ大好き: ミニオン押し付けてないのにロームした結果ね
[1:29:43] shinzaki999: 頭爆発しそうな濃密さ
[1:30:00] coffeejelly02: これ中級者にもタメになるよな
[1:30:04] uyoyumussyu: サブスクしたときの動画前からこれだったっけ？ｗ
[1:30:33] darksworks: 話してる内容は初心者向けではないｗ
[1:30:36] tamago5645: 質問のレベル高い
[1:30:49] sudwe: 靴はアリよね」
[1:30:52] shinzaki999: 靴はまあ
[1:30:53] きゅべりあさん: あるあるのような質問ｗ
[1:30:57] レイムゥ: 靴ほし～
[1:30:59] fandoro: ロストチャプターくん
[1:30:59] toyzaurusu: 必要だと思ったら行っていいね
[1:32:46] コーラ大好き: レベル負けててゴールド勝ってる状況が少ないような
[1:33:05] bani_nq: まあ比例するもんなー
[1:33:16] shinzaki999: レベル高い＝レーン勝ってる＝金持ちだからあんまねえよな
[1:33:31] 無知無知で叡智: あとは相手がいないぶんの時間
[1:33:40] コーラ大好き: ロームしてキル取った後だったら起こるか
[1:33:42] TukimiJPN: １０００GがADのみ（アイテム）で1アイテム差あるか、HPとかARとか総ゴールド換算入れたレベル１＝１０００とは違うのが難しいよねぇ
[1:33:49] jad582: ソロキルはうまいけどって感じだな
[1:34:22] Phamisya: valorantのラークみたいな
[1:34:31] えるみっと: 『徘徊する』って意味だよね
[1:34:34] shinzaki999: 専門用語多いよなあ
[1:34:49] コーラ大好き: MOBA専門用語多すぎるよな
[1:34:52] sinma001: うでぃあ
[1:34:57] 無知無知で叡智: キャラ数多すぎてｗ
[1:35:11] bani_nq: ファッキン無料
[1:35:22] darksworks: MOBAは専門用語で話さないと日本語訳が厄介過ぎる
[1:35:29] Zeraniumu: じぇいすにだくもうでぃあかるまで5体かな？
[1:36:00] legitfroggy: ここうますぎて草
[1:36:00] 無知無知で叡智: エイム良い
[1:36:01] ウィートン: 上手すぎた
[1:36:08] コーラ大好き: 嫌な思い出でもあるのかな
[1:36:09] bani_nq: うまｗ
[1:36:11] 桜守: おにぎり砲
[1:36:19] sinma001: 見覚えあると思ったらしゃる３とかいた試合かｗ
[1:36:32] すみれいろ: AIM
[1:36:38] shinzaki999: 場所指定ね
[1:36:38] desugako: あまりに上手すぎて対象指定と思われてるの笑う
[1:36:39] darksworks: 今気付いたがにんにんたちのレッドLOL老人会すぎだろ
[1:36:41] legitfroggy: FPS
[1:36:43] ランプアイ: 自分でクリックしてる
[1:36:46] コーラ大好き: 場所指定
[1:36:49] gyano3: 場所指定
[1:36:51] nosamushiro: 全部当たったせいでｗ
[1:37:01] 無知無知で叡智: 全部あてるから～ｗ
[1:37:02] かいんです: これはにんにんが上手すぎたｗ
[1:37:02] hatoyama_twitch: うますぎた
[1:37:06] レイムゥ: 全部当たってるから...
[1:37:10] ヒマリ: ｗｗｗｗ
[1:37:21] Kiri_1111: これは俺が上手すぎた
[1:37:32] supermorinphen: たぬきうますぎた
[1:37:44] legitfroggy: 彗星
[1:37:46] binmax01: 彗星か
[1:37:46] 無知無知で叡智: 彗星
[1:37:49] darksworks: 彗星だ
[1:37:50] MURAKUMO_RED: ルーン？
[1:38:09] hatoyama_twitch: 気分も悪い
[1:38:34] indoorha: 遠距離のスロー付きないとね
[1:39:28] bani_nq: ルーン覚えられないよー;  ;
[1:39:48] toyzaurusu: オールインしたいタイプか
[1:40:03] quito314: ヴェックスはアサシンっぽい
[1:40:27] toyzaurusu: むずいよなぁ
[1:40:38] 切り干し: キル取れるからじゃね
[1:40:42] shinzaki999: MIDなら他に結構いそう
[1:40:49] darksworks: オールインでキル取れるからか？
[1:40:54] amd_0723: 正直ブリンクカウンターキャラなだけで先出安定キャラでも何でもないよね
[1:41:03] jad582: 割と色々できるから学べるってのはある
[1:41:05] 今宵千鶴: フィズ
[1:41:09] indoorha: フィズ、アカリ
[1:41:10] kozkoz123: ノーマルでくるキモいチャンプに強めだから大抵のキャラにそこそこではある
[1:41:15] pikachi0973: アサシン環境だからな今
[1:41:20] 切り干し: ニーコ
[1:41:28] sinma001: ゼドとか
[1:41:39] gyano3: ゼト
[1:42:03] なたねこ: フィズ、エコー、アカリらへん強いよね
[1:42:20] toyzaurusu: 簡単寄りのアサシンなんだろ
[1:42:21] jad582: オールイン好きならアサシンも使えそうじゃないか？
[1:42:25] modemu11111: 簡単なアサシンってなんだ
[1:42:26] Eluseal: ソロqなら集団戦前に誰かしら浮いてるしな
[1:42:27] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[1:42:32] gyano3: アサシン難しいからなー
[1:42:35] darksworks: 今の環境はアサシン環境だからおすすめだがアサシンは練度が全てだ
[1:42:39] bani_nq: Fizzでメイジ狩しよう
[1:42:41] pasokon_maru: 奈フィー理
[1:42:46] hinadarumahs: メレーわかる？
[1:42:49] gyano3: やっぱレーニングだからびくたー
[1:43:04] のの_: じゃあアサシンか
[1:43:09] toyzaurusu: アサシン向いてそうやね
[1:43:11] まぁ: フィズいいね
[1:43:17] remon217: おもろいからサイラスやらそうぜ
[1:43:17] 無知無知で叡智: フィズ序盤難しそうだけど
[1:43:20] shinzaki999: スキンで犬にもなる
[1:43:20] まみなと: ABO見た目好きそう
[1:43:23] asa_16: 見た目好きかもね
[1:43:24] supermorinphen: フィズうおお
[1:43:24] indoorha: 魚魚魚
[1:43:25] スタダ117: スウェインと好み合って無くないか？ｗ
[1:43:32] enchanteye1: 魚ｗ
[1:43:40] Kiri_1111: まだレーニングすら終わってないよ
[1:45:20] enchanteye1: 上級者向けなんですね
[1:45:25] darksworks: 初心者は安全なところで帰りましょう
[1:45:38] 配信者マニア: チキンレースよ
[1:45:39] Eluseal: 追い回されたらそれだけ遅れるからね
