[0:00:36] ブタ麺うますぎ: たぬきおじゃ tanukiGoja
[0:00:41] kouineman: Kreygasm
[1:51:58] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[1:51:59] お茶畑: あれ
[1:52:04] haibarad: NotLikeThis
[1:52:09] 0130_ally_yasuo: つかえねーゴミでござ
[1:52:11] nukmor: RaccAttack
[1:52:13] 山津一海: チャレンジャーって実はそうでもない...?
[1:52:22] お茶畑: チャレボコしちゃったわ～つれ～
[1:52:32] お茶畑: かぁ～
[1:52:59] w_radish: たぬベイトにより日本のランクマが活性化する可能性が……？
[1:53:34] pirosue_: 無いとダメだなじゃなくて羨ましい名の草
[1:54:45] pirosue_: スキルヘイストいらないメイジなんかいないもんな
[1:55:17] 山津一海: ござぁ
[1:55:48] pirosue_: でもちゃんとレーン強かったね
[1:55:52] 筑波119: あのチャレトロールして負けたでござ
[1:56:01] 山津一海: ｗ
[1:56:01] nukmor: たぬき忍者とRainbrainが腹を切ってお詫びします
[1:56:13] pirosue_: リスナーだろｗｗｗ
[1:56:14] chiday: あおりでござ
[1:56:19] umintyu_: 煽りじゃないよ....
[1:56:20] 0130_ally_yasuo: 雑魚乙ｗハッピーフレンドでござ
[1:56:29] 山津一海: ハッピーな奴でござる
[1:56:29] chiday: あの忍者あたまがハッピーでござ
[1:56:30] pirosue_: うみんちゅいて草
[1:56:39] シルティ: 本人おるやんw
[1:56:45] 火事オヤジ: アーゴットするか
[1:56:53] nukmor: うみんちゅを救いたい
[1:57:31] pirosue_: レネク元々勝率47％とかだったからな
[1:57:39] おりく侍: EのCD
[1:57:42] 筑波119: Apには弱いの変わってないでござ
[1:57:46] kabuto_999: 悪くないバフだけどワニだからなあ
[1:57:49] 山津一海: エイトロに取り込まれた
[1:57:51] urgodk: E上げたときのCD
[1:58:11] chiday: キモTOPの一角
[1:58:13] 塩太郎です: 昭和チャンプ；；
[1:58:27] ぱと_らっしゅ: パッチにはドスカイ詰めって書いてあるけど、たかが知れてそうワニ
[1:58:40] 塩太郎です: 平成チャンプだったのに
[1:58:44] kabuto_999: 昭和なのに大会に出てくるのがワニだったのに
[1:59:11] ぱと_らっしゅ: なんでもアリって先生が
[1:59:20] tojipt: でも何でもありって書いてあったでござ
[1:59:26] 火事オヤジ: でも、主催が何でもありって
[1:59:27] w_radish: 平成の曲がBPM1.5倍になって帰ってきたでござ
[1:59:30] 塩太郎です: ナーフ足りてないでござ
[1:59:31] kabuto_999: ＢＡＮ枠さくはめになるか
[1:59:34] ゆるし: tiktokでテンポ上げて４つ打ちにしたら流行ったチャンプ
[1:59:52] ぱと_らっしゅ: FootYellow FootYellow
[2:00:01] tonton0126: しゃるさん荒れること望んでるまである感じがしちゃう
[2:00:29] 筑波119: 3レーンフレックスかなりキモイでござ
[2:01:12] pirosue_: フリートとか握撃のジャックスくっそきついよね
[2:01:27] いじろう: フェイズとかかね
[2:01:27] urgodk: Q握撃トレードでそもそもTFが不利背負いそう
[2:01:50] pirosue_: TFの苦手な部分全部あるしな
[2:02:16] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[2:02:46] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:02:49] yuzu1nari: wwwww
[2:02:56] ぱと_らっしゅ: www
[2:02:59] ねろこ: www
[2:03:03] urgodk: カルマに誘導してる
[2:03:05] 火事オヤジ: UG、アジール諦めてないんか
[2:03:08] シルティ: 名誉アンチ
[2:03:10] conpacuto: ぼい～ｗ
[2:03:14] kabuto_999: ここがＵＧアンチの本拠地まである
[2:03:23] haibarad: LUL
[2:03:35] tonton0126: 参加者にだいたい見られてなめられてたぞw
[2:03:37] 火事オヤジ: またたかこか
[2:03:54] ぱと_らっしゅ: tanukiSyuriken2
[2:04:03] ddd48s: 情報どこ？
[2:04:12] 塩太郎です: ｗ
[2:04:13] ゆるし: UGアンチ総本山
[2:04:14] maguroud: お前だけ見ててずるいぞ
[2:04:16] 筑波119: 色んな配信にクリップ上がってたでござ
[2:05:17] sacchanw2: また見てるｗ
[2:05:35] kurou_crunn: ｗ
[2:05:42] amacrown: ｗ
[2:05:45] ddd48s: ｗｗｗ
[2:06:05] ddd48s: これUGじゃなくて初心者だろｗ
[2:06:06] 塩太郎です: ｗｗｗ
[2:06:27] zaq1zaq3: 残念ながらたかやはアジール使えるんだよね
[2:06:44] katsuyaspecial: たかこ；；
[2:06:59] 筑波119: ...
[2:07:18] 山津一海: 強いはず
[2:07:46] urgodk: どう考えてもDay1たぬき取れたのおかしい
[2:07:49] amacrown: 危機感
[2:07:56] ぱと_らっしゅ: tanukiZetubou
[2:08:12] tonton0126: メンバーだけ見れば強い見ただけなら
[2:09:03] kurou_crunn: 行くか・・・岩忍者・・・
[2:09:18] 塩太郎です: midプッシュシステム
[2:09:26] maguroud: 忍者高みの見物をする
[2:09:40] ぽぽんぽ: た…
[2:10:13] 塩太郎です: ｗ
[2:10:16] デレステの民: こんばんは。
[2:10:51] ironia_: おじゃ カサンテの爆ナーフどうなったでござかね
[2:10:52] 筑波119: ｳﾝ
[2:10:52] drfunkmama: たぬきも参加型ノーマルでリスナー４人にサレンダー通されてたことあった
[2:11:00] たぬき忍者: @drfunkmama 草
[2:11:06] yuzu1nari: w
[2:11:14] 塩太郎です: ｗｗｗ
[2:11:18] こーで: 勝てるとはいっていないｗ
[2:11:40] ironia_: upset？！
[2:11:59] 0130_ally_yasuo: 構成ゴミでござ RackAttack
[2:12:07] 筑波119: Botデュオをなんだと思ってるでござ
[2:12:09] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[2:12:42] urgodk: 一応グインソー弱くなったから…
[2:13:13] kurou_crunn: ｻｶﾞﾚｻｶﾞﾚ！
[2:14:28] 城です: レネクｊｇだけど
[2:14:32] ニャーン_: レネクジャングル？
[2:15:30] chiday: 果たしてlv1ソロデスはビルドの問題でしょうか
[2:16:54] pirosue_: レネクJg回るのくそしんどいよ
[2:17:04] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:17:14] ぱと_らっしゅ: RaccAttack FootYellow
[2:17:30] vooooi: 更生セロスさん
[2:18:17] kurou_crunn: グールのゴールドおいしい
[2:20:20] kurou_crunn: mid崩壊してます
[2:22:20] すみれいろ: 急に日本語に！？
[2:24:20] jorrysz: wwwww
[2:25:17] こーで: これまたtop村が襲われるやつでは
[2:25:22] jorrysz: やりたい放題
[2:25:34] manaby_t: フェイそんなにきついのかな
[2:26:09] 山津一海: ナーフされてるのにやばいって言われるのおかしいと思います
[2:26:26] tonton0126: 足遅くしよう
[2:26:46] 山津一海: ｗ
[2:27:21] すみれいろ: たぬ虐助かる
[2:27:24] amakusa3065: ｗ
[2:27:40] バヤシコフ: たぬきに言わせときゃなんでもいいみたいな
[2:29:47] jorrysz: ww
[2:30:46] 塩太郎です: 金がザクザク
[2:30:54] ゼロ波: もしかしてこのトランプ男まだ強い？
[2:32:04] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[2:32:45] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:33:06] jorrysz: 相手がね
[2:33:09] ゼロ波: 勝てるのか・・・
[2:33:12] もうちょい: 死んだだろ今のは
[2:33:13] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[2:33:18] kurou_crunn: ビルドの暴力
[2:33:30] Kiri_1111: コア差でござ
[2:33:33] ゆるし: メレーの距離でメレーに勝っちゃった、、
[2:33:52] dan564saikoo: ヨリック絶望中！
[2:33:57] kurou_crunn: 人間ミサイルもいます
[2:34:17] simneeto: 完璧！
[2:34:18] すみれいろ: やめてね
[2:34:19] nukmor: 音声認識凱旋
[2:34:23] yatu_hasi: 上半身このメンツで下半身にday1とeyesさんくるのエグイな
[2:35:00] manaby_t: これにday1はえぐいな
[2:35:05] saeki0530: 勝ちにいってるメンツ
[2:35:29] jorrysz: えぇ...
[2:35:33] すみれいろ: こわれちゃった
[2:35:53] w_radish: トランプ投げてるだけでネクサス割れちゃった……
[2:36:02] ゆるし: むしろここまでよく試合続けたなぁ
[2:36:03] すみれいろ: デイ様いないのかな
[2:37:08] simneeto: TFみたらjaxだすわ
[2:37:08] レティツィア: adcメインはワンチャン集団戦でカードミスる
[2:37:28] jorrysz: 普通におもんない強さしてる
[2:38:54] レティツィア: ニダリータリヤ
[2:38:55] iggy65655: ランブル
[2:39:02] おーらいん: ザイラ
[2:39:03] simneeto: apレクサイ！
[2:39:21] w_radish: 固くいけば順当に勝てそうなチーム
[2:39:23] manaby_t: ポッピーいいね
[2:39:28] ぱと_らっしゅ: メタスレイブ？！
[2:40:16] でかいのに0: レクサイすべてのパワーを失ったと聞いて
[2:40:36] simneeto: 一応潜伏してステルス探すだけの役割あるから・・・
[2:42:35] Gmiyazaki: 回復しすぎやろあの熊
[2:42:47] kurou_crunn: レクサイってあれレーナーにしようとしてない？
[2:44:56] vooooi: あるある
[2:45:06] maguroud: TOP終わりました
[2:45:13] 3595818: そこでWWの出番ですよUGさん
[2:45:14] jorrys: 悲しみの熊
[2:45:26] 筑波119: そういやジャックス今フリートのが強いんじゃないっけ
[2:45:28] simneeto: 腐っても集団戦R次第だしな
[2:46:48] ぱと_らっしゅ: RaccAttack tanukiKatana
[2:46:48] 3595818: 思てへんやないの
[2:46:58] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[2:47:19] お気楽さん: ボコボコにしながら可哀そうはそれはもう狂気ですやん
[2:47:27] simneeto: 初手ウィッツ？
[2:47:50] 3595818: 痛すぎだろ
[2:47:51] ぱと_らっしゅ: BibleThump
[2:47:56] manaby_t: 普通にござるが破壊してしゃるる杯終わりそう
[2:48:26] kurou_crunn: ゲーム壊れちゃう
[2:48:48] maguroud: 忍者お前はチャレなんだ
[2:49:37] jorrysz: ww
[2:49:48] kurou_crunn: クマ肉の味戻ったからワース
[2:50:03] Kiri_1111: 庭に柿の木がある家は注意でござ
[2:50:21] kurou_crunn: たぬきがボコボコにしすぎるから・・・
[2:50:27] maguroud: 忍者に心折られたか
[2:50:32] w_radish: チャレンジャーが大会を破壊ししゃるる杯終了の可能性が…… BibleThump BibleThump
[2:50:43] simneeto: お前強すぎゲーム誘ってやんない！
[2:50:58] レティツィア: たぬき全レーン戦えてプール広いから本当に強い
[2:51:01] でかいのに0: UG MIDジェイスするでござ？
[2:51:18] 0130_ally_yasuo: 必殺マジシリーズ
[2:51:24] お気楽さん: 次は使ったことないチャンプで弱者の気持ちを味わうでござる
[2:51:24] ひなーた: 忍者がしゃるる杯破壊したらしゃる3も本望やろ...
[2:51:29] kurou_crunn: マジなキモイチャンプピックしようとしてる
[2:51:59] simneeto: 最初弱いって評価だったのにね
[2:52:07] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[2:54:08] ぱと_らっしゅ: w
[2:54:14] jorrysz: w
[2:55:57] ぱと_らっしゅ: 握撃に詳しいたぬき
[2:56:33] お気楽さん: Wのスキル音が気持ちいい
[3:01:49] love11lol: ｃｓ差がすごい
[3:03:44] kurou_crunn: おｃ
[3:03:44] balut099: !opgg
[3:03:44] Nightbot: https://www.op.gg/summoners/jp/Ninja%20of%20Ninjas
[3:04:42] Kiri_1111: 忍者使ってるの珍しい
[3:05:49] si794: 敬意をもってるワニさん
[3:05:55] Kiri_1111: めいぽが育ってる
[3:05:58] si794: まぁびびりすぎだけど
[3:06:29] 山津一海: ノーカン
[3:06:46] Kiri_1111: たかやスペシャルとshowmaker並ぶことあるんだ
[3:06:59] sacchanw2: イブ来ないんやな
[3:08:24] si794: かてぇｗ
[3:08:30] 山津一海: 燃やさないとだめだったのか
[3:08:37] nukmor: だいじなライター懐に仕舞ってあるよ
[3:08:56] 山津一海: ｗｗｗｗ
[3:08:56] kurou_crunn: ｗｗｗ
[3:08:58] nukmor: ふふ
[3:09:00] si794: ばしばしばしーんｗ
[3:09:32] si794: その前に靴かえよアジールｗ
[3:09:38] Kiri_1111: わにさん3キルとって生き返ってる
[3:10:15] nukmor: RaccAttack tanukiSyuriken
[3:10:50] 山津一海: ここにあと2人加わるの楽しみだな
[3:12:01] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[3:12:43] 山津一海: かたいｗｗ
[3:12:49] si794: EZ
[3:13:40] si794: かたくしてもコグだからあまり意味がないような
[3:13:49] 山津一海: ダメージおかしい
[3:14:19] 山津一海: ？
[3:15:59] si794: Rで回収ｗ
[3:16:03] ぱと_らっしゅ: 回収班w
[3:16:42] si794: ？
[3:16:54] 山津一海: Riotは強いものが好きなので
[3:17:06] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[3:17:24] legitfroggy: うおお
[3:18:09] 山津一海: なんかXでちらみしたけど出どころはしらないでござ
[3:18:46] ぱと_らっしゅ: やれるねぇ
[3:19:31] kurou_crunn: シージはっや
[3:19:32] 山津一海: え？
[3:20:04] amakusa3065: KomodoHype KomodoHype KomodoHype
[3:20:09] 八雲吉祥: 唐突なエース
[3:20:51] amakusa3065: 大人買い
[3:20:55] kurou_crunn: 1.5コア生えたが
[3:20:56] 八雲吉祥: 買い物が上手すぎる
[3:20:56] かそーや: 最強です
[3:21:04] 山津一海: アジールそろそろおとなしくなってほしい
[3:21:06] maguroud: いつの間にかフルビルドでござ
[3:21:58] 山津一海: つんよー
[3:22:03] kurou_crunn: 触れたら消える
[3:25:23] simneeto: 騎士の誓いだろ
[3:28:31] amakusa3065: ん？
[3:28:34] kurou_crunn: あれ？
[3:29:01] ぱと_らっしゅ: 悲しみの泥試合w
[3:30:18] amakusa3065: エンドでござｗ
[3:30:20] simneeto: なめると負ける
[3:30:31] legitfroggy: 試合を振り回した男
[3:30:35] simneeto: 学びや！
[3:31:18] balut099: でも泉ダイブは忍者が
[3:32:00] タクラマカン太郎: カサンテ試した？
[3:32:11] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[3:32:12] si794: 1周目クソだよ
[3:32:18] pirosue_: くそ弱いよ
[3:32:34] pirosue_: Qの回復増えたのもチャンピオンに対してだしね
[3:32:36] si794: EがCD短くなったからだとおもうよ
[3:32:52] tegeyodaki: 謎のオフメタノマ専の人が広めてるだけ
[3:32:52] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[3:32:57] ぱと_らっしゅ: tanukiArrow tanukiArrow tanukiArrow
[3:33:07] ゆるし: Xでオフメタ好きの人が広めててそれが伸びてた
[3:33:19] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[3:33:49] Kiri_1111: LCKで50分ゲームになってスモルダー負けたのちょっと悲しくなった
[3:34:24] ぱと_らっしゅ: HSCheers HSCheers
[3:34:28] korokoroman: あれスモルダーどうこうの試合じゃなかっただろ
[3:36:56] くろみうむ3776: ナサスJGクソ弱そう
[3:40:10] nukmor: tanukiPpa
[3:40:30] apple_energy: このちゃんぷマナきつくね？
[3:41:15] 桜守: た、たたかわなくても...
[3:41:26] 桜守: みたいな雰囲気
[3:45:12] nukmor: パワーありすぎ
[3:45:21] xxtidorixx: なんかすげえ勝率上がったと思ったらこれは強そう
[3:46:20] 桜守: かたい
[3:46:52] manchikinnn: w
[3:46:56] 大福戦車: w
[3:46:56] 桜守: ないすー
[3:46:56] UtetuU: w
[3:46:57] お気楽さん: うまｗ
[3:46:58] こーで: tanukiWazamae
[3:46:58] jorrys: ｗ
[3:46:59] ぱと_らっしゅ: 釣られ
[3:47:02] jackdesuga2000: うまww
[3:47:04] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[3:47:04] gatori123: LUL
[3:47:06] シモモ: あまりにも死に方がダリウス
[3:47:07] まつよい: えぇ...
[3:47:07] sriff09: たぬき鍋に釣られた
[3:47:36] インペリアルデグー: mom?
[3:49:35] si794: おもってないだろ！
[3:49:38] sriff09: でもタワープレート取れるし・・・
[3:49:43] tomatoma19: ソロQ戦士たぬき忍者
[3:51:16] ぱと_らっしゅ: tanukiKatana tanukiKatana tanukiKatana
[3:51:45] Zeraniumu: 切りました
[3:51:47] ぱと_らっしゅ: w
[3:51:54] korokoroman: RaccAttack
[3:51:57] korokoroman: えらい
[3:52:04] welldoneman1: 見えなかった
[3:52:08] UtetuU: ナイス抜刀
[3:52:08] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[3:52:41] 塩太郎です: 姑息すぎる
[3:52:46] モジゃ: 頭いいんだ
[3:53:02] korokoroman: たしかにchatGPTでそれくらいできそう
[3:53:27] モジゃ: ジェイスはどうせBANされるからフレックスのために練習とかはいらないか
[3:55:00] welldoneman1: WutFace
[3:55:00] ぱと_らっしゅ: w
[3:55:12] 塩太郎です: 下馬評最強のはずでは？！
[3:57:10] pirosue_: リッチベインも相まってタワー折るの早すぎだ
[3:57:48] 大福戦車: つっよ
[3:57:53] モジゃ: うめえなあ
[3:57:58] お気楽さん: 簡単に倒すじゃん？
[3:58:40] 桜守: 孤島からタルで脱出したたぬき
[3:59:05] pirosue_: コズミックは買わない？
[3:59:25] korokoroman: マクロはありそう
[3:59:49] ぱと_らっしゅ: ダリウス泣いてるよ
[3:59:50] お気楽さん: Rの距離感完璧すぎんか
[3:59:50] 桜守: ダメージえぐ
[3:59:57] 清水さん: やっばｗ
[3:59:59] ぱと_らっしゅ: つっよ
[4:00:16] モジゃ: たぬき普通にらいじんより強そう
[4:00:34] kukkuda: あ
[4:01:17] welldoneman1: まあまあ tanukiFree
[4:01:54] zerosalt1201: マクロより譲れないものがあるだけ
[4:02:07] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[4:02:29] kukkuda: BOTのふたりちょっとむずいか
[4:02:41] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[4:02:41] welldoneman1: むこうも戦闘民族だった
[4:02:49] 大福戦車: たぬきの樽で全員死にそうだったけど
[4:03:01] kukkuda: あ
[4:03:04] 大福戦車: ｗ
[4:03:08] モジゃ: つっかえてたなｗｗ
[4:03:12] 桜守: やせよう
[4:03:16] simneeto: 超えれるわけないだろ！
[4:03:21] ぱと_らっしゅ: 見られテール
[4:03:38] 青い汁: うんま
[4:03:54] kukkuda: ｗｗｗｗ
[4:03:58] gatori123: パイク帰ってた
[4:04:06] UtetuU: あれあれあれ
[4:04:13] kukkuda: マクロ？
[4:04:19] 桜守: いったんマクロはおいてきた
[4:04:23] お気楽さん: にんにんのビルドが気持ちよくなってきた
[4:04:26] welldoneman1: このチームはミクロだけでなんとかなりそうでござるな tanukiWakaru
[4:04:35] ini4649: 眼の前の敵を屠るでござる
[4:04:39] ぱと_らっしゅ: wwww
[4:04:50] tomatoma19: マクロの鍵はeyesさんだから…
[4:04:55] お気楽さん: 快感マクロでござる
[4:06:23] legitfroggy: なんか今までがバグってたとかなんとか
[4:06:39] kukkuda: いや効果時間も半分になってる
[4:06:46] xxtidorixx: シュレリア30秒だし㏅も入れたらすげえ分回る
[4:07:12] ぱと_らっしゅ: w
[4:07:13] welldoneman1: tanukiGuwaaa
[4:07:18] 桜守: はぐき
[4:07:18] 青い汁: ｗｗｗ
[4:07:21] tetu1011: ﾀｽｹﾃｰ
[4:07:25] インペリアルデグー: ｗｗｗｗ
[4:07:30] ぱと_らっしゅ: このチームダメかもですw
[4:07:44] Kiri_1111: このチーム楽しくなるね
[4:07:58] 八雲吉祥: チームメンバーとは思えない会話が
[4:08:03] ぱと_らっしゅ: Botの2人が整えてくれるか
[4:08:13] まつよい: communication errorが
[4:09:24] 麻ぐろ: !rank
[4:10:25] kukkuda: ｗｗｗｗｗ
[4:10:25] と0てノ: ｗｗｗｗｗｗｗ
[4:10:37] 青い汁: ｗｗｗｗ
[4:10:41] xxtidorixx: ナサスjg最強だったかー
[4:10:43] urgodk: バトルヒーリングスキルが…
[4:10:49] apororon: まずい
[4:10:49] ぱと_らっしゅ: まけ...るのか...??
[4:10:50] kukkuda: あの
[4:10:56] UtetuU: もしかしてまけ？
[4:10:58] と0てノ: ま、負けますよ
[4:11:01] 麻ぐろ: これ負けんの？
[4:12:00] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[4:12:17] kukkuda: これがネクサスタワー犠牲にするマクロか
[4:12:21] 青い汁: 家燃えるｗｗ
[4:12:53] tetu1011: ww
[4:13:08] と0てノ: しゃるさんこれが見たかったんだろ？
[4:13:17] selzt93147: すごいキルゲーム
[4:14:20] kukkuda: GG
[4:14:23] 青い汁: omg
[4:14:29] 桜守: GG
[4:14:32] welldoneman1: レインさんレルうめえな
[4:14:35] と0てノ: ｗｗｗｗ
[4:14:37] 麻ぐろ: gg
[4:14:38] すみれいろ: 本場のクワドラキルだ
[4:14:45] まつよい: 早送りQKMFB
[4:15:19] welldoneman1: tanukiWazamae tanukiWazamae
[4:15:24] インペリアルデグー: 歯茎忍者
[4:15:34] apple_energy: 楽しんでいただけたかな？
[4:15:37] Kiri_1111: rainさん大変でござ
[4:15:46] welldoneman1: 筋力で押してただけｗ
[4:15:51] お芋コーヒー: このチーム面白すぎる
[4:16:16] Kiri_1111: topはダリウスより強かった
[4:16:22] mzzzzn: ろくにみんなで集まってないんだよね
[4:16:51] apple_energy: ok ok your bad
[4:17:09] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[4:17:13] すみれいろ: リーシン
[4:17:15] mauix_o: ADTF
[4:17:15] sacchanw2: りーしん？
[4:17:41] お気楽さん: あれ～なにがもんだいなんだろう～？
[4:17:43] ぱと_らっしゅ: tanukiIkenie
[4:18:14] ぱと_らっしゅ: サイオンとかでウィークサイドやっとくか？
[4:18:58] モジゃ: lol.psだとジェイス勝率爆上がりだった
[4:20:02] apple_energy: 自問自答lol
[4:20:05] お気楽さん: 自分にコーチした結果が今の自分なのでは・・・
[4:20:29] ゆるし: それぞれの信条が交錯して爆発しそう
[4:21:05] w_radish: LoL勢が集まって真面目にLoLしてるところ見たことない
[4:22:47] 火星の猫: ワンバックしたカルマのほうが強そうｗ
[4:23:07] 豆の木ジャック: csが
[4:23:24] 火星の猫: うますぎるが
[4:23:27] tetu1011: うっま
[4:23:28] もうちょい: うま
[4:23:33] welldoneman1: tanukiWazamae tanukiKatana
[4:23:39] xxtidorixx: ナーフされても結局つえー木
[4:23:42] ゆるし: AR下がっても勝てるのか、、
[4:23:44] 桜守: 筋肉
[4:24:05] Kiri_1111: 無限に弱くなってるのに
[4:24:08] お気楽さん: にんにんの殺意の瞬間が天才
[4:24:14] 豆の木ジャック: ガッツリナーフきたのにんw
[4:27:11] お気楽さん: レインさんのタンクを使わない宣言の答えがアイバーンなのか
[4:27:20] xxtidorixx: デイジー君がいないとね
[4:27:40] ファン茶: E変更すれば取りあえずサポートには殆ど出てこなそうではある
[4:28:52] tattooedgirl90: HELLO bleedPurple GlitchCat <3
[4:29:00] gkkstlove: 割合なのに
[4:29:04] と0てノ: 正気か？
[4:31:51] si794: 忍者？ｗ
[4:32:17] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[4:33:02] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[4:33:31] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[4:34:29] kataba2031: 燃えた
[4:34:32] si794: やけしんだ
[4:34:33] apororon: 焼き殺したｗ
[4:34:39] xxtidorixx: 体こすりつけてたらなんかしんじゃった
[4:35:38] FNOXON: とんでもないブラストコーン見えた
[4:36:21] と0てノ: えぐいワード出た
[4:36:51] tetu1011: 草
[4:39:39] 桜守: 破壊した
[4:39:55] と0てノ: パワーあるなあ
[4:39:56] kataba2031: マナ問題も解決した
[4:39:58] Kiri_1111: マオカイのスキル強すぎる
[4:40:28] すみれいろ: カン
[4:40:38] と0てノ: ウルト使ったジャックスより強い
[4:41:04] すみれいろ: わっ！
[4:41:06] と0てノ: ｗｗｗｗｗｗ
[4:41:14] ゆるし: 流石にUGジェイス
[4:41:19] i_am_eclair: ミクロしてない？ｗ
[4:41:35] selzt93147: これはミクロチーム
[4:42:13] 桜守: 一般通過ヘラルド
[4:42:14] ゆるし: ミクロ派
[4:43:11] Kiri_1111: ミクロがないとマクロは成り立たない
[4:43:19] と0てノ: ジェイスBANorPICKka
[4:44:19] すみれいろ: 木が2本
[4:44:37] 桜守: 寄らば大樹の陰
[4:44:48] Kiri_1111: マオカイアイバーンデイジーの自然の力で勝とう
[4:45:03] ゆるし: www
[4:45:53] すみれいろ: うそつきじゃん
[4:45:55] と0てノ: アジールはまずい
[4:46:32] ricemusi: エメラルドガリオ
[4:46:51] と0てノ: フェイトとか
[4:47:09] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[4:47:21] sacchanw2: たかやさんのちーむリクルートさん先にダイヤに行ったんだっけ？
[4:47:21] nukmor: たぬ木
[4:47:35] welldoneman1: 強すぎたから軽傷か
[4:47:53] と0てノ: ボリベア強そうだけど
[4:48:16] welldoneman1: クマそんなつえーんだ
[4:48:34] saeki0530: ウディアは？
[4:48:56] 桜守: ソウルチャンプだった肩パンおじ
[4:49:12] ぱと_らっしゅ: ウディアは魂なんだよね
[4:49:42] ぱと_らっしゅ: ｗ
[4:49:56] nukmor: Sneaky系
[4:50:01] ぱと_らっしゅ: ＊＊＊＊＊
[4:50:02] Kiri_1111: Rekkles系
[4:50:07] sqruq: 草
[4:50:10] すみれいろ: ＊＊＊＊＊＊＊＊
[4:50:11] nukmor: BAN
[4:50:18] sacchanw2: RaccAttack￼ BloodTrail
[4:50:18] すみれいろ: ノンデそう
[4:50:51] nukmor: KappaPride
[4:51:45] drfunkmama: 食い気味で草
