[0:01:13] Fred_worth: れおな？
[1:40:29] おリお: 行く前はえぇ…だけど行くとワクワクなる
[1:40:37] konamin_: せかいじゅう～どこま～で～も～
[1:40:40] asasa12312: 今１デイパス１万円くらいだろ高すぎる
[1:40:42] simneeto: 初めて乗ったのがそれで嫌いだわｗ
[1:40:51] l1ng1130: 過激派だｗ
[1:41:04] konamin_: レッグチキンうまくないか？
[1:41:12] pandemic427: 本当にプロやん
[1:41:19] 黒霧くろくま: キャストやってたのすげぇな
[1:41:26] konamin_: はえー豆知識しれるのくっそいいな
[1:41:31] おリお: バックグラウンドストーリーか
[1:41:31] ranran545: unkow
[1:41:33] konamin_: クッソ怖い奴ね
[1:41:33] reolemon: 知識あるとおもろいよな
[1:41:42] konamin_: そうなんだ
[1:41:43] 瀬名澄子: へえー
[1:41:45] 黒霧くろくま: そーなん！？
[1:41:46] mimitabu__: へー
[1:41:47] いーすりー: それその人が面白いだけなのでは？
[1:42:09] asasa12312: 日本だけが楽園
[1:42:11] 黒霧くろくま: えぇ…
[1:42:12] konamin_: へえ そうなんだ
[1:42:15] おリお: 南部系のあれでＮＧでたんよね
[1:42:15] tak1on_: 曲変えるじゃあかんのか？
[1:42:20] ranran545: ｗｗｗｗｗｗ
[1:42:21] reolemon: ほんまポ、リコレ
[1:42:22] くまはらちゃん: www
[1:42:28] りゅーとき: まじか知らなかった
[1:42:29] konamin_: 日本だけそんな感じじゃないから平気なんだｗｗｗｗ
[1:42:34] takosu_1: 世界くんさー^^
[1:42:41] dkfanboy3: 日本語ならおｋって事？ｗ
[1:42:47] 黒霧くろくま: 待ち時間がおもろくなるの良いな
[1:42:48] 瀬名澄子: 確かに、楽しそう
[1:42:54] garden1521: 夢壊れる理由やな
[1:42:58] ゴリリ: ディズニーはポリコレとかあの辺で自滅してるなあ
[1:42:58] りゅーとき: イッツア住みにくいワールド
[1:43:04] konamin_: スプラッシュマウンテン怖いやん
[1:43:17] l1ng1130: ｗｗｗｗｗｗ
[1:43:20] おリお: ｗｗｗｗｗ
[1:43:21] konamin_: ｗｗｗｗｗｗｗｗｗｗｗ
[1:43:23] 黒霧くろくま: ｗｗｗ
[1:43:30] おリお: あるあるやね
[1:43:33] mimitabu__: 楽しみすぎだろ
[1:44:14] pandemic427: 実質ガイド付きでいくディズニー楽しいやろうなwwwww
[1:44:16] konamin_: めっちゃ楽しんでるやんｗｗｗｗ
[1:44:23] おリお: めっちゃエンジョイしてんなあ
[1:44:33] konamin_: そうね
[1:44:37] 瀬名澄子: スペースマウンテンも好き
[1:44:48] konamin_: おっぼとディズニーいったら待ち時間もおもろそうだもん
[1:44:49] りゅーとき: ｗｗｗｗｗｗｗ
[1:44:55] asasa12312: ぐるんぐるんするやつ
[1:44:56] 腫れカス大好き: 口臭い理由なんやねん
[1:44:57] marisuke2112: 速すぎる
[1:45:00] 餃子はニンニク増し増し: あれ吐くwwww
[1:45:01] りゅーとき: 喋って口パッサパサなるのかｗｗｗ
[1:45:03] simneeto: 暗闇走るジェットコースター？
[1:45:13] konamin_: あれ外みえないから全然いけたｗ
[1:45:26] dkfanboy3: カーブする側と逆に体出すとより楽しいよ
[1:45:33] mimitabu__: 目の焦点見失うわ
[1:45:50] konamin_: 外みえるもの高所恐怖症だからまじで無理だった
[1:45:53] simneeto: あれ明かりつけたらめっちゃ遅いんだろうなｗ
[1:46:09] konamin_: まじかよ
[1:46:24] konamin_: どんな感じのアトラクションなの？
[1:46:34] 瀬名澄子: 行きてーラプンツェルも来るし
[1:46:35] konamin_: うんうん
[1:47:07] konamin_: えーめっちゃおもろそう
[1:47:37] konamin_: ｗｗｗｗｗｗｗ
[1:47:43] pandemic427: 楽しいというより美しいって感じだね
[1:47:45] konamin_: 例えをせめてディズニーにしろよｗｗｗｗ
[1:47:48] 瀬名澄子: 世界観に入ってる感じか
[1:47:52] 黒霧くろくま: 集英社なんだよね
[1:48:15] konamin_: でもそんだけ美女と野獣の世界に入れるのいいなあ
[1:48:24] おリお: 美女と野獣はライド以上に待ち時間のＱラインが素晴らしいとおもうわ
[1:48:50] konamin_: 歳取ってのったら以外とおもろかった
[1:48:55] 餃子はニンニク増し増し: タワーオブテラー乗らなかったん？？
[1:48:57] 瀬名澄子: ビックサンダーは待ち時間も好き
[1:49:04] pandemic427: 偏見？
[1:49:18] 瀬名澄子: 中身変わったんだ
[1:49:25] ニボシ: 待ち時間短いかいし乗りやすくて好き
[1:52:20] おぼです: 腹痛すぎる
[1:52:28] 瀬名澄子: 草
[1:52:31] reolemon: うま
[1:52:33] asasa12312: 変なもん食ったんやろ
[1:52:45] 4sterte: BibleThump BibleThump
[1:52:58] ニボシ: よいっちも当たってたから食べ物気をつけてね
[1:53:14] おぼです: きのう5しょくたべた
[1:53:27] 瀬名澄子: 食べ過ぎやね
[1:53:52] reolemon: 筋トレちゃんとやれ
[1:54:55] pandemic427: T1強すぎる
[1:55:06] 瀬名澄子: マクロも完璧だ
[1:56:22] reolemon: これが教科書か
[1:56:29] konamin_: くいすぎや
[1:56:34] pandemic427: T1GODs
[1:57:11] asasa12312: シーはいかなかった？
[1:57:16] reolemon: 待ち時間をどう潰せるかって話じゃなくて？
[1:57:38] l1ng1130: 目薬や
[1:57:42] asasa12312: 眼球洗うといいですよ
[1:57:44] pantyaaaaa: わかるわあ
[1:57:50] pandemic427: エイトロのウルトCD短え
[1:58:03] 瀬名澄子: 外傷性白内障なるから気をつけて...
[1:58:05] 餃子はニンニク増し増し: 割とはやw
[1:58:09] l1ng1130: ｗｗｗｗｗ
[1:58:29] reolemon: スプーンですくう
[1:58:34] takosu_1: アイボン？
[1:58:35] tak1on_: 学校のプールとかでやらなかった？
[1:58:49] pandemic427: 洗浄液が売ってて、その液を付けながら目をパチパチすると洗える
[1:58:51] pantyaaaaa: みんな毎日してますよ
[1:59:00] 澤部: アイボンすね
[1:59:11] takosu_1: めっちゃ気持ちいいよ
[1:59:25] n4siki: かゆいときって冷やすんだっけ？
[1:59:34] 瀬名澄子: 鼻うがいも良い
[1:59:59] gumpaste1: たぶん錠数増やしても効果変わんないよそれ
[1:59:59] 澤部: 副作用オンリーwww
[2:00:05] 餃子はニンニク増し増し: 鼻焼くといいっていうけども🤔
[2:00:30] asasa12312: ｗｗ
[2:00:38] n4siki: ちゃんと耳鼻科行って使ってる薬言ったらもっと良いの処方してくれたりするよ
[2:00:42] simneeto: 粘膜焼くっていうよね
[2:00:45] reolemon: 鼻の粘膜焼く話しなかったか？
[2:00:59] takosu_1: 今ってもう花粉症どうにかなる病気だと思ってた
[2:01:00] deikudeiku: レーザー
[2:01:01] pirosue_: 粘膜がアレルギー反応起こしてるのが花粉症だからその粘膜を焼くんだよね
[2:01:03] l1ng1130: 風邪ひき訳すくなるってホント？
[2:01:06] 澤部: こわ
[2:01:12] pandemic427: 極論眼球とか鼻に花粉が付いたらアレルギー反応出ちゃうから花粉を物理的に取り除くかそもそも花粉が付かないようにする
[2:01:13] 餃子はニンニク増し増し: しばらく焦げた匂いするらしいwwww
[2:01:51] n4siki: ほなゴーグル付けるか
[2:02:11] simneeto: スポーツグラスいいよ
[2:02:11] asasa12312: 粘膜に３０分レーザーあてて終わるらしい
[2:02:15] konamin_: 目は何やっても意味なかったよ
[2:02:33] konamin_: 薬は毎年きかなくなるから意味ない
[2:02:46] konamin_: 寝て起きたらあぁ花粉かぁ…ってなる
[2:02:53] まいろまん: 花粉シーズン前から薬飲むといいって聞くけどほんとなん？
[2:02:59] n4siki: 薬も飲み続けると慣れるからね
[2:03:06] pirosue_: 匂いは大丈夫らしいけど本来免疫反応の鼻水が出にくくなるから多少風邪とか引きやすくなると思うよ
[2:03:14] simneeto: ひどいと目ヤニで目開かなくなるよね
[2:03:21] mimitabu__: これINQしてるの？
[2:03:28] 餃子はニンニク増し増し: ほえー！！
[2:03:29] konamin_: 役割あるからね
[2:03:33] pirosue_: そうそう。そんな感じ
[2:03:53] pirosue_: 免疫反応がぶっ壊れて過剰反応してるのが花粉症だから
[2:04:12] konamin_: 風邪＋花粉まじでやばいから本当に気を付けて
[2:04:16] asasa12312: そのレベルだと外出れないじゃん
[2:04:18] plutor: ;;
[2:04:34] gumpaste1: 飲み薬は限界あるから病院行くのが一番いいよ
[2:04:35] n4siki: 意識すると余計かゆくなるよね
[2:05:03] pirosue_: 昨日の夜から今日が特にやばいよな
[2:05:05] konamin_: 病院行くべきだよ
[2:05:07] n4siki: 行った方がいい
[2:05:13] reolemon: 家の中でもそんな花粉症でるんだな
[2:05:17] pot_fish: 病院はマジで行った方がいいです
[2:05:23] gumpaste1: アレルギーだからね
[2:05:30] 4sterte: 耳鼻科の薬の方が効く気がする
[2:05:37] n4siki: その時使ってる薬も言ったらワンチャンそれより強い薬処方してくれるから
[2:06:02] konamin_: 起きたらならまだいいけど、悪化すると鼻むずむずして起きるし目かゆくなりすぎて起きるから
[2:06:08] aiuezaurusu: 病院行くだいぶましになるよ、眠くなるけど
[2:06:29] n4siki: 耳鼻科
[2:06:31] asasa12312: 耳鼻科でいいよ
[2:06:34] konamin_: 耳鼻科
[2:06:36] mik4zuchi: 目薬とか鼻に直接打つスプレーみたいなのもらえるよ
[2:06:44] tonnura3280: 病院行く決意できてえらい
[2:07:02] mimitabu__: 今日行かなかったらもう行かないぞ
[2:07:03] reolemon: 今日いけ
[2:07:06] konamin_: 今日いけ
[2:07:07] まいろまん: なんできょういかんw
[2:07:13] plutor: 寝て起きたら決意ゆらぐかもしれない
[2:07:31] mik4zuchi: 漢方薬も結構効くよ
[2:07:32] n4siki: 今は耳鼻科患者多いから行くなら早い方がいいよ
[2:07:34] pirosue_: そうか？ｗｗ
[2:07:47] konamin_: そんな感じで花粉症なった時そう思ってたよ、いってまじでよかったから今すぐいったほうがいい
[2:07:53] aiuezaurusu: 月曜だし早いほうがいい
[2:07:56] もにかん5910: obosanHi obosanHi
[2:08:03] asasa12312: 行くまでが億劫なんだよな
[2:08:07] konamin_: めっちゃコム
[2:08:08] tonnura3280: 週明けは混みます
[2:08:09] aiuezaurusu: 日曜休みおおいし
[2:08:15] konamin_: ありえんぐらい人いる
[2:08:19] kyuu1111: 老人多い地域だとどの時間帯でも混む
[2:08:19] n4siki: 金、月はやっぱ休み合わせていく人多いね
[2:08:20] reolemon: 耳鼻科と皮膚科はQOL上がる
[2:08:35] konamin_: そうしてsoloQと
[2:08:36] まっくそお: おっぼオイラも重度の花粉症だったけど病院いったら花粉いなくなったぞ！
[2:08:41] りゅーとき: 教育なら早めに行った方がいい
[2:08:51] Nightbot: @おぼです -> A 60s commercial has been started.
[2:08:52] pirosue_: おぼ、そろそろアジールに手出さんか？
[2:08:52] ニボシ: 週明け位週末は駆け込み多い
[2:09:02] pirosue_: ｗｗｗｗｗ
[2:09:28] n4siki: ちなみに俺は今まで花粉だと思ってたのが猫アレルギーで全然花粉きつくないってのが最近わかったぞ
[2:09:29] gumpaste1: アジール色が花粉だしな
[2:09:33] pirosue_: チョガス
[2:09:38] げりっぴ: サイラスでよくね
[2:09:38] kyuu1111: あ、そっか おぼさんゴールドだからまざーさんとduoできなくなっちゃったのか
[2:09:45] ニボシ: フェイ
[2:09:50] 火星の猫: だめ
[2:09:57] kyuu1111: マルザ サイラス無理だよ
[2:10:04] pirosue_: かなりない
[2:10:04] gumpaste1: ｗｗ
[2:10:06] plutor: どう考えてもきついのに
[2:10:07] aiuezaurusu: きついよｗ
[2:10:08] mik4zuchi: www
[2:10:09] renminl: おじゃー
[2:10:11] konamin_: マルザ相手サイラスむりやｗ
[2:10:17] げりっぴ: 慣れてるほうがいいやろ
[2:10:18] asasa12312: ジグスとかゼラスが簡単カウンターだよ
[2:10:29] まっくそお: ｗ
[2:10:39] youjoa: カウンターされに行く男ｗ
[2:10:42] reolemon: www
[2:10:43] plutor: 味方ためいきついてる
[2:10:44] mik4zuchi: 慣れとかそう言う話か？
[2:10:49] mimitabu__: どうも～餌で～す
[2:11:10] ニボシ: TFとかもええで、虫ファーム捗る
[2:11:20] asasa12312: 耐えてCSとろう
[2:11:33] konamin_: QでCSがんばろう
[2:11:34] 火星の猫: wの虫でe止められるパッシブもきついガンクもくる
[2:11:39] pirosue_: プールの中ならエコーで全然良かった
[2:11:46] tamagokun1221: おはようございますー
[2:11:48] plutor: Q3上げとかかなぁ
[2:11:49] konamin_: Eの時に虫出て無理になる
[2:12:05] mik4zuchi: どうすんだよw
[2:12:15] konamin_: なのにあいてスペシ沸く
[2:12:26] kyuu1111: でもこのマッチアップ序盤のトレードで勝ちきれたら一生勝てるよ
[2:12:29] pirosue_: リッチベイン
[2:12:33] konamin_: リッチベイン
[2:12:34] renminl: そんな無理か？
[2:12:44] 君の蕎麦煮る: 強気で行け
[2:12:50] konamin_: lv1強気のがいい
[2:12:55] asasa12312: とはいっても序盤は勝てる
[2:13:08] konamin_: 先行したら絶対負けない
[2:13:24] pirosue_: そんな無理って程では無い
[2:13:45] 君の蕎麦煮る: ｗｗｗ
[2:13:46] asasa12312: 残念
[2:13:47] renminl: そうだよね
[2:13:48] konamin_: ｗｗｗｗｗ
[2:13:54] konamin_: Flash先が怪しすぎたｗ
[2:13:56] げりっぴ: おっし
[2:13:58] 君の蕎麦煮る: ベイトｗ
[2:14:03] gumpaste1: やたらトレードしてくれるなと思ったら
[2:14:11] asasa12312: でも相手Fないぞ
[2:15:13] konamin_: 押し切るのはもう無理だろうからしばらくTになりそう
[2:15:23] konamin_: 優しいね
[2:16:05] konamin_: ナイスウェーブコントロール
[2:16:22] げりっぴ: ６なったらジャングル呼んだらいけそう
[2:16:31] pirosue_: 後衛消し過ぎた
[2:16:41] konamin_: 後衛の数たらんかったね
[2:16:57] renminl: 適当にスキル打ってきたら詰めればええ
[2:17:20] konamin_: 相手Eつけないの優しい
[2:17:48] renminl: マルザのR持ってるからヴァイ警戒してるね
[2:18:14] konamin_: botまずーい
[2:19:05] konamin_: ないすとらい おしい～
[2:19:26] pirosue_: ダイブし過ぎてるｗｗｗ
[2:19:31] konamin_: 脳が焼かれたのかもしれん
[2:19:37] mimitabu__: ワニさん；；
[2:19:37] renminl: ナニシトンネーン！
[2:19:46] asasa12312: 今よくウルトされなかったな
[2:20:14] konamin_: 奥が本物だねぇ
[2:20:38] plutor: けものになってるかも
[2:20:47] konamin_: 体力の減りおかしかったからん？とはなるけど、むずいｗ
[2:21:05] renminl: ヴァイ偉い
[2:21:07] pirosue_: 基本は柔らかさで判断するしかない
[2:21:20] konamin_: 偽物はやわい
[2:21:22] mik4zuchi: 柔い
[2:21:24] pirosue_: 偽物くっそ柔らかい
[2:21:25] げりっぴ: 偽物がやわいじゃない？
[2:21:44] pirosue_: だから上手いシャコ使いはあえて激ローにする
[2:22:34] konamin_: shaco相手のmidまじでだるい
[2:22:39] pirosue_: 相手のシャコAP？
[2:22:51] plutor: やってる本人はにこにこです
[2:22:58] renminl: omg
[2:23:06] asasa12312: ん？
[2:23:12] konamin_: この状況でリコールするんだｗ
[2:23:17] pirosue_: APなら序盤はまだマシやな
[2:23:27] konamin_: プレートうまうま
[2:23:48] konamin_: マルザなのにレーンで優しい
[2:24:24] konamin_: Qあたってればあ
[2:24:26] nekoneko11223: ヴァイなら死にかけだから帰ったよ
[2:24:28] asasa12312: ヘルスがなかったかも
[2:24:32] ブエノスディアス: ヘルスが
[2:24:39] pirosue_: 流石に無理だったｗｗ
[2:24:41] まんぼう隊長: 無理だよ
[2:24:41] げりっぴ: ガチロー
[2:24:41] renminl: さすがに無理かも
[2:24:43] やみち: むりだね
[2:24:47] konamin_: みんなEあたったらしぬからむりだったｗ
[2:24:54] plutor: ヘルスなかったしあの状況はバックかなぁ
[2:25:13] konamin_: Qあたってればいけたよ今のは
[2:25:47] konamin_: はずれてたと思う マルザキルもっと早いとき行けたと思ってる
[2:25:51] pirosue_: 外れてたね、当たってたらマルザは取れてたけど1-1やね
[2:26:33] asasa12312: 赤トリのほうが戦いやすそう
[2:26:37] konamin_: サージと比べたらだめだね
[2:27:03] konamin_: あとRoAのスタックまだ全然だから…
[2:27:46] pirosue_: おっぼって初手サージ行くけど初手リッチベインは嫌なの？
[2:28:00] konamin_: ナイストレード
[2:28:09] konamin_: Qのバーストすごいんだからほんと
[2:28:13] asasa12312: Q上げ大正義の時代もあった
[2:28:37] asasa12312: かわいい
[2:28:37] 君の蕎麦煮る: ん？
[2:28:45] pirosue_: E2に見えたんだろうなｗｗ
[2:29:22] konamin_: レネクつんよｗｗｗｗｗｗｗｗｗ
[2:29:24] 君の蕎麦煮る: ｗｗｗ
[2:29:30] boogieman0118: ワニつよ
[2:29:30] pirosue_: ヴォイドマイト最高やん
[2:30:07] plutor: まぁシャコAPだからおもちゃだよ
[2:30:14] pirosue_: タイマンはクソ雑魚だから安心してね
[2:30:16] asasa12312: 相手のボットってなんだっけ
[2:30:38] konamin_: ナイス寄り！
[2:30:39] pirosue_: トゥイッチやね
[2:30:57] konamin_: 2000円も持ってる富豪だ
[2:31:05] pirosue_: リッチベイン
[2:31:08] konamin_: リッチベイン
[2:31:22] asasa12312: それしかない
[2:31:35] pirosue_: 基本積めるならリッチベインが最強やで
[2:31:49] konamin_: シャドフレ詰むのサージ積むときに状況により蹴りって感じぐらい
[2:31:50] asasa12312: 罠ふませようとしてるｗ
[2:32:19] kyuu1111: そういや今偽物もスキル使うフリするんだっけ
[2:32:48] konamin_: soraka
[2:32:49] asasa12312: ソラカのＥ
[2:32:49] ボン太郎: ソラカさいれんす
[2:32:51] pirosue_: トゥイッチR取ってみろくそおもろいぞ
[2:33:05] げりっぴ: 射程伸びる
[2:33:05] pirosue_: AAのレンジ伸びる
[2:33:13] asasa12312: 貫通します
[2:33:13] konamin_: AAの距離とんでもないことになる
[2:33:14] mik4zuchi: w
[2:33:18] plutor: ｗ
[2:33:20] gumpaste1: ちなみにめっちゃ強い
[2:33:23] financier29: ｗｗｗ
[2:33:41] pirosue_: スキル空打ちしまくれば強いよ
[2:34:05] asasa12312: パッシブでAA強化あるから・・・
[2:34:06] konamin_: sylasが実装された以降とったことないからわからんわ…
[2:34:16] 君の蕎麦煮る: こわれちゃった
[2:34:17] konamin_: ヤスオつよーい
[2:34:18] ranran545: 敵の味方のyasuoきたあああああああ
[2:34:34] pirosue_: ちなみにトゥイッチRサイラスが集団戦で使うとくっそ強いよ
[2:35:09] げりっぴ: シャコ賞味期限きてんな
[2:35:22] konamin_: ヤスオがきたらはやい
[2:35:22] tak1on_: ヤスオいないとdpsがね
[2:35:25] asasa12312: APシャコは遊びピック
[2:35:26] mik4zuchi: ヤスオくれば
[2:35:34] konamin_: 時計
[2:35:34] asasa12312: 時計
[2:35:36] konamin_: 一択
[2:35:56] konamin_: 3コア目は時計以外考えられんぐらいサイラスは時計クッソ強いよ
[2:35:59] asasa12312: 最強アイテムだよ
[2:36:14] mimitabu__: ワニさん最初いい感じだったのに
[2:36:33] konamin_: EWQ→時計EWできるからねサイラス
[2:36:48] asasa12312: 一番弱いと思われてるｗ
[2:36:58] horikoshi0527: 発動効果使うまではラバドン目指していいかも
[2:37:08] pirosue_: グウェンでいいよｗｗ
[2:37:14] konamin_: shacoがｗｗｗｗ
[2:37:23] mik4zuchi: お
[2:37:40] ranran545: ｗ
[2:37:42] とまぱら1023: ww
[2:37:43] pirosue_: 終わったｗｗ
[2:37:44] plutor: ｗｗ
[2:37:44] asasa12312: ｗｗｗｗｗｗ
[2:37:44] mimitabu__: あれ？
[2:37:44] mik4zuchi: あれw
[2:37:45] konamin_: ちょっと長かったねｗ
[2:37:46] 君の蕎麦煮る: ｗｗｗｗ
[2:37:48] ranran545: 長い射程でタワー殴っただけｗ
[2:37:54] pirosue_: くっそ遠くからタワー殴っただけ
[2:37:55] ボン太郎: ｗｗ
[2:37:55] youjoa: 草ｗ
[2:38:04] asasa12312: そういうウルトだからｗ
[2:38:06] gumpaste1: 密集してる敵に強いだけだからねｗ
[2:38:16] konamin_: ソラカのult取るのクッソ強いよ
[2:38:20] pirosue_: AAレンジ内だと奥に貫通するんだよね
[2:38:25] 君の蕎麦煮る: シャコのウルト取ったらどう何の
[2:38:26] ボン太郎: 回復
[2:38:27] konamin_: 全員回復
[2:38:28] ranran545: チーム全体回復
[2:38:28] げりっぴ: 全員回復
[2:38:30] pirosue_: 全体ヒール
[2:38:41] konamin_: 関係ない
[2:38:41] ranran545: グローバル
[2:38:42] asasa12312: マップ全部「
[2:38:45] pirosue_: どこにいても全員
[2:38:48] n4siki: どこでもヒール
[2:38:50] Nightbot: @おぼです -> A 60s commercial has been started.
[2:38:50] ボン太郎: 全範囲の全味方に回復
[2:38:52] konamin_: マップ全部どこにいても即時回復
[2:38:52] げりっぴ: カーサスのウルト回復版
[2:38:59] renminl: gg
[2:39:05] りゅーとき: スモルダーのウルト取ったらサイラスのかーちゃんくるの？
[2:39:10] asasa12312: あと重症除去？
[2:39:34] kippu2525: サイラスのかーちゃん草
[2:39:41] konamin_: おわらんｗｗｗｗ
[2:39:46] renminl: なんでだよwww
[2:39:48] mik4zuchi: www
[2:39:50] げりっぴ: TPあるぞぉおお！！！
[2:39:51] asasa12312: 何人か遊んでたな
[2:39:52] mimitabu__: ｗｗｗ
[2:39:55] konamin_: みんな殴ってないｗｗｗｗ
[2:40:03] yuugao0176: 舐めプw
[2:40:04] 君の蕎麦煮る: まあインヒビ全割れだしおわるやろ
[2:40:05] renminl: まだ遊べるぞ〜w
[2:40:11] atomic4807: バックドアです
[2:40:27] 君の蕎麦煮る: つよｗ
[2:40:29] nekoneko11223: 1体もってったｗ
[2:40:30] tak1on_: どう考えても無理やろｗ
[2:40:34] mik4zuchi: 意地でワンキルしたぞw
[2:40:39] konamin_: TOPに居座ってた時の気持ちでいるのかもしれん
[2:40:45] simneeto: バックドア⇒失敗×2⇒逆転負けあるで！
[2:40:49] SoLA_tw: 頭レネクトンや
[2:40:56] konamin_: myteamyasuo
[2:40:59] asasa12312: ないよ
[2:41:00] mimitabu__: 本当にヤスオか？
[2:41:01] plutor: 真面目なヤスオ
[2:41:02] renminl: オールミッドで終わる
[2:41:02] ブエノスディアス: 味方の敵のヤスオ
[2:41:04] konamin_: ガチでえらい
[2:41:41] asasa12312: ｗｗ
[2:41:41] mimitabu__: ｗｗ
[2:41:41] げりっぴ: うおおおお
[2:41:41] ボン太郎: GG
[2:41:42] konamin_: なーいす！！！！
[2:41:46] yuugao0176: こわw
[2:41:48] pirosue_: あぶねぇｗｗｗ
[2:41:49] Artorius07: ヤスオがしんじゃった；；
[2:41:50] konamin_: リッチベイン最強
[2:41:52] mimitabu__: 結構ギリギリ
[2:41:57] simneeto: なめ舐め舐めプｗ
[2:42:14] pirosue_: リッチベイン無かったら無理だったなｗｗ
[2:42:21] asasa12312: 何戦目？
[2:42:22] ranran545: 良い方の適性じゃない
[2:42:22] げりっぴ: マルザきつかった？
[2:42:23] renminl: でっか
[2:42:32] simneeto: プラチナ特急券買ってますね
[2:42:32] OldTypeOji: さっさとプラチナ上がれってことじゃね
[2:42:33] 君の蕎麦煮る: 内部えぐいな
[2:42:34] plutor: 上にいけってRiotがいってる
[2:42:39] tonnura3280: 高みへどうぞ
[2:42:48] SoLA_tw: 修正されて＋25が平均のはずでは笑
[2:42:55] konamin_: おぼが余りにも闇に漬かりすぎて基本的には30LP近くはもらえるぞ
[2:43:04] tak1on_: E1みたら虫出すだけだしな
[2:43:17] konamin_: うん
[2:43:21] pirosue_: ちなみにおっぼのプールでマルザ相手ならエコーでいいよ
[2:43:23] konamin_: 押されるのきついよね
[2:43:26] asasa12312: パッシブはがすのも一苦労
[2:43:37] konamin_: なんならニコニコしてたよね
[2:43:38] plutor: マルザサイレンスも持ってるしね
[2:43:41] asasa12312: そうだったのか
[2:44:08] konamin_: そうね
[2:44:15] renminl: ちゃんとやればそんな無理じゃない
[2:44:22] konamin_: 1も2も3も全然勝てるよ
[2:44:26] げりっぴ: ６になって１回もヴァイのガンクなかったな
[2:44:47] hal_1ch: マルザにはオレソル、ベイガーにはカサディンや
[2:44:47] mimitabu__: マルザがだいぶ偉い立ち位置してたからね
[2:44:48] konamin_: shacoの2lvガンクきもかったなｗ
[2:45:04] konamin_: あれてくかったね
[2:45:10] ニボシ: 辛過ぎて記憶消してた
[2:45:41] konamin_: ながかったなぁ
[2:45:41] plutor: 蚊取り線香ｗ
[2:45:48] ranran545: シャコ＝蚊
[2:45:53] pirosue_: トゥイッチRで気持ち良くなるシーン来ると思ったんだけどなぁ
[2:45:59] tak1on_: まざー３シルバー昇格しそう
[2:46:14] asasa12312: めでたい
[2:46:22] OldTypeOji: ということはDuoできるか
[2:46:29] konamin_: sylasでいっちゃん気持ちいいのはでもマオカイRなんだよな
[2:46:30] げりっぴ: づおか？
[2:46:32] renminl: そんな離れてたんだ
[2:46:49] renminl: 近いかと思ってたわ
[2:46:50] konamin_: 1div違うからね
[2:46:57] まっくそお: うんうんうんうん
[2:46:58] renminl: 早口やめてね
[2:46:58] 火星の猫: w
[2:47:00] financier29: ｗｗｗｗｗ
[2:47:02] オレだよオレ: ｗ
[2:47:03] OldTypeOji: 早口ｗ
[2:47:03] asasa12312: なんか早口じゃない？
[2:47:06] plutor: めっちゃ早口
[2:47:07] 澤部: 早口オタクwww
[2:47:09] レイフナオ: そうだねそうだね
[2:47:09] konamin_: 早口すぎんか？
[2:47:11] カサエル: ランク”は”上かな
[2:47:12] SoLA_tw: 喋りすぎww
[2:47:20] simneeto: 早口だけどスカスカやｗ
[2:47:22] pirosue_: 謙虚風自慢やめろ
[2:47:34] konamin_: でもマザオボduoみたいよぉ…
[2:47:47] レイフナオ: マザーさんはインQする時間帯が悪いんかな…？
[2:47:52] まっくそお: アサシンに強気に出れて楽しいよグラガス
[2:47:52] konamin_: Gragasまじで強いぞ
[2:47:58] asasa12312: トップjgでも出せるからいいかもね
[2:48:01] gumpaste1: グラガスマジで強いよ色んなアサシン拒否できるし
[2:48:03] SoLA_tw: 次グラガス行きましょう
[2:48:05] mimitabu__: フレックスだよ
[2:48:10] n4siki: マザーは寝る前にやるから…
[2:48:11] pirosue_: 舐めたメイジ、アサシン狩る用にmidレネクやらんか？
[2:48:12] hal_1ch: カサディンも強い
[2:48:17] asasa12312: オレソルめっちゃ強い
[2:48:22] lalasalem: マザーさんinQもフルオープンしてるしね
[2:48:34] renminl: サイラスTF、マオカイに出せるのめっちゃええぞ
[2:48:47] konamin_: ゲームの進行速度が遅いと強い
[2:48:48] ニボシ: アイテムが強い
[2:48:54] 1mumu12: アイテムがバフされたから？
[2:48:56] hal_1ch: レイト全般強い
[2:49:21] ニボシ: ROA積まない
[2:49:27] konamin_: キヤナがいいのはキヤナが育ちすぎてゲーム終わるの早いから多分勝率高いんだと思う
[2:49:28] hal_1ch: ロア、セラフ、マリグナンス
[2:49:46] ニボシ: マリグナンスセラフでもう強い
[2:49:51] asasa12312: ロスチャプ派生全部バフ入った
[2:49:54] 1mumu12: ヘイストが5増えたはず
[2:49:58] ニボシ: ロアはスキップして良い
[2:50:01] konamin_: ロスチャプ系統のバフがはいってる
[2:50:09] hal_1ch: ルーデンとかいうゴミ積まないし
[2:50:10] n4siki: マリグナンスとか言うのが頭悪いのか
[2:50:20] tak1on_: すごい早いがまじ早いくらいになる
[2:50:28] げりっぴ: まじでつええんからな
[2:50:29] まっくそお: メイジ界隈のキャンサー
[2:50:33] asasa12312: 人によってCDが違うのが悪い
[2:50:36] ニボシ: マリグナンスはだいぶ悪さし終わった後
[2:50:41] financier29: ｗｗｗｗｗ
[2:50:42] catless: ｗｗｗ
[2:50:44] hal_1ch: 魔法防御10下がる領域作るの中々えぐい
[2:50:45] asasa12312: すごい早いのほうが早くね？
[2:50:48] plutor: w
[2:51:00] gumpaste1: マジ速いはもう目の前まで迫ってる人の感想だからね
