[0:00:18] yayakoxx: おはようござます
[0:29:24] Bhaddekaratta: ワンコードの曲もある
[0:29:28] sawayaka_odisan: ありふれるほど うれしいだろうな
[0:29:30] 名無し333: あとヒャダインもヒャダインの曲だってわかるもんな
[0:29:30] lime1228: 聞けば誰かわかるって圧倒的なアドバンテージよな
[0:29:35] hibari_1104: けいおんみたいな感じでw
[0:29:38] 猫又雅: 〇〇っぽく〜
[0:29:44] kibidango551: 量産型ふわふわタイム
[0:29:46] Nykuji: DECO*27 さんとかわかりやすい
[0:29:46] ゴリメロ: サカナクションのサカナクションみたいな感じみたいな
[0:29:50] vxyutakaxv: YOASOBIが全部似てる理由の一つね
[0:29:53] takahashi_png: BibleThump
[0:29:54] sametaro: フワちゃん
[0:29:54] zababa0324: なるほどな
[0:29:56] ぞうくまいくお: けんきみたいな感じで案件お願いします
[0:29:57] fumoti23: そのためにその人にオファーするのか
[0:29:57] 8818papaiya: 自然と同じコードにもなるのか
[0:29:58] 高めのサバ缶: その人のサインみたいになるよな
[0:30:01] kibidango551: けんきの代表曲ってなに？
[0:30:01] とろたまうどん: だからAqua Timezが全部同じに聞こえるのか
[0:30:04] wakimako: 大義名分で作れる
[0:30:08] pasutel097: 求められてるから書いてるだけなんだよね
[0:30:09] murasima: 呪いみたいだな
[0:30:11] zababa0324: T.M.Revolutionの疾走感もそんなもんなんだね
[0:30:12] morimori03020320: 違うコードで同じようなメロディになると難しい
[0:30:14] syuimee: これ分かりやすかったオーイシさんっぽいhttps://youtu.be/VQjF7UDPiU0?si=xR_eLKuU6LwMxnP4
[0:30:18] 仲根にど: ブランディングやね
[0:30:23] lyysurxusyrxeurdirxu: 髭男もそうなのかな
[0:30:28] kibidango551: じゃあスタンミはぷっさんにパイナップルルみたいに作ってくださいって言ったってこと？？
[0:30:32] 高めのサバ缶: ゆゆうたが言うイキスギコードとかそれよな
[0:30:37] 仲根にど: つまりぷるるらしさってことや
[0:30:40] 辛味噌ネギ牛丼: 芸人の芸がおんなじコードなのも同じ理由？
[0:30:41] sonic8lue: 声域の影響もあるな
[0:30:51] Kikka113: うっま
[0:30:54] オレンジ野郎: ぱちちゃん
[0:30:54] sametaro: うっま
[0:30:55] morimori03020320: うま
[0:30:56] 猫又雅: くそうま
[0:31:00] ぺぷすぃ: すげえわ
[0:31:00] basho2022: かっけえ
[0:31:01] なのつん: でゅん
[0:31:02] ぞうくまいくお: ノリノリ
[0:31:02] 仲根にど: スタンミはほぼおまかせだったって配信で言ってたな
[0:31:08] ぺぷすぃ: かっけえ
[0:31:10] 猫又雅: かっこよwww
[0:31:11] アルコール中毒者: オバロの曲か
[0:31:11] 闘劇のアルベルト: プロやなあ
[0:31:11] sssiiioooooo: オーイシ、あたぎ、ゆゆうたの回クソいいぞ
[0:31:14] pasutel097: オーバーロードのやつ！
[0:31:15] sametaro: オバロか
[0:31:15] 名無し333: かっこよ
[0:31:17] はまオジ: オーイシのアコギ好き
[0:31:17] usagigabyte: かっこいい
[0:31:17] 高めのサバ缶: 横のメガネの子も上手いし可愛い
[0:31:17] オレンジ野郎: うま
[0:31:18] anti0124: オバロか
[0:31:21] takahashi_png: kenkiSong kenkiSong
[0:31:21] umechin7: あーオバロの曲か
[0:31:23] ぺぷすぃ: ただのふざけたおっさんじゃなかったのか
[0:31:23] 0p4nty: あいみょんとあのちゃんの間の人？
[0:31:26] dunas1833: なんか聴いた事あると思ったらオバロか
[0:31:26] kuma_house: オーバロードのこの曲好き
[0:31:26] vxyutakaxv: クラシックコードね
[0:31:29] sonic8lue: オーイシは本当にギター上手いよな
[0:31:32] ぞうくまいくお: いいね👍かこいい
[0:31:38] zababa0324: オーイシは焦らすってこと？
[0:31:42] はまオジ: アニソン界のおしゃべりクソメガネさん
[0:31:42] でんのすけ77: KIHOWってミスアンドロイドの人だっけ
[0:31:45] syuimee: 左の人はmyth &roidさんのボーカル
[0:31:47] とろたまうどん: アニソンぽい感じ
[0:31:48] 仲根にど: 遅漏ってことか
[0:31:49] usagigabyte: サウンドスケジュールのひとだ
[0:31:54] チェスタトン: ゆゆうたとアタギさんのラジオに出るの？
[0:31:58] pasutel097: 上手
[0:31:58] zababa0324: けんき｢オーイシは焦らす｣
[0:32:04] takahashi_png: うめ〜
[0:32:05] lyysurxusyrxeurdirxu: オーイシ、あたぎ、ゆゆうたの回でコード進行の話してたね
[0:32:05] hibari_1104: サウスケいいよな
[0:32:07] vxyutakaxv: うんこちゃんの顔ワロタ
[0:32:09] usagigabyte: かっさんの顔w
[0:32:10] sametaro: てかこの曲オーイシさんの曲だったんだ
[0:32:10] osyoyuyasan: ジラース法
[0:32:11] はまオジ: ほーん
[0:32:13] kibidango551: 横ノリオーイシ
[0:32:18] 月藤藍: 海外はないの？
[0:32:19] 高めのサバ缶: 海外は強いコードでぶん殴るイメージある
[0:32:20] morimori03020320: 日本人焦らしがちか
[0:32:24] ぺぷすぃ: コード進行は調べると結構深くておもろい
[0:32:24] sssiiioooooo: 日本はむずすぎる
[0:32:26] sonic8lue: 配信者バンドやると楽しそうやね
[0:32:29] vxyutakaxv: 海外の曲はめっちゃシンプルだよ
[0:32:33] zababa0324: テクニックJAPAN
[0:32:38] usagigabyte: トライセラとかそんな感じ
[0:32:51] 高めのサバ缶: スピッツぽい
[0:32:57] sametaro: スピッツだな
[0:32:59] 仲根にど: 既にどこかで聞いたことある
[0:33:01] ぞうくまいくお: ふむ
[0:33:06] しろらいむ: 和音ってやつか
[0:33:07] fumoti23: オアシスっぽい
[0:33:08] ぴょんす713: let it beでしょ
[0:33:09] 闘劇のアルベルト: あー
[0:33:11] 高めのサバ缶: 曲がりくねった道を行きそう
[0:33:12] sawayaka_odisan: マーティは演歌とメタルはそれで似てると言ってた気がする
[0:33:22] vxyutakaxv: 海外の曲は結構手軽に弾けるんだよね
[0:33:34] 仲根にど: じゃあ日本でたまにいる洋楽っぽいバンドはそういう進行を選んでるってことか
[0:33:47] 高めのサバ缶: パワーコードとディストーションで気持ちよくなれるからな
[0:33:48] sonic8lue: ヌーも日本で受けるように変えたって言ってたな
[0:33:54] Bhaddekaratta: ラモーンズとかスリーコードの名曲だらけ
[0:33:58] sssiiioooooo: えぐいwwwww
[0:33:59] qAKp7: 多いなｗ
[0:34:01] 高めのサバ缶: キモいwwwwww
[0:34:03] hibari_1104: 多いwww
[0:34:04] オレンジ野郎: 海外の人がギターとかよくやってるの簡単だからなのかな？
[0:34:04] sametaro: すげえな
[0:34:08] syuimee: 多い
[0:34:08] アステリオ: 言われて見るとキモいなw
[0:34:08] ぺぷすぃ: 忙しいな
[0:34:09] 月藤藍: なんか一気に難しくなってない？？？
[0:34:10] acolthat: 多いよ
[0:34:13] 猫又雅: すごーい
[0:34:16] 高めのサバ缶: 嵐のMonsterとかもやばかったよな確か
[0:34:18] sawayaka_odisan: スピッツっぽい
[0:34:19] fumoti23: きれいや
[0:34:20] sametaro: これが日本の技術…
[0:34:24] kurusyuta: 楽理とか学んで複雑にしてる
[0:34:28] syuimee: 複雑なんだ
[0:34:28] はまオジ: へー
[0:34:33] ザリガーノ: 日本はコード進行も性癖も特殊なのか
[0:34:33] 仲根にど: なんか歴史に関係してたりするんかな
[0:34:36] zababa0324: やはり技術のJAPAN
[0:34:36] オレンジ野郎: でもかっこいいからいいや
[0:34:36] ほいぷる: 美的センスの差とか
[0:34:41] 8818papaiya: 日本の童謡とかが影響してるのかな？
[0:34:42] ぞうくまいくお: 美しい国ジャパン
[0:34:46] はまオジ: JAPANESE HENTAI
[0:34:49] 猫又雅: 真面目さの違いなのか...
[0:34:49] 高めのサバ缶: 最近どんどん「知識ある上でのあえて！」をやり始めてるしな
[0:34:51] megnag86: 進行にもルートあるもんね
[0:34:52] anti0124: こねくりまわすってコト！？
[0:34:54] 名無し333: 真面目に勉強しすぎた結果
[0:34:56] 仲根にど: hentai music
[0:35:12] ケルビの生肉: 革命のコードはなに？
[0:35:15] 高めのサバ缶: 違和感を感じさせるために外してとかもできる
[0:35:16] syuimee: ほう
[0:35:19] dddschool: 日本は年々複雑になってるってこと？
[0:35:20] ほりくさん: おしゃれだね
[0:35:25] calamal_bechiato: セオリーを学ぶ人が多いわけか
[0:35:26] sametaro: 海外はコード進行に焦点を当てずに他の部分にこだわってるとか？
[0:35:27] はまオジ: Tier1のコードがあるのか
[0:35:35] sawayaka_odisan: zakk wyldeはまだペンタトニック一筋なんだろうか
[0:35:40] 高めのサバ缶: 70年代くらいのポップスからすでにキモい
[0:35:43] nyangoroge2434: 樹形図みたいなことか
[0:35:45] 名無し333: 真面目に勉強しすぎて音楽の分岐が広がりすぎた
[0:35:46] megnag86: 椎名林檎の曲もコード進行はげる
[0:35:54] Bhaddekaratta: いい曲かどうかはまた別だからな
[0:35:55] ぞうくまいくお: ここまでは好感度良いですね
[0:36:03] アステリオ: youの日本語訳が多い話思い出した
[0:36:04] vxyutakaxv: 海外は簡単なコードだから体動かしやすいから楽しく弾ける日本の曲は複雑だから集中しないといけなあ
[0:36:05] sametaro: 日本語がそもそもニュアンスを多く含む言語だからそれに合わせてるのかもしれん
[0:36:07] usagigabyte: 陰陽座とかはげる
[0:36:12] syuimee: そうなんだ
[0:36:32] 高めのサバ缶: あー
[0:36:34] calamal_bechiato: 前のアメリカのセッションか
[0:36:35] morimori03020320: あーね
[0:36:51] mumr4: あーたしかに
[0:36:52] takahashi_png: へー
[0:36:55] 高めのサバ缶: セブンスだのなんだのな
[0:36:59] アステリオ: 世界に通ずる音楽に出来るわけか
[0:37:01] popopoharu: 猫ミームみたいなやりとり
[0:37:03] morimori03020320: 複雑で知らんコード出てくるは進行少し変わるわで
[0:37:03] syuimee: なんか簡単な進行だって言ってたっけ
[0:37:05] kibidango551: huh？猫みたいになるのか
[0:37:13] dearnaturac: 昔、ギター買った時ベンチャーズ弾こうと練習してた
[0:37:20] マサネコマサムネ: 猫ミームに汚染され過ぎて左にヤギが見えた
[0:37:31] kibidango551: yesterday？
[0:37:31] unamu3: ビートルズが一番だろうね
[0:37:34] Bhaddekaratta: ジョンの曲はやばいぞ
[0:37:35] usagigabyte: スモークオンザウォーターとか
[0:37:37] 海夜みや: 分数コードとかも指もげる
[0:37:40] sonic8lue: ブルースが顕著やね
[0:37:40] syuimee: あーね
[0:37:42] dauda2: ｗ
[0:37:42] megnag86: wwww
[0:37:43] zieziebot: 日本もその時代の曲は簡単だろうがｗ
[0:37:44] naikakutakame: カノン進行
[0:37:44] dddschool: あ
[0:37:44] dokuo_olerud: テンション使えるようになったらなっちゃって作曲家になれるぞ！
[0:37:45] 猫又雅: 草
[0:37:45] usagigabyte: ww
[0:37:46] syuimee: え
[0:37:47] merusiiii: OneDirectionは？
[0:37:48] takahashi_png: kenkiMimidare
[0:37:48] ShanaKamishiro: wwwww
[0:37:49] ぞうくまいくお: いえすたで
[0:37:50] acolthat: え
[0:37:51] 高めのサバ缶: Tレックスの話しよう
[0:37:52] ツイッチ表示名: ビートルズ、単純じゃなかった
[0:37:54] morimori03020320: あいつら割とやってるよ
[0:37:54] unamu3: ヘイジュードとか
[0:37:54] オレンジ野郎: けんき「ビートルズは単純」
[0:37:55] dearnaturac: ビートルズって今も世界では有名なの？
[0:37:58] sawayaka_odisan: kissとか
[0:37:58] usagigabyte: ディープパープル
[0:38:00] pond__a: 歌謡曲も単調多いイメージ
[0:38:15] kibidango551: レジェンドやろ
[0:38:18] naosan__: あれリフだからコードの曲になるの？
[0:38:19] sawayaka_odisan: えｗ
[0:38:20] sonic8lue: smoke on the water
[0:38:21] 高めのサバ缶: もうバッハとかベートーヴェンとかの域に入りかけてる
[0:38:23] soi__aroace: ずうとるび？
[0:38:23] zababa0324: みんなキノコだよね
[0:38:26] n0doguro: ビートルズは曲がすごいの？演奏がすごいの？
[0:38:28] pond__a: クイーンは？
[0:38:28] zieziebot: 一生遅れてるリンゴ
[0:38:30] inaaturuf: ギターいけたらピアノもいけるの？
[0:38:31] syuimee: 「ビートルズは適当」
[0:38:36] 高めのサバ缶: 放送の音質が悪いのもある
[0:38:38] ツイッチ表示名: ビートルズは始祖だからね
[0:38:42] オレンジ野郎: お前のバンドよりかは適当じゃない
[0:38:47] vxyutakaxv: sum41とかパワーコードで弾きやすい
[0:38:54] naosan__: ビートルズは生音でやってバランス良いのがすごい
[0:38:56] r_Lotus_jr: ac/dcのthunderstruck好きだ
[0:38:58] ma_oy: エドシーランはループだよね
[0:39:05] sonic8lue: モータウンからのビートルズ
[0:39:08] 高めのサバ缶: マクロスの星間飛行の元ネタ
[0:39:10] Bhaddekaratta: これはリフが天才だから
[0:39:11] kibidango551: それね
[0:39:11] morimori03020320: でっでっでー
[0:39:12] 闘劇のアルベルト: ディープ・パープル
[0:39:12] dearnaturac: あーある
[0:39:13] はまオジ: 知ってるやつ
[0:39:13] ぴょんす713: それか
[0:39:16] usagigabyte: smoke on the waterはギター弾くなら必ず練習するよね
[0:39:19] 名無し333: めっちゃ聞いたことある
[0:39:21] kiramasin123: 初見でした
[0:39:22] hiyokko3: あーあれねはいはい
[0:39:24] 昆布畑: 有名なの何
[0:39:25] ほりくさん: ツーコード
[0:39:26] オレンジ野郎: みーんな知ってるやつ
[0:39:28] syuimee: シンプルやね
[0:39:28] kuria0712: 広告から目が離せない
[0:39:30] petbottle429: 逆にすごい
[0:39:31] dddschool: ギターマニアで一番最初にやらされた
[0:39:31] 高めのサバ缶: それでかっこいいのずるいよ
[0:39:32] you444c6: ポール・マッカートニーはエバートンサポーター
[0:39:33] アステリオ: ホントに2個で構成されてるのか、すげ
[0:39:34] Aire775: それ聞いたことある
[0:39:35] morimori03020320: なおリフの素晴らしさ
[0:39:42] anti0124: 周防パトラが弾いてた
[0:39:45] tk_acidman555: ストロークの方が大切なの？
[0:39:46] shishimai43: 結局、轟音のギターリフに1番ロックを感じる
[0:39:47] ツイッチ表示名: 日本人は複雑なコードが好きなのかな
[0:39:49] to_yo__: 一番最初に練習した
[0:39:54] mumr4: 竿勢は絶対引くよね
[0:39:55] calamal_bechiato: イッツマイライフもコード簡単そう。知らんけど
[0:39:59] 高めのサバ缶: 20世紀少年の曲もわかりやすいよな
[0:40:00] megnag86: コードこんなシンプルで単調になりそうなのに名曲やな
[0:40:09] syuimee: シンプルやねk-popもええで
[0:40:11] はまオジ: コード進行はちょっとわかったけど、歌声の部分の音程はどうやって決まるの？
[0:40:15] dearnaturac: ポール・マッカトニーって、故人のエリザベス女王から騎士の称号もらってた記憶
[0:40:38] usagigabyte: 時代は繰り返すんや
[0:40:38] だいもん_: でんぱきょく？
[0:40:38] morimori03020320: はやっとるね
[0:40:38] 名無し333: 預言者いたか…
[0:40:38] 高めのサバ缶: 電波が王道になりつつあるまである
[0:40:41] butagon07: 電波曲って？
[0:40:42] ツイッチ表示名: りりむ・けんきでギター配信コラボしてほしい
[0:40:43] unamu3: 電波曲ってなに？
[0:40:44] syuimee: 流行ってるね
[0:40:45] lyysurxusyrxeurdirxu: edm？
[0:40:47] inaaturuf: おすすめのでんぱきょく
[0:40:50] takahashi_png: ういちゃん!ういちゃん！
[0:40:52] ねめちゃ: 大事なとこでCM
[0:40:53] アステリオ: ロリ神レクイエムとか
[0:40:53] 悪熊: レクイエムとか
[0:40:54] 高めのサバ缶: えろげの曲聴かせよう
[0:40:55] zieziebot: 国云々より時代のほうがでかそうだけど
[0:40:56] usagigabyte: ロリ神レクイエム
[0:40:57] なのつん: KOTOKO
[0:40:59] afunya: もってけセーラー服とか？
[0:40:59] kuma_house: かるびの歌みたにある
[0:41:00] kuria0712: もってけせーらーふく
[0:41:01] callfield9: ロック、ヘヴィメタきそう
[0:41:01] はまオジ: I've soundは電波曲ですか？
[0:41:02] ユメオ: ういびーーーむ！
[0:41:07] vxyutakaxv: sum41みたいなロックはだいぶ簡単
[0:41:11] 名無し333: インターネットやめろとかじゃない？
[0:41:11] arl44s: うまぴょい
[0:41:12] usagigabyte: ガチャガチャきゅーとふぃぎゅあっと
[0:41:12] marimo_tsf: 昔のアニソンとかエロゲに多かったね
[0:41:14] vxyutakaxv: フッションと同じで回ってる
[0:41:15] afunya: ねこみみもーど
[0:41:16] osyoyuyasan: ミコミコナース
[0:41:19] toumine: うま娘
[0:41:24] てべじ: 大体エロゲソング
[0:41:25] 00horry00: 次はユーロビートかな
[0:41:26] dokuo_olerud: 田中秀和・・・捕まったのがな・・・
[0:41:26] pond__a: でんぱ組
[0:41:26] haccix: ふしぎなくすり
[0:41:28] 仲根にど: Aiobahn
[0:41:28] callfield9: あのちゃんとかきゃりーとか？
[0:41:28] だいもん_: ピコピコしてる奴か？
[0:41:29] 高めのサバ缶: KOTOKO姉さんの曲を聞きなされ
[0:41:30] はまオジ: さくらんぼキッス
[0:41:30] ぺぷすぃ: ave;newの曲はだいたいそう
[0:41:32] Nykuji: エミネン？
[0:41:32] 猫又雅: ほな次は何が流行るんやろなぁ
[0:41:32] potechisuki4: p丸様
[0:41:33] oribeyousuke: あーぷっさんが得意なやつね
[0:41:34] naosan__: でんぱ組の曲書いてる玉置2060%は天才
[0:41:39] usagigabyte: ピコピコはエレクトロ
[0:41:41] butagon07: Vtuberのブームとか関係ある？？
[0:41:42] unamu3: ホロライブの曲がそうか
[0:41:43] shishimai43: 音楽ジャンルあいまいでムズイ
[0:41:43] ツイッチ表示名: internet yameroなんて歌ってるのkotokoやからな
[0:41:43] sasamiy: 初音ミクの消失みたいな？
[0:41:46] calamal_bechiato: つけまつげのやつとかは別？
[0:41:46] mizutama_waterpolo: 粛聖!! ロリ神レクイエム
[0:41:47] morimori03020320: とりあえずキーボードの主張がやたら強くて変な歌詞の曲ってイメージ
[0:41:51] アステリオ: 「しゅっこー！」
[0:41:52] ruizz1124: なんか今日部屋暗くない？
[0:41:53] はまオジ: ほなKOTOKOさんか
[0:41:55] 北島三郎: えなちゃん
[0:41:59] inaaturuf: 堀井雄二の電波局でおすすめありませんか
[0:41:59] dearnaturac: ヒャダインが作ってる曲とかは？日常とかの
[0:41:59] 仲根にど: 電波系ってもう聞きなれない言葉なんやなあ
[0:42:00] n0doguro: オルタナティブは何がオルタナティブなんだ
[0:42:02] 高めのサバ缶: てか多分そこ通ってきた学生が作る側になった
[0:42:05] 名無し333: 芸人の粗品が作った曲も電波なのかな
[0:42:09] junwa64: 今評価される曲は歌うのが難しい曲ばっかり
[0:42:10] みわ5: 服みたいに流行は回るんだな
[0:42:16] kibidango551: ベートーベンの運命も電波曲で
[0:42:22] 仲根にど: ぷっさんも電波曲だよ
[0:42:23] ast_sweety: 電波って表現もだいぶ懐かしい
[0:42:36] morimori03020320: ほほぉ
[0:42:38] dearnaturac: ぷっさんのぱいなっぷる好きだよ、頭から離れなくなるｗ
[0:42:38] はまオジ: KOTOKOさんは今聞いても名曲しかない
[0:42:40] なのつん: あーありそう
[0:42:42] ツイッチ表示名: 令和の時代に若者に人気の歌手になったkotoko
[0:42:43] popopoharu: 最近のマクドナルドのCMとかそんな感じだよね
[0:42:44] あんこのデコイ3: ホルモンも電波なんか？
[0:42:47] 高めのサバ缶: 結局人間は16の時に憧れてたもんが死ぬまで好き
[0:42:48] kuria0712: こたー
[0:42:52] syuimee: ナナヲアカリさんとかかhttps://youtube.com/playlist?list=PLL9-sWvRghMf0WyxL58RQn05pAO85dvil&si=EAcM02iIxVowOrC0
[0:42:57] zieziebot: ｗ
[0:42:58] ma_oy: 学校のリーダーズの音楽か
[0:43:01] ぺぷすぃ: 俺ら世代がご迷惑をおかけしております
[0:43:03] はまオジ: 後追い
[0:43:03] subaru_bf: kenkiKota kenkiKota kenkiKota
[0:43:05] syuimee: オタク層ね
[0:43:06] usagigabyte: 東方アレンジ聴いて育った世代がイオシスっぽい曲作ってる
[0:43:09] 名無し333: ふむ
[0:43:16] だいもん_: なるほどね
[0:43:18] marimo_tsf: kotoko20年前から見た目も声も変わらないの凄いわ
[0:43:22] kibidango551: ポケモン世代がパルワールド作ったってことか？
[0:43:23] 仲根にど: まあプロFもそうやないか
[0:43:27] Kikka113: わっか
[0:43:30] takahashi_png: ほお
[0:43:31] usagigabyte: ワッカ
[0:43:33] syuimee: まじ？
[0:43:42] qAKp7: ほな俺らはバトロワか
[0:43:43] morimori03020320: シージで育った世代がでてくるか
[0:43:43] 8818papaiya: 全ては一巡するのか
[0:43:44] はまオジ: ティーダのリミットブレイクきもちよすぎだろ
[0:43:48] petbottle429: 爆破ゲーム気持ち良すぎだろ！
[0:43:49] unamu3: シージ、CSGO、AVA世代？
[0:43:52] sametaro: 種まきと収穫か
[0:43:55] anti0124: 萌えCSGOたのむ
[0:43:55] だいもん_: その次がバトロワになるのか
[0:43:58] usagigabyte: へー！
[0:43:59] kuma_house: APEX世代とか
[0:44:01] はまオジ: ほーん
[0:44:03] ShanaKamishiro: へー
[0:44:03] dddschool: はまおじ？
[0:44:08] ツイッチ表示名: 俺と同じ年齢やん
[0:44:09] Kikka113: すご
[0:44:09] 名無し333: ほな泡おじも…
[0:44:09] morimori03020320: ほぇ～
[0:44:09] はまオジ: きにするな
[0:44:10] 高めのサバ缶: 10から20年くらい前に流行ってたやつが流行るのか
[0:44:10] unamu3: 泡おじのやつね
[0:44:18] 仲根にど: ポケモンが一時期初代リスペクトネタが多かったのは、初代やってた子達が作る側になったから
[0:44:24] yokochy: Apex、フォトナ世代がそっち側に回ったらどんなゲームが出てくるんだろうな
[0:44:29] konishiyukinaga1558: つまりパルワールドはポケモンで育った世代が作った必然だった？
[0:44:30] ma_oy: けんちゃんもゲームプロデューサーだよ
[0:44:30] ShanaKamishiro: ま？
[0:44:31] みこ柴: また？
[0:44:33] syuimee: ほんと？
[0:44:33] roroara: こんにちはー
[0:44:34] morimori03020320: まじ？
[0:44:35] 8818papaiya: プリクラはずっとだろ
[0:44:36] usagigabyte: Y2Kね
[0:44:38] みわ5: プリクラはいつでも流行ってる
[0:44:40] dddschool: 嫌いじゃない
[0:44:41] petbottle429: メタ回ってるんだ
[0:44:41] non_nothing9: Y2K
[0:44:41] Kikka113: 今後黒くなってくのかな
[0:44:43] だいもん_: Y2Kか
[0:44:43] 仲根にど: ルーズソックスたまにみるな
[0:44:43] zieziebot: 平成ギャルうおおおおお
[0:44:46] ぺぷすぃ: それ聞くわ
[0:44:46] 猫又雅: 令和の今に...？
[0:44:47] 名無し333: ギャルは最高
[0:44:48] ツイッチ表示名: スマホで何でもできる時代にプリクラ
[0:44:48] 闘劇のアルベルト: ファッションも巡るからな
[0:44:50] 高めのサバ缶: やっぱり1990終わり〜2000年代初頭だな
[0:44:53] おさとも: ガングロ来るか？
[0:44:54] megnag86: ルーズソックスまじか
[0:44:54] はまオジ: ルーズソックスいるな
[0:44:55] subaru_bf: 流行りって一週するんだよね
[0:44:55] sametaro: 平成初期の雰囲気っていいよな
[0:44:56] ShanaKamishiro: ルーズソックスはまじでいる
[0:44:57] dddschool: 黒ギャル流行れ
[0:44:57] kopi0116: 昭和ギャルはおらんのか？
[0:44:59] アステリオ: そんなオーブンでホットケーキ焼くみたいな
[0:44:59] kuma_house: 次はヤマンバ復活する？
[0:45:01] dearnaturac: 最初にプリクラ作ったの、ペルソナと女神転生のアトラスなんだよな
[0:45:02] kibidango551: まじでルーズソックスみるwww
[0:45:02] dauda2: 髪型もなんか昔のやつ流行らない？
[0:45:03] みこ柴: ほんと10年周期でブームきてんな
[0:45:04] takahashi_png: ﾙｰｽﾞｿｯｸｽは数年前からまじでいる
[0:45:05] ユメオ: おばあちゃんの若い頃は平成ギャルだったんじゃよって言える時代がくる
[0:45:06] ma_oy: 90年代の古着も来てるらしいね
[0:45:07] はち丸: なら日サロ通いか
[0:45:07] オレンジ野郎: 俺の妹も履いてるわ
[0:45:07] はまオジ: 萌え袖ルーズソックスとか流行ってたな懐かしい
[0:45:08] ぞうくまいくお: ルーズ懐かしい
[0:45:08] petbottle429: ポケベル使おう
[0:45:11] おぐ: 大塚愛とかいまだに聞く平成はいいぞ
[0:45:12] だいもん_: プリクラって流行るってよりずっとないか？
[0:45:12] 名無し333: 厚底来そうだよな
[0:45:12] anti0124: きゅぴ履いてくれ
[0:45:15] ruizz1124: 通ってたゲーセンの格ゲーフロアプリクラに占領されてて悲しかった
[0:45:18] afunya: 肩パット流行りくるのか
[0:45:18] ツイッチ表示名: トー横界隈と2000年頃の渋谷って少し似てるよね？
[0:45:19] 高めのサバ缶: て事は2007〜くらいに流行ったもの狙えば儲かる？
[0:45:19] non_nothing9: ヤンキーはやるか
[0:45:19] sin_key_law: 結構前からのイメージ
[0:45:21] kyabumaru_jjblash: こないだルーズソックス見てびっくりしたわ
[0:45:21] 完全体綾鷹: はえー
[0:45:23] ShanaKamishiro: 回ってるんだな
[0:45:23] syuimee: まじか笑https://images.app.goo.gl/LAmPozBHWT1PJX8FA
[0:45:24] ぺぷすぃ: ヤマンバリバイバルくるか
[0:45:24] 仲根にど: 今の女子高生、皆同じかっこしてなくて多様性って感じ
[0:45:25] analukie: 3年前ルーズソックス嗅がせてもらったなぁ
[0:45:25] 8818papaiya: でも平成ギャル好きだから嬉しいよ
[0:45:26] 猫又雅: 時代は回る
[0:45:26] callfield9: 噂で江戸時代に逆境してくって聞いたな
[0:45:27] ザリガーノ: 半年前くらいに朝のニュースで見たな
[0:45:31] 思春期の熊: こんけんき
[0:45:37] ma_oy: ナタデココがまた来るか
[0:45:42] Kikka113: プリクラゾーンバカでかいよな
[0:45:42] takahashi_png: へ〜
[0:45:42] ShanaKamishiro: へー
[0:45:44] ばちわれちゃん: アイコー18
[0:45:45] morimori03020320: へー
[0:45:46] カツカツ丼: ホントに?
[0:45:47] リンク1004: こんけんき
[0:45:47] naosan__: ゲーセン、クレーンかプリクラしかない
[0:45:48] 昆布畑: へー
[0:45:48] くつしたん: ルーズソックスはパパ活匂わせアピールじゃね
[0:45:48] 高めのサバ缶: そろそろまたティラミス流行りそう
[0:45:51] はまオジ: プリクラそんな種類増やして何がかわるんや？
[0:45:52] オレンジ野郎: ワイの妹もはいてるわルーズ
[0:45:52] アステリオ: 1フロアはある
[0:45:52] tk_acidman555: 女性専用のところ多いよね
[0:45:53] うすコン: プリクラとクレーンしかないゲーセンもある勢い
[0:45:54] ツイッチ表示名: 今のjkの親世代がプリクラ世代なのでは？
[0:45:54] ノサンキュ山田: 男一人で入ること禁止されてる
[0:45:55] 8818papaiya: ティラミスはやらないかなー
[0:45:55] なのつん: でも男は入れないよ
[0:45:56] だいもん_: 元々専用ゾーンないの？
[0:45:57] おぐ: ストリーマーと撮れるプリクラ作れ
[0:45:57] ぞうくまいくお: んじゃ原始スタイルではだかくるか
[0:45:58] dddschool: 足踏み入れないフロア
[0:45:58] らん_にゅー: ラウンドワンとかそうよな
[0:45:59] fuzino_udon: 専用フロアあるね
[0:46:00] 名無し333: だから俺のデパートのゲーセンプリクラゾーン増えてんのか。
[0:46:00] gorira100: こんけんき
[0:46:03] dearnaturac: 今のゲーセンって、UFOキャッチャーとかそっち系に占領されてるよね
[0:46:04] にゃはん212: プリクラは俺たちは縁が無いから
[0:46:06] kuria0712: え
[0:46:06] ぺぷすぃ: あの頃はプリクラ撮ることがステータスだった
[0:46:07] dauda2: は？
[0:46:07] ユメオ: これからはガンダム勢とプリクラ勢が支えるのか
[0:46:07] おさとも: あ
[0:46:08] syuimee: Z世代で流行ってるみたいね
[0:46:08] 昆布畑: くそが
[0:46:09] カツカツ丼: あ
[0:46:09] 辛味噌ネギ牛丼: あ
[0:46:10] オレンジ野郎: は？
[0:46:10] ShanaKamishiro: あ
[0:46:10] haccix: 今のプリクラ宇宙人みたいになるよね
[0:46:10] みこ柴: 変なことするから…
[0:46:12] dddschool: BibleThump
[0:46:12] syuimee: え？
[0:46:12] くろうさぎぎぎ: あ
[0:46:13] 完全体綾鷹: しゃーない
