[0:00:18] 祖国のために: ハイサイまいど
[1:26:28] sbnobutbs: ホットフィックスで断食うなぎに
[1:26:35] hellominen: ナイス一本でいく
[1:26:38] Yodaka187: ｗ
[1:26:40] tricktrack8784: 現在のうなぎの９９パーは養殖だそうです
[1:26:40] kurou_crunn: ｗ
[1:26:41] neoWATA: わあ
[1:26:41] aksjdh12: ないすぅ↑↑！
[1:26:42] kiminari1: ｗ
[1:26:43] ckuadesu: LUL
[1:26:43] conpacuto: う、うなぎ・・・
[1:26:44] ｾﾀﾒﾝ: ん～Stronk
[1:26:44] shaiant: ｗ
[1:26:45] sugar310513: かわいそう
[1:26:46] gggajettto110: nice
[1:26:46] ナスくん: 今の心折れるわ
[1:26:46] sqruq: おやつうなぎ
[1:26:47] maisonligera: yutaponNo
[1:26:47] bless_3564: ゴーストすら要らないんだｗ
[1:26:48] hex65535: 適当なナイスッ↑すき
[1:26:48] たかなし1013: んー
[1:26:49] teya1337: 養殖もの？
[1:26:52] _めるる_: んーGG
[1:26:53] MilanAxi: ないっすぅ！！
[1:26:54] kagiyama: CS
[1:26:57] チョコ0225: ｗ
[1:27:04] セレスト95: うなぎおいし
[1:27:07] Yodaka187: 魂がもらえるのでworth
[1:27:09] fluoritecaf2: 小食セナ
[1:27:10] lunaturally: スタックのために落としました？
[1:27:16] conpacuto: ｗ
[1:27:16] aayatsu: 魂出たらワース
[1:27:18] うに脳筋: 気が緩んでるね
[1:27:21] sh1roBH: 脱走うなぎ
[1:27:22] Siriyonn: スタックのためなんだよね
[1:27:22] sonic0023755390: 魂のために落としてます
[1:27:25] ramenjirofreak: うなぎ逃亡
[1:27:28] kurou_crunn: うなぎ放流された
[1:27:29] ももかん__: だいぶ
[1:27:30] r1inride: midに帰っちゃった
[1:27:36] _めるる_: ミドスにかえっちゃった
[1:27:37] sntypnty: さっきのMFは餓死したのに
[1:27:40] teya1337: 7分経たずに終わっちゃった
[1:27:41] たいよー: これ動画化できそうです？
[1:27:43] karasiyade: 帰郷
[1:27:46] Siriyonn: adcの動画って難しいなぁ
[1:27:51] gakurinmira: ｗ
[1:27:52] hellominen: いたすじる
[1:28:01] shaiant: いててｗ
[1:28:15] nigakikagin: ｗ
[1:28:15] hellominen: 着火！
[1:28:18] kurou_crunn: イグナイトやめてね
[1:28:22] skuyin: 楽しそう
[1:28:34] nyaru12: かわいそう
[1:28:36] めぐる: 何が起きてるｗ
[1:28:36] ckuadesu: DinoDance DinoDance
[1:28:40] torippy_13: 終わってるw
[1:28:41] kttk1130: うなぎあまりにもノーダメージ
[1:28:42] amd_0723: うおおおおおおおおおおおお！！！！！！！！！
[1:28:43] ALO_555: ブリッツ楽しいか？
[1:28:45] Yodaka187: 全員死ぬど
[1:28:46] aksjdh12: www
[1:28:49] hellominen: 終わりすぎている
[1:28:49] teya1337: もう終わりだよ
[1:28:49] くーーーた: うっま
[1:28:50] ｾﾀﾒﾝ: ゆにかー！
[1:28:51] nigakikagin: なんだこれ
[1:28:51] _めるる_: このブリッツはFでCS取るんか見とかなきゃ
[1:28:52] frei417: 世界が
[1:28:52] ももかん__: ｗｗｗ
[1:28:52] shaiant: あと7分あります
[1:28:52] sh1roBH: スレッシュさんありがとう
[1:28:53] bless_3564: おわりだｗ
[1:28:54] tamura1234: 終わった
[1:28:54] チョコ0225: すんごい
[1:28:54] amd_0723: 勝負あり
[1:28:55] conpacuto: 流石に終わりだ
[1:28:55] めぐる: 死にますよ・・・？
[1:28:55] sqruq: 大事故
[1:28:56] hex65535: 特殊勝利条件達成しそう
[1:28:57] sons_of_maurice: ゆにか逝った～～～
[1:28:59] ramiminn: もう最強だ
[1:28:59] seryuse: 育ちすぎぃ
[1:29:08] karasiyade: 猫ミームいきだな
[1:29:10] たいよー: れいちんで凄えマナ帰ってきた
[1:29:13] conpacuto: BOTに出てきたうなぎなんて、誰も救えへんのや
[1:29:15] nyaru12: BloodTrail
[1:29:15] tgrcw: 逆に動画化できなさそう
[1:29:15] チョコ0225: ｗｗ
[1:29:16] ナスくん: いう事聞いた
[1:29:18] ckuadesu: BloodTrail
[1:29:20] sh1roBH: BloodTrail
[1:29:21] jorrysz: BloodTrail
[1:29:21] hex65535: BloodTrail BloodTrail
[1:29:23] ｾﾀﾒﾝ: やめてね BloodTrail
[1:29:24] ふじたにこらない: これはこれで動画がしずらいか
[1:29:27] dio10111: BloodTrail
[1:29:28] elshadd0llshekh1naga: 本当にやめてほしそうだった
[1:29:29] NqmelesS_1st: 初狩りやめてください
[1:29:45] seryuse: ゴーストブレードのナーフってどうなんですか？
[1:29:45] karasiyade: 動画にしづらいやつは猫ミームにしましょう
[1:29:56] チョコ0225: ADCサイオンなら勝っても負けてもおいしいですよ？
[1:30:01] sh1roBH: よし動画撮るぞ！で何時間かかるんだろ
[1:30:02] riputon11: もしかしてまた大シヴ時代ですか？
[1:30:03] えりうす: えびんもTV阻止成功！wとか言われてたりもしたよね
[1:30:04] sonic0023755390: インベードしたら再現性ないですよって突っ込まれてるよ
[1:30:06] _めるる_: そこらの人なら全力笑顔で7分で試合崩壊ってサムネつくりそう
[1:30:06] ｾﾀﾒﾝ: スレッシュがあまりにもスレッシュ
[1:30:07] ramiminn: あまりにも弱い
[1:30:21] ktrbm: バカ試合になっちゃった
[1:30:23] r1inride: サイオンってつまり最高のキャラか
[1:30:24] 韓国チャレのチョビーです: 今日はKRサーバーしないんですかね
[1:30:24] hellominen: あれってstealさんの声も一本一本撮りなおしてるって本当ですか？
[1:30:26] さきと: 勝ちすぎると見栄えが悪い？
[1:30:26] karasiyade: ゆたぽん動画化阻止成功！
[1:30:31] _めるる_: アッハハハッハ
[1:30:34] tricktrack8784: @_めるる_ メガネクイしてそう
[1:30:35] nyaru12: ロボット壊れちゃった
[1:30:45] conpacuto: 何もやることない
[1:30:45] llssnn66: 笑うことしかできなくなった可哀想なロボット
[1:30:46] ｾﾀﾒﾝ: 実際、そうだ・・・
[1:30:49] ringo459: 壊れた
[1:30:50] sh1roBH: 変なうなぎ隣にきてこれて
[1:30:50] 怠惰00: ｗ
[1:30:51] Siriyonn: フックしても勝てるわけがない
[1:30:53] untiburyunhirude: BibleThump
[1:31:00] わらび14: セナでキャリーする方法！で動画上げよう
[1:31:03] conpacuto: さっきのマオカイだったら、相当不幸だ
[1:31:08] ckuadesu: PoroSad
[1:31:13] ナスくん: 合ってるよ
[1:31:15] ramiminn: つまんねーって言ってるね
[1:31:17] karasiyade: きつい
[1:31:30] kttk1130: うなぎピックにブリッツするのが悪い説ないすか
[1:31:33] Siriyonn: 吸収装置かぁ
[1:31:36] スーパーゆうかげじーにあす: レベル９ならウェーブ消えそう
[1:31:38] tgrcw: 相方が勝手に断食を始める呪い
[1:31:40] neoWATA: ｗ
[1:31:44] nyaru12: おかえり
[1:31:45] hellominen: ｗ
[1:31:46] noy35: w
[1:31:46] aksjdh12: w
[1:31:47] teya1337: ・・・
[1:31:47] conpacuto: 隠れたうなぎ見つかっちゃった；；
[1:31:48] _めるる_: NotLikeThis NotLikeThis NotLikeThis
[1:31:48] ポン蛇: ウナギ捕獲ｗｗ
[1:31:51] ramiminn: ｗ
[1:31:51] permona: 帰ってきたわけではないｗ
[1:31:52] ckuadesu: DinoDance
[1:31:59] fluoritecaf2: 巣がばれてるウナギ
[1:32:00] karasiyade: ウナギが出して試合を投げるな!！！
[1:32:01] llssnn66: 首輪つけられた
[1:32:02] elshadd0llshekh1naga: AI戦みたいになってる
[1:32:03] ｾﾀﾒﾝ: なんかもうちょっと気まずいまである
[1:32:05] aaaasanpart1: 季節外れのウナギ漁
[1:32:09] チョコ0225: ケイトのQも同じ感じで嫌い
[1:32:11] hex65535: ﾁﾋﾟﾁﾋﾟﾁｬﾊﾟﾁｬﾊﾟ
[1:32:13] ramiminn: 増永
[1:32:15] fuuusan3: うなぎ釣り楽しいな BloodTrail
[1:32:15] riputon11: ウナギって一本釣りできるんだ
[1:32:17] pasokon_maru: 何かしらの法に
[1:32:26] pasokon_maru: 触れない
[1:32:29] ナスくん: こんなチャンプADでやる奴いますかって
[1:32:32] kurou_crunn: 腐ったうなぎにみんな群がってる
[1:32:42] ナスくん: 今のキルしなくてよかったですね
[1:32:44] _めるる_: うなぎ好きですか？
[1:32:44] うに脳筋: 相手から必死乙って言われるよ
[1:32:48] bless_3564: ９だけにね
[1:32:58] ramiminn: タワー遅すぎぃ
[1:33:25] hellominen: 早く終わりたくて仕方なさそう
[1:33:33] untiburyunhirude: まじか
[1:33:34] 花鶏: え～～～～
[1:33:34] チョコ0225: まじかよ
[1:33:35] neoWATA: へーそうなんだ！
[1:33:35] ckuadesu: PoroSad
[1:33:36] _めるる_: 仮面は？
[1:33:37] mohuryun: へぇ
[1:33:37] nyaru12: え？6本買えないんですか？
[1:33:37] seryuse: まじかよ
[1:33:37] hex65535: zerost7Majikayo
[1:33:37] conpacuto: まじかよ
[1:33:38] sh1roBH: まじか
[1:33:41] マクガフィン: えええ？！？！
[1:33:41] riputon11: 意外だ
[1:33:42] manjixhakaisinxmanji: 嘘だよな
[1:33:42] alveo250: マジかぁ
[1:33:43] maisonligera: 伝説のスレッシュADは？
[1:33:43] 花鶏: BloodTrail
[1:33:44] taiyoutaiyou: ほんまか工藤
[1:33:45] gggajettto110: 勉強になりました
[1:33:46] ready0329: 靴２ついけなくなったの？
[1:33:46] ｾﾀﾒﾝ: 黒斧6本持てないってマジ？
[1:33:50] kurou_crunn: ｗｗｗ
[1:33:50] seryuse: IE6本持てないの？
[1:33:52] axisayu: スレッシュおわりだ...
[1:33:55] sh1roBH: ｗ
[1:33:58] チョコ0225: ｗ
[1:33:58] ねぎスター: マオカイは6本積んでましたよ？
[1:33:59] seryuse: ww
[1:34:01] taiyoutaiyou: 昔は詰めたのに・・・
[1:34:07] _めるる_: 靴は何足履けるんすか
[1:34:12] ramiminn: 敵いなくない？
[1:34:13] crypt048: クロオノ5個積みJ4
[1:34:13] seryuse: まだプレートあったのか
[1:34:13] fizzzsupport: IE6本積むトリスまたやりてえよ
[1:34:22] tamura1234: ダブル涙ジャックスしてえよ
[1:34:24] neoWATA: ペットボトルのふた堕ちたな
[1:34:25] sh1roBH: スレッシュでIEいっぱい積んでる人いたのに
[1:34:29] karasiyade: まだタワープレートあるんや
[1:34:33] bird_0713: キャップ
[1:34:33] yamada1212: ラストウィスパー系統に黒斧ふくまれるようになったのびっくりした
[1:34:38] ナスくん: やめてねって言わないから
[1:34:42] alveo250: 回復回復
[1:34:48] セレスト95: むかしのアイテムビルド
[1:34:49] llssnn66: ブリッツ2024年最高の瞬間
[1:34:56] ckuadesu: BloodTrail
[1:35:19] karasiyade: 試合の回転率いいな
[1:35:30] seryuse: 15分前にオブジェクト賞金付くとまじ萎えるよなぁ
[1:35:30] ナスくん: キンドレッドがフィードマシンみたいな空気になっててかわいそう
[1:35:45] alveo250: そろそろか
[1:35:51] ktrbm: 知ってた15分
[1:35:53] kurou_crunn: ｗ
[1:35:54] bless_3564: ｗｗｗ
[1:35:55] ナスくん: おそいよ
[1:35:55] 花鶏: ｗ
[1:35:56] chyodamomo: ｗ
[1:35:56] チョコ0225: ｗ
[1:35:58] seryuse: おw
[1:36:00] マクガフィン: w
[1:36:01] ramiminn: これがプロ
[1:36:02] Siriyonn: w
[1:36:02] 花鶏: BloodTrail
[1:36:06] tamura1234: FFよみ深いね
[1:36:11] tricktrack8784: もしかしてセナのウルト使わないままでした？
[1:36:12] ｾﾀﾒﾝ: これが長年培った技術
[1:36:17] seryuse: ww
[1:36:21] hex65535: 動画化だ
[1:36:24] yuumaru819: ゼロストが部屋作って待ってるよ
[1:36:27] PlooonN: これで皆抜けたら負けになりますよね
[1:36:30] 俺が君を守るから: うずうず
[1:36:30] ナスくん: ADC サイコー
[1:36:31] maisonligera: yutaponKamiyure yutaponKamiyure yutaponKamiyure
[1:36:33] elgorattwitch: G
[1:36:33] 花鶏: デマ
[1:36:34] maonn37: 赤月サイオン強そうですよ
[1:36:34] ckuadesu: s
[1:36:34] _めるる_: サイオ
[1:36:35] seryuse: 偉い
[1:36:35] ramiminn: サイオン
[1:36:36] teya1337: 回りたいなあ
[1:36:36] aayatsu: ご褒美トップ
[1:36:37] さきと: top・・・してぇ
[1:36:38] gobogobou: ガレ欲
[1:36:39] チョコ0225: 息抜きでトップやりません？
[1:36:39] skuyin: でまーーーー
[1:36:40] sh1roBH: カルマやりたくなってきたか
[1:36:40] llssnn66: Sの血ですか？Gの血ですか？
[1:36:41] sqruq: サ、イオン
[1:36:43] NqmelesS_1st: midシンジャオお願いします
[1:36:44] tricktrack8784: Ｓの時間
[1:36:46] nyaru12: 運転してえなあ
[1:36:46] _ラブカ: ばろ配信ありですよね？もちろん
[1:36:47] tgrcw: Sgsgsgsgsgsgs
[1:36:47] ナスくん: 実際にやったことある？
[1:36:50] kttk1130: ヘルス増やしたくなってきました？
[1:36:58] ナスくん: まじかよｗ
[1:37:28] seryuse: なんかニダリーつよくないですか？
[1:37:38] redninjakaz: エラーで全員おとされる試合とかそうなるよね
[1:37:49] ｾﾀﾒﾝ: なんか勝率跳ね上がったとかなんとか
[1:37:55] ナスくん: パッシブでＡＲＭＲ延ばしたくない？
[1:38:00] sh1roBH: TOPで猫ちゃんやりませんか
[1:38:03] てっぱんやき: adcの撮れ高まだだめなんですか？
[1:38:09] チョコ0225: どれくらいの割合でトップとAD見たい人がいるんだろ
[1:38:13] Yodaka187: あ
[1:38:15] katojunnichisaikyo: 今日もガレンですか？
[1:38:15] ナスくん: あ
[1:38:16] Ozisanndaro: ADCでヘルス増やせば？
[1:38:16] ALO_555: あ
[1:38:17] sheik822: a
[1:38:17] てっぱんやき: w
[1:38:18] hex65535: あ
[1:38:19] hellominen: ｗ
[1:38:21] teya1337: e?
[1:38:21] ｾﾀﾒﾝ: ﾝｯ
[1:38:22] kiminari1: うおおおおお！
[1:38:23] sugar310513: ｗ
[1:38:24] Appleemon: yutaponBikkuri
[1:38:25] MilanAxi: yutaponBikkuri
[1:38:25] cho_mu: んっ
[1:38:26] tgrcw: ん?
[1:38:28] チョコ0225: きたあああああああ
[1:38:28] ramiminn: 回るぞおおおお
[1:38:29] ナスくん: ストライドでフェイズのカウント１稼げるようになりましたよ！
[1:38:32] hex65535: ３戦もたなかったか…
[1:38:32] hellominen: レーンすり替えられてますよ
[1:38:33] riputon11: yutaponChill
[1:38:34] r1inride: 息抜きに、ね
[1:38:35] seryuse: 触りだけな
[1:38:38] マクガフィン: お
[1:38:39] teya1337: ﾃﾞﾏ
[1:38:41] 猫グルス: 呼吸しに行くか
[1:38:46] ナスくん: ３００円高いのがちょっと辛い
[1:38:51] MilanAxi: top ad nidお願いします
[1:38:57] ｾﾀﾒﾝ: そういえば最近シャコってやりました？
[1:39:03] onikuji: これ別アカウント？
[1:39:03] ごまむぎちゃ: なんでやろなぁ
[1:39:05] kiminari1: なんでやろな～
[1:39:08] hellominen: セ・・・
[1:39:09] Appleemon: タイタンストライド好きだったのに積めなくなって悲しい
[1:39:09] aezaser: c・・・
[1:39:10] fluoritecaf2: 皆で読んでたのに
[1:39:10] ヒサツグ: なんでだろう…
[1:39:11] sh1roBH: 来週くらいには再開できるかも
[1:39:13] teya1337: 友が
[1:39:14] PlooonN: そろそろ読んでくれる人帰ってきませんか
[1:39:15] Ozisanndaro: ；；
[1:39:18] tricktrack8784: ；；
[1:39:27] hellominen: ファッキーと一緒に読むか
[1:39:29] tgrcw: 遠い記憶の彼方に
[1:39:36] miapingspam: ぽんさん苦手なゲームってあるんですか？
[1:39:37] ナスくん: 実際この３００円すごいつらい
[1:39:40] poppymasa: 高級品になって
[1:39:47] kiminari1: 300円って結構デカいよね
[1:40:11] Yodaka187: お～～～～～
[1:40:11] cookietab: そういえばハルブレイカーアーゴット今Wで100%乗ってタワー折り爆速ですよ
[1:40:21] hellominen: まふゆさんより下手なゲームを苦手なゲームって事にしませんか
[1:40:22] ｾﾀﾒﾝ: 普通ってなんだ
[1:40:37] edhy0328: そういえばクラーケンヴェインやった?
[1:40:40] マグナです: 格ゲーと金
[1:40:41] sh1roBH: まふゆさんちゃんとうまい
[1:40:43] PlooonN: 格ゲーはレべチ
[1:40:50] sonic0023755390: ギャルゲー
[1:40:50] ｾﾀﾒﾝ: ｗ
[1:40:51] マグナです: ｗ
[1:40:53] gobogobou: ギャルゲー？も
[1:40:53] スタガフェイド: sf6のEDのトレーラー見ましたか？
[1:40:53] sh1roBH: あとギャルゲー
[1:40:55] ナスくん: スト６はね
[1:40:56] tamura1234: M舐められてるけどエイムめっちゃいいぞ
[1:40:56] nigakikagin: 格ゲーでは負けないって言ってたな
[1:40:57] Yodaka187: mid nunuも苦手
[1:40:58] Malygos0210: メルブラは勝ってるってことですか？
[1:41:04] fluoritecaf2: スト6ゼロストさんとどっちが上手いですか
[1:41:08] hex65535: ギャルゲー競技勢
[1:41:08] sh1roBH: ｗ
[1:41:08] PlooonN: ｗ
[1:41:09] miapingspam: MRいくつですか
[1:41:09] リヴェンはいいぞ: ｗ
[1:41:09] しろくますし: 偏見だけどぽんさん麻雀よわそう
[1:41:10] hellominen: ｗｗｗｗｗ
[1:41:10] ナスくん: アニメ見ながらゲームできる？
[1:41:11] kurou_crunn: ｗ
[1:41:13] Ozisanndaro: ｗ
[1:41:14] ヒマリ: スロットは得意？
[1:41:18] hex65535: ｗ
[1:41:19] れすぼう: ぽんさん、ギャルゲーやるの？
[1:41:21] cookietab: w
[1:41:22] PlooonN: あっちが弱すぎるんだよね
[1:41:23] ヒサツグ: AoEは？
[1:41:23] neoWATA: それ本人に言ったら受け入れる？
[1:41:27] izakaya12: 最後のアマプラカプセル受け取りましたか？
[1:41:40] Ozisanndaro: 何使うんですか？
[1:42:16] belljp_lol: belljp_lol subscribed with Prime. 
[1:42:24] ｾﾀﾒﾝ: Rustの最中にアニメ見るくらいしないと勝てん
[1:42:39] Malygos0210: 彼カスタムロボ強いらしいけど
[1:42:40] ナスくん: 得意なソロゲーある？
[1:43:02] hellominen: ｗ
[1:43:04] ヒマリ: ｗｗｗ
[1:43:09] aksjdh12: w
[1:43:25] はぴめあ: RPGとかやるんですか？
[1:43:34] れすぼう: Factorioとかやってほしいw
[1:43:38] iriomote_mamaneko: lolやるとソロゲーで満足できなくなる
[1:43:44] hellominen: ＦＦ１４も未プレイ？
[1:43:53] ヒマリ: これからカスタムロボが流行るかもしれないですよ
[1:43:58] ｾﾀﾒﾝ: 対人じゃないと、って感じだ？
[1:44:12] hex65535: 風脈give
[1:44:21] ise_kachou: pogo
[1:44:24] satt_noob: 寂しいんだ
[1:44:28] redninjakaz: プメルパーティはだれがうまいですか？
[1:44:35] ssm1ths: わかるわ
[1:44:35] ainuni: シレンとかはどうですか？
[1:44:39] llssnn66: 風脈はどっかで気が変わって一気にやるぞってならないとやらない
[1:44:41] ramiminn: 金払ったら風脈集めるのスキップしてくれますよ
[1:44:52] ナスくん: せっかく図書館やり直してるのに日本語ボイスswitchで発表されてかわいそう
[1:44:53] ヴぃんと: じゃあアーマードコアか
[1:44:57] aezaser: ルイナ日本語ボイスついて発売しますよ
[1:44:57] ｾﾀﾒﾝ: レースゲーとかどうだろう
[1:45:05] riputon11: ちょいわかる
[1:45:06] sh1roBH: ローグライクあんま好きじゃないんだ
[1:45:16] hex65535: あれPCにくるんかな
[1:45:16] ナスくん: ４月
[1:45:16] momokan4325: 4月
[1:45:17] fluoritecaf2: スイッチで出ます
[1:45:30] hex65535: dlcでいいからPCに追加してくれ
[1:45:34] ヒマリ: スイッチ買いましょう
[1:45:36] ナスくん: switchだけの可能性高い
[1:45:49] Yodaka187: ゲハにswitch寄贈いくぞ
[1:45:54] ナスくん: いいね
[1:45:55] ヴぃんと: Switch買ってついでにLoveRもやろう
[1:46:05] さんらーたんめん: ルイナのラストバトルの演出熱くて好き
[1:46:15] elshadd0llshekh1naga: switch買ったら他にやりたいゲームありますか？
[1:46:21] ナスくん: ４月になったら6章も全部解放されるしお得だ
[1:46:21] sh1roBH: LoveRやってるまふゆさん好き
[1:46:40] riputon11: PS4もあるっぽいですよ
[1:47:41] 俺が君を守るから: はい、宜しくお願いします
[1:47:43] ナスくん: 天からムンドの着想が降ってきた
[1:47:43] ｾﾀﾒﾝ: ｶｧﾝ！って鳴ればひとまずOK
[1:47:51] ggpolice_op: コードギアス打ち行く?
[1:47:51] hc315: このルーンは...
[1:47:55] hex65535: DinoDance
[1:47:59] sh1roBH: 体力シャード結局どっち取ったらいいんですか
[1:48:05] スタガフェイド: ムンドうおおおおおおおおお
[1:48:17] hc315: ムンドだった
[1:48:20] tgrcw: サイオンガレンムンドチャンネル
[1:48:29] 俺が君を守るから: ペロリンチョ
[1:48:31] ナスくん: ゴーストって宇宙の英知いる？
[1:48:33] Malygos0210: ギアスは本当にカスゴミ、ガルパンは一回だけなら座ってもいいかも
[1:48:35] ramiminn: なめてえ
[1:48:38] pontamu7: ダリウス相手にムンドはリスペクトないです
[1:48:40] Appleemon: 次の動画ムンドってマジですか
[1:48:47] teya1337: あの2体以外もやるんですね
[1:48:53] neoWATA: HP無限ムンド？
[1:48:57] anti_otp: ダリウスのカウンターでしょ？
[1:49:03] sh1roBH: これが動画化されるかも
[1:49:04] hc315: ダリウスきつそ
[1:49:09] teitei110: むんどのコツ教えてください
[1:49:09] elshadd0llshekh1naga: シンジドも動画化して欲しいですね
[1:49:11] ｾﾀﾒﾝ: サイオンちゃんねるに一筋のムンドが
[1:49:12] mmyy9: ガルパンはATで押し順ナビ出るかどうかで左右されすぎる
[1:49:13] Malygos0210: 冴えカノの新台レビュー動画お願いします
[1:49:14] nyaru12: ダリウスのEくらわないのデカいやろ
[1:49:16] ALO_555: チョコパイモンって名前いいな
[1:49:20] uniuniuuuuni: 今ムンド強いですよね参考にさせていただきます
[1:49:27] dio10111: ダリウスのガチカウンター
[1:49:27] ヒマリ: ストパンも頼みます
[1:49:31] joozlk: ドクターガレオン
[1:49:35] ヴぃんと: 恥ずかしくて無理なんですか？
[1:49:38] Malygos0210: ｽﾄﾊﾟﾝもｲｲﾈ
[1:49:42] mercury07w: エヴァゴジの話題がないのはなんでだ？
[1:49:43] 俺が君を守るから: ダリウス、ムンドの皮だけ引っ張る感じだ
[1:49:46] ナスくん: その動画が出る裏チャンネルどこ？
[1:49:47] ヴぃんと: ｗｗｗ
[1:49:50] hc315: LUL
[1:49:57] Malygos0210: 実はエヴァゴジが一番マシという噂
[1:49:57] sh1roBH: ｗ
[1:49:58] mercury07w: わらいましたか？？
[1:49:58] keumq5: ノットワースですか
[1:49:59] ｾﾀﾒﾝ: SevensTVかスロパチあたりでこっそり出演していてほしい
[1:50:15] ヴぃんと: ゴジハムくんなら知ってるけどエヴァゴジは初耳やなぁ
[1:50:17] ndk2525: ポーション持ってる
[1:50:28] miapingspam: 昨日マクロス打って456確出たけどむず過ぎてめちゃくちゃ負けた
[1:50:39] nyaru12: なめすぎダリウス君
[1:50:47] ナスくん: ワース
[1:50:51] dio10111: ゴースト使うか悩んだ？
[1:50:52] hc315: 激ワース
[1:50:53] llssnn66: ケインくんもスタック取れてニコニコや
[1:50:56] Malygos0210: 魂食えたからにっこりです
[1:50:57] hellominen: ケイン君もうれしそう
[1:51:05] ndk2525: めっちゃロストしそう
[1:51:06] ふう_: ゴースト使ってたらいけてた？
[1:51:10] dio10111: ｗｗｗｗ
[1:51:13] dio10111: なるほど
[1:51:15] sh1roBH: ｗ
[1:51:17] ｾﾀﾒﾝ: それはそうｗ
[1:51:22] teitei110: でもケインのゲージためれましたよ
[1:51:24] ナスくん: ダリウスが勝手に負けてると思い込みますよ
[1:51:26] llssnn66: ファーミングシミュレーター
[1:51:40] れすぼう: ぽんさん、肩幅いかれてるチャンプ好きですね
[1:51:43] satt_noob: ドラシで、ポーション…?
[1:52:00] 俺が君を守るから: 熟練のQ
[1:52:01] teitei110: ちゅ
[1:52:10] FR1SK_noob: ポーション間違えて買ってますね
[1:52:18] uniuniuuuuni: ムンドドッチボール得意ですか？
[1:52:25] chorus_0508: ドラシでポーション買うのは浅いって有名Youtuberが言ってました
[1:52:26] hc315: 今日の動画でなんかいってたな
[1:52:31] ナスくん: このチャンプどうやってダリウスのQ避けるの？
[1:52:36] あの時の鶴の恩返し: ドラシポーションスタートはニューメタですか？
[1:53:05] 俺が君を守るから: ポーションは回復するので気をつけてください
[1:53:19] dio10111: パッシブのCDなが
[1:53:39] うに脳筋: これはすごいことだよ
[1:53:40] hc315: バフだああ
[1:53:49] dio10111: ｗｗｗｗｗｗ
[1:53:50] 俺が君を守るから: ムンドー！
[1:53:53] hellominen: ありえない話！
[1:53:53] teitei110: うおおおおおお
[1:53:53] Siriyonn: うま
[1:53:54] anti_otp: うおおおおムンド最強！！！
[1:53:54] sh1roBH: Ｗバフうめ～
[1:53:55] yusira__: wwww
[1:53:55] dio10111: 激ワース
[1:53:55] さばんな: 1300Gｗｗｗｗｗｗ
[1:53:56] neoWATA: ｳｪｲﾖｰ
[1:53:56] acrobatta: ダブルバフ最強や
[1:53:56] aoimokke: 神だ
[1:53:57] hex65535: うおおおおおおおおおおお
[1:54:00] nigakikagin: ムンドが⁉
[1:54:01] FR1SK_noob: うおおお
[1:54:02] MilanAxi: ないっすぅー！
[1:54:03] turuturu_ow: マシッタ～
[1:54:04] ALO_555: 最強ムンド爆誕
[1:54:06] gggajettto110: ここまで見えてた
[1:54:07] FR1SK_noob: ムンドキャリー期待
[1:54:09] 俺が君を守るから: 私を倒すことは出来ますか??
[1:54:13] FR1SK_noob: hello youtube
[1:54:14] ルビーちゃん: しかもファームもあんまり落ちてない
[1:54:15] PlooonN: ウェーブ生きてるの神過ぎないか
[1:54:16] toshikiiii: ＬＯＬうますぎくん
[1:54:16] hc315: なんでも買えちゃうよ
[1:54:17] ktrbm: 天国のたぷさんも喜んでることでしょう
[1:54:22] ナスくん: このチャンプちょっとサイオンだな
[1:54:23] yagamirenjp: 国内最強ドクター誕生
[1:54:25] hellominen: このマッチアップ序盤勝っちゃったらもう終わりじゃないんですか？
[1:54:25] llssnn66: 今のダリウスにSSあったらマルザ君の体がバラバラにされるところだった
[1:54:28] なんでもなおし: ダブルバフ持ったムンドと対面させられるの気分わるそ～
[1:54:39] revercup: ウェーブ鑑定士
[1:54:59] 俺が君を守るから: くぅ〜
[1:55:13] FR1SK_noob: CC無効化卑怯じゃないですか？
[1:55:22] うに脳筋: それな
[1:55:24] ボノボ係長: 強すぎて草
[1:55:25] neoWATA: 本当にそれでいいですか？
[1:55:25] チョコ0225: それな
[1:55:31] hellominen: そうしますけどいいんですね？
[1:55:31] elshadd0llshekh1naga: 本当に良いですか？
[1:55:33] remedius418: それバグや
[1:55:37] ALO_555: 20分以降全員無敵になるやん
[1:55:38] ｾﾀﾒﾝ: バフを取ったほうが勝つゲーム
[1:55:40] asdf_abcd: 死んでも復活できるとかいいかも
[1:55:44] nnmgk: リワーク前のムンドでE上げしてPD積んでとてつもないダメージ出すビルドがあったけど今もできますか？
[1:55:44] Malygos0210: もっとユニークな効果にしてくれ赤青バフ
[1:55:44] ナスくん: このマッチアップのダリウスのE安すぎだろ
[1:55:45] dio10111: Ｅで大砲ミニオン助かった
[1:55:47] hc315: うまい
[1:56:01] 俺が君を守るから: 隙間を縫うQ
[1:56:43] ktrbm: 今でしょ
[1:56:44] ナスくん: 玄人は最後まで使わない
[1:56:54] sheik822: おおお
[1:56:56] じかばり: じかばり subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! 
[1:56:56] dio10111: せいかい～
[1:56:57] 俺が君を守るから: おお
[1:56:57] ｾﾀﾒﾝ: 今だったわ
[1:56:57] hellominen: 完璧だ
[1:56:59] teya1337: 使うとききたあ
[1:57:01] Shijimi0013: ちょうどいい
