[0:00:17] mci_foden: にょっす
[0:38:01] aoi12124: つめるじょ～
[0:38:02] 熱斗矢メロ: ひどいじょー
[0:38:02] Jamitov0083: team gap gg
[0:38:04] mikenyan089: おちんこんじゃいます
[0:38:04] ててて데데데: 不名誉
[0:38:06] コードネームクア: かるびwww
[0:38:07] 2期: あ
[0:38:07] scrapcrafter25: wwwwww
[0:38:09] 緋蜂: もうカルビをバカに出来ないにぇ
[0:38:11] 熱斗矢メロ: こんとろろーる
[0:38:13] ぺんニキ: めっちゃ怒ってて草
[0:38:13] ruizz1124: 無能はママの母乳でも飲んでてね！
[0:38:14] MrYasu02: それは効くぅ
[0:38:15] Pepsi_is_great: karubisOko
[0:38:17] black0310000: カルビが1番の被害者
[0:38:23] azudebuu: karubisHanya
[0:38:26] 幸せの白い粉: 怒んナッツ
[0:38:28] awa_awa: かるびはすごかったんやな karubisDoya
[0:38:34] オ〇ンポス: まるでカルビがへたみたいな
[0:38:37] はったん: ウルトなんだこれ
[0:38:37] 2期: クロエいないとあかんな
[0:38:39] コードネームクア: BloodTrail
[0:38:39] まぐろさん_: ウルトなにこれ
[0:38:39] 熱斗矢メロ: かるびをバカにできない視聴者に大爆笑するけんき
[0:38:42] 霧弐水華: こんけんき
[0:38:50] konishiyukinaga1558: フィジカルのないカルビ達
[0:38:56] 堀北まかない: ハイヌーン
[0:39:00] はったん: ま、くりー
[0:39:00] basho2022: 昨日のかるびのAPEXおもろかった
[0:39:01] mikenyan089: イブラヒムブチギレ
[0:39:01] メメちゃん: 裏取りされたら超うざそうなキャラ
[0:39:02] けろる: マクリーって誰ですか？
[0:39:06] へるがー: ま、くりー
[0:39:13] ユメオ: キャスリー
[0:39:13] aoi12124: 誰？
[0:39:16] 一日一善リョーマ: まくりー？
[0:39:17] artificial_prayer: ゲームは古風なコンクエなんだな
[0:39:39] コードネームクア: BloodTrail BloodTrail
[0:40:02] black0310000: タンクが遮蔽に隠れてるんだから
[0:40:04] ふうすけ100: Www
[0:40:04] ボン太郎: 全員ばかかｗ
[0:40:06] コードネームクア: ww
[0:40:07] tanpinmori: 頭かるびしかいねえのかよ
[0:40:08] kikori_ossan: ８５から増えてねぇｗ
[0:40:12] takahashi_png: あほしかおらん
[0:40:13] おいもちちゃ: 初見ですYouTubeから来ました
[0:40:13] らあすと: BGMないの寂しすぎる
[0:40:19] ててて데데데: ヒント与えちゃった
[0:40:23] ネコガン: 近距離キャラが遠距離キャラにボコられてないかこれ？
[0:40:24] コードネームクア: うああああああ
[0:40:26] 悪魔的うたのさん_たいら: 設定でなかったんかな？
[0:40:27] callfield9: コンクエ知らずなんかみんな
[0:40:39] asparagusbacon: ゲームスピードくっそおそくかんじるわ
[0:40:40] mikenyan089: チャーシューがないラーメンみたいだ
[0:40:51] scrapcrafter25: あしはっや
[0:40:56] コードネームクア: ジャンプもできるすご
[0:40:58] artificial_prayer: まぁ最近流行りのヴァロにもエペにもコンクエなんてないし
[0:41:06] コードネームクア: やばw
[0:41:08] ボン太郎: ひーらーｗ
[0:41:11] メメちゃん: イキリルシオ
[0:41:12] tanpinmori: 信じたヒーラーが居なくなったｗｗｗ
[0:41:12] tekitoodesu: 俺の壁になればいいんだよ！
[0:41:15] 2期: BGMないのは競技意識してる説
[0:41:19] 熱斗矢メロ: ヒーラー相互ヒールしたら笑
[0:41:21] コードネームクア: BloodTrail BloodTrail BloodTrail
[0:41:28] コードネームクア: おおお
[0:41:33] はったん: ウルよわない？
[0:41:36] らあすと: ダメージは与えましたけれども
[0:41:36] はったん: ウルトよわない？
[0:41:41] ててて데데데: 回復量のほうが多い
[0:41:43] anti0124: そじょーん？
[0:41:45] black0310000: トキシックやめて
[0:41:48] みゃおお: ウルトは弱そうやな
[0:41:49] コードネームクア: ダメージがたりないw
[0:41:51] やまだニキ: 敵うまいなｗ
[0:41:55] ぺんニキ: 蹂躙されてるｗｗｗ
[0:42:13] コードネームクア: あああああ
[0:42:13] nasi1129: OWもう４出たの？
[0:42:22] mikenyan089: せこ
[0:42:22] kikori_ossan: 相手のDPSがつええｗ
[0:42:22] てーヘん: www
[0:42:23] コードネームクア: とんでるw
[0:42:24] tekitoodesu: つっよ
[0:42:25] らあすと: あいつ使うの楽しそう
[0:42:25] ネコガン: ブンブンやめてね
[0:42:25] 2期: ベルンハルト凄すぎて
[0:42:25] えびですのエビデンス: ぶんぶんまる
[0:42:26] 熱斗矢メロ: 自チームのウルトは弱く見えるのに敵のウルトは強く見える
[0:42:28] みゃおお: 蹂躙されとるね
[0:42:29] ユメオ: 三国無双やってるやん
[0:42:30] anti0124: ｵﾗｵﾗｵﾗ
[0:42:32] takahashi_png: 草
[0:42:33] musashi454: 強いなーｗ
[0:42:33] やまだニキ: バーサーカーつよｗ
[0:42:55] kikori_ossan: これ高所とかとれないのか
[0:42:56] mikenyan089: テオくん頑張れテオくん頑張れ
[0:43:03] 緋蜂: はい
[0:43:15] らあすと: 感謝diff
[0:43:17] コードネームクア: www
[0:43:18] メメちゃん: 所詮ヤミー
[0:43:19] てーヘん: けんき4人いれば
[0:43:19] はまオジ: PTM Diff
[0:43:20] Panopticism: nt
[0:43:20] ねこざめ3: ライン上がらなくてしんどかったね
[0:43:21] ダンデり: 俺タンク下手なのかな・・
[0:43:22] konishiyukinaga1558: ピックかな
[0:43:22] おもチ: こーれけんきが居る方負けるって事は原因は
[0:43:23] scrapcrafter25: gg
[0:43:23] みゃおお: 結局サポ狙えないとあんまだな
[0:43:23] kinomoci: 戦犯探しやめてね
[0:43:23] kikori_ossan: 裁判ですか
[0:43:24] musashi454: ぜんたい ＤＩＦＦ
[0:43:25] たおかん05: 反省会です
[0:43:25] tanpinmori: 最初に踏まなかったから
[0:43:26] 堀北まかない: ゲーム性理解Diff
[0:43:27] ててて데데데: 戦犯チェック辞めて
[0:43:27] astonage: 戦績でわかるタイプのゲームか？これ
[0:43:27] ユメオ: かわいい
[0:43:29] のむのむの: 裁判の時間
[0:43:30] やまだニキ: ｗｗｗ
[0:43:30] 2期: かわいい
[0:43:31] コードネームクア: ぴぴおお
[0:43:31] anti0124: 戦犯探し
[0:43:33] 昆布畑: 近距離系がよえーのかな
[0:43:35] scrapcrafter25: wwww
[0:43:35] sirochacha: www
[0:43:35] にょっさん: えっど
[0:43:35] てーヘん: wwwwww
[0:43:37] tekitoodesu: www
[0:43:38] 猫又雅: こんけんき
[0:43:43] ダンデり: やったぁああ
[0:43:45] gemini00117: このきゃらつよい
[0:43:46] scrapcrafter25: おおおおお
[0:43:51] てーヘん: 自信もてよ
[0:43:54] takahashi_png: kenkiGood
[0:43:58] ph11zyr: 戦績裁判
[0:43:58] 仲根にど: けんきより役になってるよ
[0:44:04] astonage: うぉっちっち
[0:44:04] コードネームクア: www
[0:44:12] けろる: このゲームのプロ？
[0:44:12] はまオジ: 陣地離れずに戦ってたらいい勝負だったせず
[0:44:12] konishiyukinaga1558: 敵固くみえたけどな
[0:44:13] murasima: 相手がつよかっただけか
[0:44:16] 冷たい焼肉: こんけんき
[0:44:17] kikori_ossan: それ使いますか
[0:44:17] はったん: ぴぴDIFF
[0:44:19] astonage: 相手がつよつよか
[0:44:20] 昆布畑: 遠距離メタかな
[0:44:21] ph11zyr: マーシーみたいなすたっつのやつ折るやん
[0:44:21] gemini00117: ぴぴですガチみりしらです
[0:44:22] コードネームクア: ぴぴやるw
[0:44:22] musashi454: メタのキャラがいるのかこのゲーム
[0:44:27] びりびり0810: ぴぴ強かったか
[0:44:33] たおかん05: にっこり
[0:44:35] gemini00117: 左クリック押してただけです
[0:44:36] ユメオ: ぴぴでぃふ
[0:44:37] kikori_ossan: ぴぴそくぴ
[0:44:39] みゃおお: 強い奴のキャラを使います
[0:44:39] aoi12124: ぴぴ使う
[0:44:48] artificial_prayer: 強キャラに流れるゲーマーの鏡
[0:44:49] コードネームクア: ぬけないかもw
[0:44:52] コードネームクア: FrankerZ FrankerZ
[0:44:53] twitchotpn: PopNemo
[0:44:54] scrapcrafter25: こたぁ
[0:44:57] musashi454: わんわん
[0:44:58] Pepsi_is_great: kenkiKota kenkiKota kenkiKota
[0:44:58] けんき: fomcbcxo
[0:45:00] astonage: 数戦やったしけんき抜けるか
[0:45:02] shey1918: kenkiKota kenkiKota kenkiKota
[0:45:04] チャカシ丸: こたが入りたいみたい
[0:45:05] tekitoodesu: こたもやりたいらしい
[0:45:06] ph11zyr: このゲームの才能〇
[0:45:07] adbgaming_: 民度まる
[0:45:10] MrYasu02: wwwwww
[0:45:11] コードネームクア: wwww
[0:45:11] ぺろキャン: wwww
[0:45:12] scrapcrafter25: wwwww
[0:45:13] 昆布畑: w
[0:45:15] やまだニキ: wwwww
[0:45:16] れいよん04: ｗｗｗ
[0:45:20] mikenyan089: pipi仲間か勝ち確やん
[0:45:21] asparagusbacon: けんきが視聴側にまわるべ
[0:45:21] anti0124: コーチ
[0:45:23] aoi12124: 強いぴぴ味方にした？
[0:45:24] ユメオ: このけんきってひと連戦しすぎやね
[0:45:27] takahashi_png: ということでね
[0:45:34] 緋蜂: る、しあ
[0:45:37] コードネームクア: るし👍
[0:45:39] メメちゃん: モイラお前dpsだったっけ？
[0:45:40] れいよん04: かわいい
[0:45:41] ユメオ: るーちゃん！？
[0:45:43] anti0124: ヨネ
[0:45:44] deltamark_: なにこれ？
[0:45:45] aoi12124: る、し
[0:45:48] バジル12: こんけんき
[0:45:48] コードネームクア: 可愛い
[0:45:50] 8818papaiya: アキラというかマダラみたい
[0:45:51] にょっさん: キャラのビジュはいいな
[0:45:51] hageronymus: ｗｗ
[0:45:51] scrapcrafter25: る、し
[0:45:52] みわ5: る
[0:45:53] anitaru: こんけんき 何このゲーム
[0:45:53] tanpinmori: るーちゃん！？
[0:45:54] チャカシ丸: ハーレークィーンみたい
[0:45:54] 昆布畑: るーちゃんw
[0:45:55] tekitoodesu: るしちゃーーん
[0:45:55] びりびり0810: かわいい
[0:45:56] てーヘん: る、
[0:45:57] かつおぶっしー: すまんるしあいくわ
[0:45:59] t2ba8a: 全員整形顔してる
[0:45:59] たおかん05: るーちゃん‼️
[0:45:59] のむのむの: みーちゃん
[0:46:00] asparagusbacon: アキって自爆しないのかな
[0:46:01] ウォッチっち: 雑魚ヒーラーでごべぇぇぇぇん
[0:46:04] takahashi_png: るーちゃんやめてね
[0:46:04] anti0124: 韓国製か
[0:46:04] バジル12: るし、あ
[0:46:05] sssiiioooooo: 一生一緒
[0:46:06] れいよん04: るーちゃんいいね
[0:46:06] deltamark_: owのパクリゲー？
[0:46:07] コードネームクア: BloodTrail
[0:46:07] manzu1010: タグ見れ
[0:46:08] ユメオ: 一生一緒だよ
[0:46:09] newoyag: ふ と  も  も
[0:46:11] びりびり0810: このゲームマジでヒーラーいると不死身になれて楽しいね
[0:46:11] 昆布畑: 一生一緒だ！
[0:46:12] osnaki: オーバーウォッチ？
[0:46:14] ててて데데데: コラボまだ？
[0:46:15] みわ5: 一生一緒だね
[0:46:16] anti0124: あ、めみや
[0:46:17] artificial_prayer: 特級呪物はまだたまにメルカリに流れてる
[0:46:18] o_musubi: 可愛いキャラはだいたい厨キャラ
[0:46:18] ph11zyr: うおおーー
[0:46:20] sarusuberi22: 呪物
[0:46:21] コードネームクア: wwwww
[0:46:28] てーヘん: www
[0:46:30] ginji0222: みーちゃんは未実装なの？
[0:46:34] いなっくす: こんけんき これなんてパクリゲー？
[0:46:35] musashi454: わかるその気持ち
[0:46:37] ph11zyr: 成形顔やめろｗｗ
[0:46:42] takahashi_png: ﾅﾚきゃわいーん
[0:46:50] かつおぶっしー: るーちゃんむずそうやな
[0:46:50] ガスおじ: まるでオーバーウォッ……
[0:46:53] チャカシ丸: マリモになって移動できるんだ
[0:46:54] t2ba8a: これがOW３ですか
[0:46:56] mikenyan089: 睾丸になるのか
[0:46:58] 仲根にど: みーちゃんは最近もう顔しか出てないから
[0:46:59] anti0124: モイラ？
[0:47:01] てーヘん: なんかクセあるね
[0:47:09] びりびり0810: キャスター系ね
[0:47:18] びりびり0810: つっよ
[0:47:19] anti0124: ﾁｬｯ
[0:47:26] コードネームクア: BloodTrail
[0:47:27] tekitoodesu: キャラゲー？
[0:47:27] 緋蜂: めっちゃ出るっ
[0:47:28] shibamaru3: ちゃ!はっ！
[0:47:40] メメちゃん: タイプ相性とかある感じ？
[0:47:47] びりびり0810: 火力たっか
[0:47:51] 仲根にど: ちゃ！ってのは韓国の掛け声なんか？
[0:47:52] anitaru: なんかアーリみたいだな
[0:47:55] toyzaurusu: 火力ぶっ壊れだ
[0:47:55] tekitoodesu: 炎上の神
[0:47:56] 猫又雅: オーバーウォッチにこんなモードあるんやとか思ってたけどちゃうんか
[0:47:57] のむのむの: るーちゃんな
[0:48:00] scrapcrafter25: 特級呪霊
[0:48:01] musashi454: なんでこんなに強いんだｗ
[0:48:03] aaiebasyoyu: 女の名前間違えたね
[0:48:04] anti0124: バランスｗ
[0:48:07] t2ba8a: なんで引っ搔いたら弾がでるんですか
[0:48:08] kikori_ossan: R見せてｗ
[0:48:09] shibamaru3: るーちゃんだよ
[0:48:11] sarusuberi22: あ
[0:48:14] オ〇ンポス: あ
[0:48:14] たおかん05: あ
[0:48:15] てーヘん: みーちゃんってどこの女？
[0:48:16] 冷たい焼肉: あ
[0:48:17] ウォッチっち: あ
[0:48:17] tekitoodesu: るーちゃぁぁぁん
[0:48:17] メメちゃん: いい感じに呪い篭ってる
[0:48:17] scrapcrafter25: あ
[0:48:19] かつおぶっしー: あーあヘラっちゃった
[0:48:19] kuroame_0222: ややこしくなってきた
[0:48:24] ユメオ: るーちゃんうおおお
[0:48:25] anti0124: ふぃ、すかー
[0:48:27] 緋蜂: 雑に強い
[0:48:28] anitaru: るーちゃんやばい（隠語）
[0:48:33] 堀北まかない: プロジェクタイルの評価が高いんかな
[0:48:33] 冷たい焼肉: 誰その女
[0:48:34] ガスおじ: 何だこのゲームは
[0:48:35] kikori_ossan: Ｒつよ
[0:48:37] びりびり0810: これ見てたら剣で切ってるの馬鹿らしくなっちゃうヨ
[0:48:38] ginji0222: トキシックは強いって本当なんだな
[0:48:49] matttiiiiiiii1: るーちゃんはみーちゃんみたいなもんやし、
[0:48:53] scrapcrafter25: るーちゃんゲー
[0:48:53] ph11zyr: 妨害キャラかと思ったら脳筋キャラだった
[0:48:53] tekitoodesu: るーちゃんでいいや
[0:48:55] てーヘん: ティア1
[0:48:56] ててて데데데: 環境破壊キャラきたか
[0:48:56] tanpinmori: やっぱ毒吐くやつは強いな
[0:48:57] t2ba8a: やれんのかルーちゃん
[0:48:58] 仲根にど: タンク泣いちゃうよ BibleThump
[0:48:59] musashi454: メタを発見したけんき
[0:49:00] Ahiru_saban: 火力やばｗ
[0:49:05] shibamaru3: るーちゃんしか勝たん
[0:49:11] 猫又雅: るーちゃんメタ
[0:49:13] びりびり0810: エリアから人消えるの笑う
[0:49:15] newoyag: 今日はルーちゃんで良いや、ふぅ
[0:49:16] ボン太郎: 脳筋しかおらんｗ
[0:49:24] はまオジ: エリア戦なのにすぐ外出ちゃうの草
[0:49:29] ph11zyr: ルシアメタ
[0:49:30] tanpinmori: 前に出て気持ちよくなるの優先しちゃってる
[0:49:38] t2ba8a: るーちゃんで逝くな
[0:49:42] バジル12: これはow？ごめん優しく教えてクレメンス
[0:49:54] びりびり0810: ウルトは打開に使えると強そうかな
[0:49:59] みわ5: !title
[0:49:59] Nightbot: @みわ5 -> Current Stream Title: ｵﾊﾖｳ
[0:49:59] kikori_ossan: るーちゃんゲーだった
[0:50:00] shibamaru3: 開発のお気に入り
[0:50:01] naosan__: これOWだよ
[0:50:03] 悪魔的うたのさん_たいら: !game
[0:50:04] Nightbot: @悪魔的うたのさん -> Current Stream Game: Storm Striker
[0:50:08] mikenyan089: まふってる
[0:50:10] toyzaurusu: OPだ
[0:50:14] やまだニキ: ｗｗｗｗｗｗ
[0:50:15] びりびり0810: wwwwww
[0:50:15] メメちゃん: owアプデあったよ
[0:50:15] たおかん05: るーちゃん、一強
[0:50:16] はったん: ｗｗｗｗｗｗ
[0:50:16] astonage: あ
[0:50:16] てーヘん: wwwwww
[0:50:16] musashi454: えｗ
[0:50:17] ててて데데데: www
[0:50:17] みゃおお: 草
[0:50:18] ウォッチっち: wwwww
[0:50:18] ボン太郎: おちたｗ
[0:50:18] tanpinmori: ｗｗｗｗｗ
[0:50:19] Lui___nyannyan: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[0:50:19] aaiebasyoyu: ？！
[0:50:19] leigh_lie: あ
[0:50:20] scrapcrafter25: え
[0:50:20] 猫又雅: 草
[0:50:21] toyzaurusu: 落下！？
[0:50:22] kikori_ossan: ええ・・・
[0:50:23] バジル12: www
[0:50:23] ama_pla: 草
[0:50:24] aoi12124: ｗ
[0:50:24] sirochacha: スーw
[0:50:25] 仲根にど: オーバーケジャンだよ
[0:50:26] scrapcrafter25: るーちゃんきた？
[0:50:27] sssiiioooooo: wwwww
[0:50:27] ひげぼん: 亜空間に落ちた？
[0:50:28] anitaru: るーちゃん落下して草
[0:50:28] musashi454: 落下し？ｗ
[0:50:28] 冷たい焼肉: あぅ
[0:50:29] asparagusbacon: どこだよ
[0:50:29] n7luke: どこいくねーん
[0:50:31] 0ek8u: 深淵やめてね
[0:50:31] はまオジ: 落下あるマ？
[0:50:34] scrapcrafter25: wwwwwww
[0:50:35] バジル12: 亜空間落下www
[0:50:37] sirochacha: 仲良しw
[0:50:38] monimoning: 敵は地形ｗ
[0:50:38] びりびり0810: 落下死4人です、か
[0:50:43] astonage: とんでも無い叫び声出た笑笑
[0:50:51] ph11zyr: 突然の落下
[0:50:54] nikyo12: なんですかこのオバッチのパチモン
[0:50:55] kikori_ossan: はああああ
[0:51:00] tanpinmori: るーちゃんばかつえええ
[0:51:00] astonage: マップエモいな
[0:51:00] musashi454: 強すぎるｗ
[0:51:00] toyzaurusu: 火力やば
[0:51:00] てーヘん: やばぁwwwwww
[0:51:01] びりびり0810: ウルト強すぎ！
[0:51:02] はまオジ: シンドラみたいなことしてて草
[0:51:03] aaiebasyoyu: つよwwwww
[0:51:03] ユメオ: るーちゃんうおおおお
[0:51:05] メメちゃん: ホーミングえぐすぎだろ
[0:51:05] Ahiru_saban: ホーミング付いてんのかｗ
[0:51:05] みゃおお: ホーミングはダメだろｗ
[0:51:05] ボン太郎: このキャラえぐいｗ
[0:51:06] ama_pla: 強すぎて草
[0:51:08] ginji0222: これまでの勢いが...
[0:51:11] にょっさん: るーちゃんさすが33歳やわ
[0:51:13] wabon112: 落下後の画がほぼバグなんよ
[0:51:14] kinomoci: エッグｗ
[0:51:24] scrapcrafter25: 来い！るーちゃん！！
[0:51:33] バジル12: さすがφ(・ω・ )ｶｷｶｷしてるな
[0:51:36] はまオジ: ポークできないのに前出るの可愛いね
[0:51:52] てーヘん: www
[0:51:55] scrapcrafter25: wwwwww
[0:51:57] mikenyan089: これ上から見たらLOLみたいなんだろうな
[0:51:59] musashi454: わちゃわちゃ
[0:52:02] はまオジ: ヨ、ネ
[0:52:07] びりびり0810: スキルの効果一切見てないから何起こってるのか誰も分かってない可能性
[0:52:08] メメちゃん: ヒール厚
[0:52:18] toyzaurusu: ADCだね
[0:52:21] ph11zyr: こいつ回避スキルもあるの壊れてね？
[0:52:26] kikori_ossan: 厨キャラすぎんかるーちゃん
[0:52:27] はまオジ: ADCけんちゃん
[0:52:36] かつおぶっしー: るーちゃんナーフしろ！
[0:52:39] ててて데데데: エコーか
[0:52:40] hainwa1017: こんにちは
[0:52:45] tanpinmori: 一部強すぎるキャラがいるってレビューあったけどこいつか
[0:52:55] callfield9: アタックキャラに回避スキルは…壊れる…
[0:53:02] エリハ: トップメタなんかるーちゃん
[0:53:03] メメちゃん: 呪いを指輪に込めて封印しよう
[0:53:05] kinomoci: Hボタンでスキルきりかえれそう
[0:53:28] scrapcrafter25: つっよ
[0:53:29] Ahiru_saban: つっよｗ
[0:53:33] びりびり0810: つええ
[0:53:34] scrapcrafter25: gg
[0:53:34] タカシージャス: カウント進む音までＯＷじゃん
[0:53:34] 2期: gg
[0:53:35] ダンデり: めっちゃおもろいんだがｗ
[0:53:36] みわ5: つよ
[0:53:37] てーヘん: つよ
[0:53:38] musashi454: 強すぎるｗ
[0:53:41] mikenyan089: メタ
[0:53:42] だいもん_: るーちゃん強
[0:53:42] はまオジ: マジでOWとLoL足したような感じだな
[0:53:42] 仲根にど: 全てを破壊するるーちゃん
[0:53:43] ginji0222: るーちゃんまだナーフたりないか
[0:53:45] ph11zyr: ルしあギャップ
[0:53:47] scrapcrafter25: きたあああ
[0:53:48] たおかん05: つっよ
[0:53:55] みわ5: これ見てるのもおもろいね
[0:53:55] にょっさん: えっどいしつっよい
[0:53:56] やまだニキ: つよいな
[0:54:00] matrix_025: 呪物
[0:54:00] 仲根にど: しかも太ももがえろい
[0:54:02] toyzaurusu: 必須ピックレベルだ
[0:54:05] らた茶湯: 太ももロベカルくらいあるやん
[0:54:08] 温玉_: るーちゃんGAP
[0:54:09] たおかん05: 環境キャラすぎる
[0:54:10] だいもん_: ホンモノのるーちゃんを決める戦い
[0:54:11] anitaru: るーちゃんゲーやんw
[0:54:15] nikyo12: いないとPT崩壊じゃん
[0:54:17] 熱斗矢メロ: 本物はっけん
[0:54:24] びりびり0810: うまいるーちゃんがいるほうが勝つ
[0:54:26] 仲根にど: だれかるーちゃん止めろ
[0:54:32] ユメオ: るーちゃん必須の一生一緒環境
[0:54:35] ama_pla: tierGodきたか
[0:54:37] 0ek8u: ておくんやめてね
[0:54:37] gemini00117: w
[0:54:38] だいもん_: テオくん頑張れ！テオくん頑張れ！
[0:54:42] 昆布畑: 青い男もなかなかにいいぞ
[0:54:45] konishiyukinaga1558: エンゲージ環境
[0:54:50] 2期: テオあかんわコレ
[0:55:05] mikenyan089: ジョージはいないか
[0:55:06] だいもん_: 感謝感謝できないのか
[0:55:08] 2期: 今のラウンドテオだったけど、コレはあかん
[0:55:08] astonage: あ
[0:55:09] hageronymus: ｗｗｗｗ
[0:55:11] tanpinmori: あ
[0:55:12] aaiebasyoyu: あ
[0:55:15] kinomoci: あ
[0:55:15] 0ek8u: あ
[0:55:16] 昆布畑: あ
[0:55:17] メメちゃん: 強欲の壺
[0:55:17] てーヘん: ばれてら
[0:55:21] やまだニキ: あ
[0:55:21] だいもん_: 精神の強さ
[0:55:22] 名無し333: あーあ
[0:55:22] 堀北まかない: 見つかったねぇ
[0:55:22] 熱斗矢メロ: 一生一緒
[0:55:25] ユメオ: ばれちゃった
[0:55:25] sirochacha: 交代のお時間です
[0:55:25] 猫又雅: 空気読めない子
[0:55:30] nikyo12: けっとけ
[0:55:32] ふうすけ100: 気づいちゃったねー
[0:55:33] aru2rod: メンタル強い
[0:55:33] はまオジ: 鋼の意思
[0:55:34] dvImwInvlgho: 追放しろ(笑)
[0:55:35] ダンデり: いや抜けようとしてもすぐに空きが生まれるんだもん
[0:55:37] anitaru: 空気読めやwww
[0:55:37] らあすと: wwww
[0:55:39] aaiebasyoyu: wwwwwww
[0:55:39] みわ5: ｗｗｗ
[0:55:40] gemini00117: 鋼メンタル
[0:55:40] かつおぶっしー: やべっばれた
[0:55:41] kinomoci: ついにばれた
[0:55:41] にょっさん: 鎮座してたな
[0:55:43] てーヘん: www
[0:55:43] kikori_ossan: ここ俺の席だから勢
[0:55:44] だいもん_: そこまでいったら抜けるなよ
[0:55:46] ぺんニキ: 意思強いｗｗｗ
[0:55:58] 熱斗矢メロ: お前がナンバーワンだ
[0:55:59] takahashi_png: あ、あの
[0:56:01] tanpinmori: ｗｗｗｗｗｗｗｗ
[0:56:03] kinomoci: ｗｗｗ
[0:56:03] musashi454: ｗｗｗｗｗｗ
[0:56:04] てーヘん: wwwwww
[0:56:04] れいよん04: ｗｗｗｗ
[0:56:04] hageronymus: ｗｗｗ
[0:56:05] らずきち: ｗｗｗ
[0:56:05] 猫又雅: wwww
[0:56:06] toyzaurusu: しれーっと
[0:56:07] 名無し333: Wwww
[0:56:07] 2期: wwwww
[0:56:08] かつおぶっしー: 気配消すなｗ
[0:56:08] kikori_ossan: あ
[0:56:08] だいもん_: とりあえず周り確認してきた
[0:56:09] びりびり0810: なんだこの空気読みwww
[0:56:10] タカシージャス: いまこのゲーム配信してるゲームけんきだけじゃん
[0:56:14] astonage: いっちゃんキモイタイプ
[0:56:14] kuroame_0222: wwwwwww
[0:56:15] れいよん04: うまいなあ
[0:56:15] はまオジ: 連コプレイヤー
[0:56:15] ama_pla: ww
[0:56:17] やまだニキ: さすがにおもろいw
[0:56:17] 熱斗矢メロ: ワイプ芸笑
[0:56:19] 名無し333: このゲーム有料？
[0:56:33] musashi454: 誰に言ってるんですかみたいな態度ｗ
[0:56:38] てーヘん: ファッキン無料
[0:56:39] ウォッチっち: なんとファッキン無料
[0:56:45] kikori_ossan: またぬけてるｗｗｗ
[0:56:46] 熱斗矢メロ: ファッキン無料なんです
[0:56:48] 名無し333: 無料まじか
[0:56:48] 2期: ファッキン無料
[0:56:49] にょっさん: またおらんなん
[0:56:49] はまオジ: へー
[0:56:58] ginji0222: こーれ熟練けんきリスナーです
[0:57:01] はまオジ: なんかOWで見たことあるマップ
[0:57:02] tanpinmori: また足りねえやん
[0:57:04] 昆布畑: また四人
[0:57:06] メメちゃん: ハンゾーいこう
[0:57:08] kinomoci: また4人
[0:57:08] kikori_ossan: えー味方４人です
[0:57:13] 熱斗矢メロ: AKIRA！？
[0:57:14] mikenyan089: ラキ、TikTokのあいつやん
[0:57:17] だいもん_: アキラに可能性を感情
[0:57:21] てーヘん: かわよ
[0:57:33] asparagusbacon: おすのはやすぎで同期してないんじゃね
[0:57:53] 2期: フレキシブルなゲームでよき
[0:57:53] みわ5: かわいい
[0:57:54] astonage: えど
[0:57:55] hainwa1017: かわあい
[0:57:55] 猫又雅: かわいい
[0:57:57] かつおぶっしー: はにゃ？
[0:57:57] だいもん_: かわいい
[0:58:00] tanpinmori: vtuberとかやってそう
[0:58:00] てーヘん: ﾁｭﾋﾟﾁｭﾋﾟﾁｬﾊﾟﾁｬﾊﾟ
[0:58:00] asparagusbacon: オーバーウォッチにいそう
[0:58:01] musashi454: 可愛い
[0:58:03] ユメオ: ちーにゃ、ぽんにゃ
[0:58:07] kikori_ossan: ちょっと狙いすぎやないか？
[0:58:08] 昆布畑: www
[0:58:10] 名無し333: 草
[0:58:11] hainwa1017: www
[0:58:12] sirochacha: www
[0:58:16] ph11zyr: ３ｄｐｓ
[0:58:17] はったん: OWで見た光景だ・・・
[0:58:19] aaiebasyoyu: ぎ、む
[0:58:19] musashi454: エゴイストだぁｗ
[0:58:20] tanpinmori: チームの我が強い
[0:58:21] 仲根にど: あざとすぎて逆によい
[0:58:21] sirohebi2000: ＷＷＷ
[0:58:21] diz397: ブルーロック構成
[0:58:22] 海老フライマシンガン: チーム自我
[0:58:24] ama_pla: ww
[0:58:27] artificial_prayer: ヒールなど捨てた
[0:58:29] takahashi_png: 草
[0:58:31] gemini00117: w
[0:58:32] ユメオ: 誰かがやるやろの精神
[0:58:33] kikori_ossan: 俺ＤＰＳな
[0:58:35] astonage: エゴイスト多いなぁ
[0:58:36] はまオジ: キャラ選択おしたら戻れなくて草
[0:58:40] てーヘん: ヴァロで言うデュエ4の構成
[0:58:46] 仲根にど: 誰の配信だと思ってたんだよ、ぁぁあ！？
[0:58:47] 名無し333: ラキちゃんズボンのボタンが外れてるとこポイント高い
[0:58:47] naosan__: 男しかいねえ
[0:58:49] musashi454: お前らはヒーラーでいいんだよって言ってそうｗ
[0:58:56] nikyo12: タンクなんていらねーんだよ
[0:58:57] ふうすけ100: これがけんきりすなーの質だぞ
[0:58:57] toyzaurusu: アサシンかな
[0:58:58] t2ba8a: 雌使え
